Time,Down,Type,Yards,Details,Edmonton,BC
15:00,0,Kickoff,20,Grant Shaw kicks off to the BC18. Andrew Harris return for 20 yards to BC38. Tackled by Deon Lacey.,0,0
14:53,1,Pass,13,Kevin Glenn pass to Shawn Gore for 13 yards to the BC51. Tackled by Joe Burnett.,0,0
14:20,1,Pass,4,Kevin Glenn pass to Kito Poblah for 4 yards to the BC55. Tackled by Eric Samuels.,0,0
13:11,2,Pass,55,Kevin Glenn pass to Andrew Harris for 55 yards for a TOUCHDOWN.,0,6
13:02,0,Made Extra Point,0,Paul McCallum extra point is good.,0,7
13:02,0,Kickoff,20,Ricky Schmitt kicks off to the Edm12. Patrick Robertson return for 20 yards to Edm32. Tackled by Jamall Johnson.,0,7
12:36,1,Pass,3,Mike Reilly pass to Adarius Bowman for 3 yards to the Edm35. Tackled by Ryan Phillips.,0,7
12:21,2,Rush,10,Mike Reilly rush for 10 yards to the Edm45.,0,7
11:44,1,Pass,18,Mike Reilly pass to Adarius Bowman for 18 yards to the BC47. Tackled by Ryan Phillips.,0,7
11:01,1,Pass,-3,Mike Reilly pass to Adarius Bowman for a loss of 3 yards to the BC50. Tackled by Cord Parks.,0,7
10:27,2,Sack,-9,Sack at Edm51 for a loss of 9 yards by Khreem Smith.,0,7
09:55,3,No Yards,28,Grant Shaw punts for 33 yards to BC26. Penalty: No Yards on Edmonton (Dexter McCoil) -5 yards.,0,7
09:36,1,Rush,4,Stefan Logan rush for 4 yards to the BC35. Tackled by Marcus Howard.,0,7
09:04,2,Interception,0,Kevin Glenn pass intended for Ernest Jackson INTERCEPTED. No return. Tackled by Dean Valli.,0,7
08:42,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn.,0,7
08:29,2,Rush,10,Mike Reilly rush for 10 yards to the BC24. Tackled by Ryan Phillips.,0,7
07:47,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman defensed by Ryan Phillips.,0,7
07:25,2,Pass,15,Mike Reilly pass to Adarius Bowman for 15 yards to the BC9. Tackled by Dante Marsh.,0,7
06:17,1,Pass,9,Mike Reilly pass to Calvin McCarty for 9 yards for a TOUCHDOWN.,6,7
06:10,0,Made Extra Point,0,Grant Shaw extra point is good.,7,7
06:10,0,Kickoff,18,Grant Shaw kicks off to the BC23. Andrew Harris return for 18 yards to BC41. Tackled by Robert Sands.,7,7
06:02,1,Rush,5,Andrew Harris rush for 5 yards to the BC46. Tackled by Eric Samuels.,7,7
05:28,2,Rush,-3,Andrew Harris rush for a loss of 3 yards to the BC43. Tackled by Aaron Grymes.,7,7
04:55,3,Punt,0,Ricky Schmitt punts for 35 yards to Edm32. No return.,7,7
04:44,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,7,7
04:22,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Tyler Thomas.,7,7
03:49,3,No Yards,29,Grant Shaw punts for 44 yards to BC34. Penalty: No Yards on Edmonton (Aaron Grymes) -15 yards.,7,7
03:32,1,Roughing Passer,24,Kevin Glenn pass to Courtney Taylor for 9 yards to the Edm52. Tackled by Eric Samuels. Penalty: Roughing Passer on Edmonton (Don Oramasionwu) 15 yards.,7,7
03:14,1,Sack,-6,Sack at Edm43 for a loss of 6 yards by Eddie Steele.,7,7
03:14,2,Pass,38,Kevin Glenn pass to Ernest Jackson for 38 yards to the Edm5. Tackled by Joe Burnett.,7,7
02:34,0,Objectionable Conduct,3,Penalty: Objectionable Conduct on Edmonton (Patrick Watkins) 3 yards.,7,7
02:17,1,Rush,-1,Andrew Harris rush for a loss of 1 yard to the Edm3. Tackled by Dexter McCoil.,7,7
01:00,2,Pass,3,Kevin Glenn pass to T-Dre Player for 3 yards for a TOUCHDOWN.,7,13
00:46,0,Made Extra Point,0,Paul McCallum extra point is good.,7,14
00:46,0,Kickoff,21,Ricky Schmitt kicks off to the Edm12. Patrick Robertson return for 21 yards to Edm33. Tackled by Akwasi Antwi.,7,14
00:37,1,Pass,14,Mike Reilly pass to Adarius Bowman for 14 yards to the Edm47. Tackled by Cord Parks.,7,14
00:01,1,Pass,17,Mike Reilly pass to Shamawd Chambers for 17 yards to the BC46. Tackled by Dante Marsh.,7,14
15:00,1,Offside,5,Penalty: Offside on BC (Eric Taylor) 5 yards.,7,14
14:44,1,Rush,14,Tyler Thomas rush for 14 yards to the BC27. Tackled by Solomon Elimimian.,7,14
14:04,1,Pass,23,Mike Reilly pass to Fred Stamps for 23 yards to the BC4. Tackled by Dante Marsh.,7,14
13:19,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman defensed by Dante Marsh.,7,14
12:54,2,Sack,-3,Sack at BC7 for a loss of 3 yards by Eric Taylor.,7,14
