Time,Down,Type,Yards,Details,Ottawa,Edmonton
15:00,0,Kickoff,17,Grant Shaw kicks off to the Ott1. Jamill Smith return for 17 yards to Ott18. Tackled by Mike Dubuisson.,0,0
14:55,1,Rush,3,Chevon Walker rush for 3 yards to the Ott21. Tackled by Eddie Steele.,0,0
14:18,2,Sack,-6,Sack at Ott15 for a loss of 6 yards by Almondo Sewell.,0,0
13:40,3,Holding,-7,Brett Maher punts for 48 yards to Edm47. Jamal Miles return for 3 yards to Edm50. Penalty: Holding on Edmonton (Akeem Foster) -10 yards.,0,0
13:18,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,0,0
12:45,2,Rush,4,Mike Reilly rush for 4 yards to the Edm44. Tackled by Travis Brown.,0,0
12:15,3,Punt,6,Grant Shaw punts for 41 yards to Ott25. Eddie Elder return for 6 yards to Ott31. Tackled by Ryan King.,0,0
12:00,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Kierrie Johnson.,0,0
11:48,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Dobson Collins defensed by Aaron Grymes.,0,0
11:25,3,Punt,14,Brett Maher punts for 64 yards to Edm15. Jamal Miles return for 14 yards to Edm29. Tackled by Antoine Pruneau.,0,0
11:05,1,Rush,1,Mike Reilly rush for 1 yard to the Edm30. Tackled by Chris McCoy.,0,0
10:40,2,Pass,5,Mike Reilly pass to Nate Coehoorn for 5 yards to the Edm35. Tackled by Seth Williams.,0,0
10:02,3,Punt,6,Grant Shaw punts for 45 yards to Ott30. Jamill Smith return for 6 yards to Ott36. Tackled by Deon Lacey.,0,0
09:29,1,Unnecessary Roughness,22,Chevon Walker rush for 7 yards to the Ott43. Tackled by Eric Samuels. Penalty: Unnecessary Roughness on Edmonton (Odell Willis) 15 yards.,0,0
09:10,1,Pass,2,Henry Burris pass to Chevon Walker for 2 yards to the Edm50. Tackled by Dexter McCoil.,0,0
08:30,2,Pass,6,Henry Burris pass to Matt Carter for 6 yards to the Edm44. Tackled by Joe Burnett.,0,0
07:55,3,No Yards,34,Brett Maher punts for 39 yards to Edm5. Penalty: No Yards on Ottawa (Antoine Pruneau) -5 yards.,0,0
07:29,1,Offside,-5,Penalty: Offside on Edmonton (A.J. Guyton) -5 yards.,0,0
07:21,1,Pass,11,Mike Reilly pass to Shamawd Chambers for 11 yards to the Edm16. Tackled by Jasper Simmons.,0,0
06:48,2,Rush,5,John White rush for 5 yards to the Edm21. Tackled by Jasper Simmons.,0,0
06:05,1,Rush,2,John White rush for 2 yards to the Edm23. Tackled by Zack Evans.,0,0
05:27,2,Pass,17,Mike Reilly pass to A.J. Guyton for 17 yards to the Edm40. Tackled by Jasper Simmons.,0,0
04:50,1,Rush,7,Mike Reilly rush for 7 yards to the Edm47. Tackled by Jasper Simmons.,0,0
04:11,2,Pass,3,Mike Reilly pass to Adarius Bowman for 3 yards to the Edm50. Tackled by Jerrell Gavins.,0,0
03:26,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,0
03:10,2,Rush,10,Mike Reilly rush for 10 yards to the Ott50. Tackled by Jasper Simmons.,0,0
02:25,1,Pass,6,Mike Reilly pass to Adarius Bowman for 6 yards to the Ott44. Tackled by Jovon Johnson.,0,0
01:41,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,0,0
01:07,3,Punt Single,0,Grant Shaw punts for 47 yards to Ott0. No return (Single).,0,1
01:07,1,Pass,6,Henry Burris pass to John Delahunt for 6 yards to the Ott41. Tackled by  .,0,1
00:33,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,0,1
00:16,3,Punt,13,Brett Maher punts for 53 yards to Edm16. Jamal Miles return for 13 yards to Edm29. Tackled by Andrew Marshall.,0,1
15:00,1,Rush,4,Mike Reilly rush for 4 yards to the Edm33. Tackled by T.J. Hill.,0,1
14:30,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,1
13:40,3,Punt,8,Grant Shaw punts for 41 yards to Ott36. Jamill Smith return for 8 yards to Ott44. Tackled by Nathan Kanya.,0,1
13:38,1,Rush,-2,Chevon Walker rush for a loss of 2 yards to the Ott42. Tackled by Dexter McCoil.,0,1
13:12,0,Holding,-10,Penalty: Holding on Ottawa (Nate Menkin) -10 yards.,0,1
12:43,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter.,0,1
12:23,3,Punt,0,Brett Maher punts for 43 yards to Edm35. Jamal Miles return for no gain to Edm35.,0,1
12:05,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,0,1
11:55,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for John White.,0,1
11:34,3,Punt,12,Grant Shaw punts for 53 yards to Ott22. Jamill Smith return for 12 yards to Ott34.,0,1
11:12,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter.,0,1
10:54,2,Offside,5,Penalty: Offside on Edmonton (Aaron Grymes) 5 yards.,0,1
10:22,2,Sack,-5,Sack at Ott34 for a loss of 5 yards by Almondo Sewell.,0,1
09:43,3,Punt,23,Brett Maher punts for 48 yards to Edm28. Jamal Miles return for 23 yards to Edm51. Tackled by Jason Pottinger.,0,1
09:26,1,Rush,2,John White rush for 2 yards to the Edm53. Tackled by Justin Phillips.,0,1
09:04,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,0,1
08:38,3,No Yards,27,Grant Shaw punts for 32 yards to Ott25. Penalty: No Yards on Edmonton (Deon Lacey) -5 yards.,0,1
08:16,1,Pass,15,Henry Burris pass to Patrick Lavoie for 15 yards to the Ott45. Tackled by Patrick Watkins.,0,1
07:23,1,Rush,65,Chevon Walker rush for 65 yards for a TOUCHDOWN.,6,1
07:05,0,Made Extra Point,0,Brett Maher extra point is good.,7,1
07:05,0,Holding,16,Brett Maher kicks off to the Edm9. Jamal Miles return for 16 yards to Edm25. Penalty: Objectionable Conduct on Ottawa (Brandon Lang) 10 yards. Penalty: Holding on Edmonton (Mike Dubuisson) -10 yards.,7,1
06:58,1,Rush,7,John White rush for 7 yards to the Edm32. Tackled by Eric Fraser.,7,1
06:21,2,Rush,12,Mike Reilly rush for 12 yards to the Edm44.,7,1
