Time,Down,Type,Yards,Details,Edmonton,Winnipeg
15:00,0,Kickoff,3,Grant Shaw kicks off to the Wpg6. Paris Cotton return for 3 yards to Wpg9. Tackled by Deon Lacey.,0,0
14:54,1,Rush,4,Nic Grigsby rush for 4 yards to the Wpg13. Tackled by Almondo Sewell.,0,0
14:15,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Nick Moore.,0,0
13:54,3,Holding,-6,Lirim Hajrullahu punts for 46 yards to Edm51. Jamal Miles return for 4 yards to Edm55. Penalty: Holding on Edmonton (Mike Dubuisson) -10 yards.,0,0
13:37,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,0,0
13:20,2,Rush,10,Mike Reilly rush for 10 yards to the Edm55. Tackled by Matt Bucknor.,0,0
12:22,3,Rush,1,Pat White rush for 1 yard to the Wpg54. Tackled by Johnny Sears Jr..,0,0
11:44,1,Rush,2,John White rush for 2 yards to the Wpg52. Tackled by Demond Washington.,0,0
11:06,2,Rush,9,Mike Reilly rush for 9 yards to the Wpg43. Tackled by Jason Vega.,0,0
10:28,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Simeon Rottier) -5 yards.,0,0
10:07,1,Sack,-9,Sack at Edm53 for a loss of 9 yards by Zach Anderson.,0,0
09:20,2,Pass,-1,Mike Reilly pass to A.J. Guyton for a loss of 1 yard to the Edm52. Tackled by Greg Peach.,0,0
08:50,3,Punt,0,Grant Shaw punts for 38 yards to Wpg20. No return.,0,0
08:43,1,Objectionable Conduct,7,Drew Willy pass intended for Nic Grigsby INTERCEPTED and returned for 17 yards for a TOUCHDOWN. Penalty: Objectionable Conduct on Edmonton (Odell Willis) -10 yards.,6,0
08:19,0,Made Extra Point,0,Grant Shaw extra point is good.,7,0
08:19,0,Kickoff,19,Grant Shaw kicks off to the Wpg9. Paris Cotton return for 19 yards to Wpg28. Tackled by Deon Lacey.,7,0
08:13,1,Rush,3,Nic Grigsby rush for 3 yards to the Wpg31. Tackled by Eric Samuels.,7,0
07:37,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Nick Moore defensed by Willie Jefferson.,7,0
07:16,3,Punt,6,Lirim Hajrullahu punts for 25 yards to Edm54. Jamal Miles return for 6 yards to Wpg50. Tackled by Louie Richardson.,7,0
07:04,1,Rush,4,John White rush for 4 yards to the Wpg46. Tackled by Johnny Sears Jr..,7,0
06:26,2,Interception,20,Mike Reilly pass intended for Fred Stamps INTERCEPTED and returned for 20 yards. Tackled by John White.,7,0
06:02,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Julian Feoli-Gudino.,7,0
05:38,2,Pass,1,Drew Willy pass to Nic Grigsby for 1 yard to the Wpg41. Tackled by Willie Jefferson.,7,0
05:07,3,Illegal Block,-8,Lirim Hajrullahu punts for 47 yards to Edm22. Jamal Miles return for 2 yards to Edm24. Penalty: Illegal Block on Edmonton (Mike Miller) -10 yards.,7,0
04:56,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,7,0
04:43,2,Sack,-8,Sack at Edm6 for a loss of 8 yards by Zach Anderson.,7,0
04:12,3,Punt,3,Grant Shaw punts for 63 yards to Wpg41. Demond Washington return for 3 yards to Wpg44. Tackled by Deon Lacey.,7,0
03:53,1,Rush,1,Paris Cotton rush for 1 yard to the Wpg45. Tackled by Eddie Steele.,7,0
03:14,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Paris Cotton.,7,0
02:55,3,Punt,5,Lirim Hajrullahu punts for 40 yards to Edm25. Jamal Miles return for 5 yards to Edm30. Tackled by Chris Randle.,7,0
02:45,1,Rush,-3,John White rush for a loss of 3 yards to the Edm27. Tackled by Jason Vega.,7,0
02:10,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for A.J. Guyton.,7,0
01:42,3,Punt,0,Grant Shaw punts for 41 yards to Wpg42. Julian Feoli-Gudino return for no gain to Wpg42. Tackled by Eric Samuels.,7,0
01:29,1,Rush,6,Nic Grigsby rush for 6 yards to the Wpg48. Tackled by Chris Rwabukamba.,7,0
00:54,2,Pass,3,Drew Willy pass to Rory Kohlert for 3 yards to the Wpg51. Tackled by Joe Burnett.,7,0
00:01,3,Punt,12,Lirim Hajrullahu punts for 50 yards to Edm9. Jamal Miles return for 12 yards to Edm21. Tackled by Desia Dunn.,7,0
15:00,1,Rush,4,Mike Reilly rush for 4 yards to the Edm25. Tackled by Ian Wild.,7,0
14:35,2,Pass,15,Mike Reilly pass to A.J. Guyton for 15 yards to the Edm40. Tackled by Desia Dunn.,7,0
