Time,Down,Type,Yards,Details,Calgary,Edmonton
15:00,0,Kickoff,30,Grant Shaw kicks off to the Cgy14. Jock Sanders return for 30 yards to Cgy44. Tackled by Nathan Kanya.,0,0
14:54,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jeff Fuller.,0,0
14:32,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel.,0,0
14:09,3,Fumble,3,"Rob Maver punts for 42 yards to Edm24. Jamal Miles return for 3 yards to Edm27. FUMBLE, recovered by Cgy (Rob Cote). Tackled by Mike Dubuisson.",0,0
13:49,1,Offside,-5,Penalty: Offside on Calgary (Jeff Fuller) -5 yards.,0,0
13:43,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Nik Lewis defensed by Willie Jefferson.,0,0
13:26,2,Pass,3,Bo Levi Mitchell pass to Matt Walter for 3 yards to the Edm29. Tackled by Eddie Steele.,0,0
12:43,3,Missed Field Goal,36,Rene Paredes 36 yard field goal attempt is GOOD.,3,0
12:43,1,Pass,5,Mike Reilly pass to Adarius Bowman for 5 yards to the Edm40. Tackled by Josh Bell.,3,0
12:19,2,Pass,38,Mike Reilly pass to Kendial Lawrence for 38 yards to the Cgy32. Tackled by Josh Bell.,3,0
11:30,1,Rush,-1,John White rush for a loss of 1 yard to the Cgy33. Tackled by Micah Johnson.,3,0
10:52,2,Pass,9,Mike Reilly pass to A.J. Guyton for 9 yards to the Cgy24. Tackled by Fred Bennett.,3,0
10:10,3,Missed Field Goal,31,Grant Shaw 31 yard field goal attempt is GOOD.,3,3
10:10,0,Kickoff,16,Grant Shaw kicks off to the Cgy20. Jock Sanders return for 16 yards to Cgy36. Tackled by Nate Coehoorn.,3,3
10:03,1,Rush,5,Matt Walter rush for 5 yards to the Cgy41. Tackled by Rennie Curran.,3,3
09:24,2,Rush,4,Jock Sanders rush for 4 yards to the Cgy45. Tackled by Rennie Curran.,3,3
08:47,0,Holding,-10,Penalty: Holding on Calgary (Ben D'Aguilar) -10 yards.,3,3
08:30,3,Punt,3,Rob Maver punts for 55 yards to Edm20. Jamal Miles return for 3 yards to Edm23. Tackled by Keenan MacDougall.,3,3
08:10,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman defensed by Juwan Simpson.,3,3
08:00,2,Pass,12,Mike Reilly pass to Shamawd Chambers for 12 yards to the Edm35. Tackled by Lin-J Shell.,3,3
07:18,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,3,3
06:54,2,Pass,-2,Mike Reilly pass to Kendial Lawrence for a loss of 2 yards to the Edm33. Tackled by Brandon Smith.,3,3
05:57,0,Blocked Punt,-19,FUMBLE Punt blocked by Keenan MacDougall.  Recovered by Cgy (Keenan MacDougall) and returned for 7 yards for a TOUCHDOWN,9,3
05:51,0,Made Extra Point,0,Rene Paredes extra point is good.,10,3
05:51,0,Kickoff,25,Rene Paredes kicks off to the Edm0. Jamal Miles return for 25 yards to Edm23. Tackled by Jeff Hecht.,10,3
05:44,1,Rush,6,John White rush for 6 yards to the Edm29. Tackled by Brandon Smith.,10,3
05:10,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,10,3
04:50,3,Illegal Participation,1,Grant Shaw punts for 47 yards to Cgy34. Jock Sanders return for 11 yards to Cgy45. Tackled by Corbin Sharun. Penalty: Illegal Participation on Calgary (Glenn Love) -10 yards.,10,3
04:20,1,Rush,2,Jock Sanders rush for 2 yards to the Cgy37. Tackled by Eddie Steele.,10,3
03:50,2,Rush,6,Bo Levi Mitchell rush for 6 yards to the Cgy43. Tackled by Eddie Steele.,10,3
03:23,3,Punt,3,Rob Maver punts for 52 yards to Edm15. Jamal Miles return for 3 yards to Edm18. Tackled by Glenn Love.,10,3
03:04,1,Pass,-1,Mike Reilly pass to Adarius Bowman for a loss of 1 yard to the Edm17. Tackled by Lin-J Shell.,10,3
02:28,2,Pass,15,Mike Reilly pass to Devon Bailey for 15 yards to the Edm32. Tackled by Fred Bennett.,10,3
01:50,1,Rush,20,Kendial Lawrence rush for 20 yards to the Edm52. Tackled by Jamar Wall.,10,3
01:15,1,Rush,5,John White rush for 5 yards to the Cgy53. Tackled by Josh Bell.,10,3
00:49,2,Rush,6,John White rush for 6 yards to the Cgy47. Tackled by Freddie Bishop III.,10,3
00:14,1,Pass,11,Mike Reilly pass to Adarius Bowman for 11 yards to the Cgy36. Tackled by Fred Bennett.,10,3
15:00,0,Pass Interference,35,Penalty: Pass Interference on Calgary (Brandon McDonald) 35 yards.,10,3
14:37,1,Rush,1,Pat White rush for 1 yard for a TOUCHDOWN.,10,9
14:29,0,Made Extra Point,0,Grant Shaw extra point is good.,10,10
14:29,0,Kickoff,17,Grant Shaw kicks off to the Cgy3. Jock Sanders return for 17 yards to Cgy20. Tackled by Calvin McCarty.,10,10
14:23,1,Rush,4,Jock Sanders rush for 4 yards to the Cgy24. Tackled by Eddie Steele.,10,10
13:48,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Joe West.,10,10
13:21,3,Punt,17,Rob Maver punts for 52 yards to Edm34. Jamal Miles return for 17 yards to Edm51. Tackled by Yannick Carter.,10,10
13:00,0,Illegal Participation,0,Penalty: Holding on Edmonton (Tony Washington) -10 yards. Penalty: Illegal Participation on Calgary (Josh Bell) 10 yards.,10,10
12:35,1,Pass,7,Mike Reilly pass to Shamawd Chambers for 7 yards to the Cgy52. Tackled by Fred Bennett.,10,10
12:12,2,Pass,6,Mike Reilly pass to Adarius Bowman for 6 yards to the Cgy46. Tackled by Brandon Smith.,10,10
11:26,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Kendial Lawrence.,10,10
11:08,2,Pass,3,Mike Reilly pass to A.J. Guyton for 3 yards to the Cgy43. Tackled by Fred Bennett.,10,10
10:30,3,Illegal Punt,12,Grant Shaw punts for 22 yards to Cgy21. Penalty: Illegal Punt on Edmonton (Grant Shaw) -10 yards.,10,10
10:17,1,Rush,12,Jock Sanders rush for 12 yards to the Cgy43. Tackled by Patrick Watkins.,10,10
09:50,1,Pass,7,Bo Levi Mitchell pass to Simon Charbonneau-Campeau for 7 yards to the Cgy50. Tackled by Otha Foster.,10,10
09:15,2,Rush,3,Jock Sanders rush for 3 yards to the Cgy53. Tackled by Deon Lacey.,10,10
08:43,3,Offside,5,Penalty: Offside on Edmonton (Odell Willis) 5 yards.,10,10
08:22,0,Holding,-10,Penalty: Holding on Calgary (Dan Federkeil) -10 yards.,10,10
08:07,0,Holding,-10,Penalty: Holding on Calgary (Dan Federkeil) -10 yards.,10,10
