Time,Down,Type,Yards,Details,Edmonton,Hamilton
15:00,0,Illegal Block,1,Hugh O'Neill kicks off to the Ham14. Brandon Banks return for 11 yards to Ham25. Penalty: Illegal Block on Hamilton (Marc Beswick) -10 yards.,0,0
14:54,1,Pass,1,Zach Collaros pass to C.J. Gable for 1 yard to the Ham16. Tackled by Aaron Grymes.,0,0
14:33,2,Rush,11,Zach Collaros rush for 11 yards to the Ham27. Tackled by Rennie Curran.,0,0
13:41,1,Rush,-2,Brandon Banks rush for a loss of 2 yards to the Ham25. Tackled by  .,0,0
13:17,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,0,0
12:54,3,Punt,10,Justin Medlock punts for 52 yards to Edm33. Kendial Lawrence return for 10 yards to Edm43. Tackled by Ed Gainey.,0,0
12:42,1,Rush,2,Kendial Lawrence rush for 2 yards to the Edm45. Tackled by Craig Butler.,0,0
12:20,2,Pass,13,Mike Reilly pass to Nate Coehoorn for 13 yards to the Ham52.,0,0
11:45,1,Pass,-1,Mike Reilly pass to A.J. Guyton for a loss of 1 yard to the Ham53. Tackled by Erik Harris.,0,0
11:28,2,Pass,10,Mike Reilly pass to Nate Coehoorn for 10 yards to the Ham43. Tackled by Courtney Stephen.,0,0
10:49,3,Rush,2,Mike Reilly rush for 2 yards to the Ham41. Tackled by Taylor Reed.,0,0
10:14,1,Rush,1,Kendial Lawrence rush for 1 yard to the Ham40. Tackled by Eric Norwood.,0,0
09:37,2,Sack,-4,Sack at Ham44 for a loss of 4 yards by Eric Norwood.,0,0
09:10,3,Punt,0,Hugh O'Neill punts for 29 yards to Ham15. No return.,0,0
08:37,1,Pass,-2,Zach Collaros pass to Bakari Grant for a loss of 2 yards to the Ham13. Tackled by Aaron Grymes.,0,0
08:06,2,Pass,34,Zach Collaros pass to Brandon Banks for 34 yards to the Ham47. Tackled by Ryan Hinds.,0,0
07:36,1,Pass,6,Zach Collaros pass to Brandon Banks for 6 yards to the Ham53. Tackled by Rennie Curran.,0,0
06:40,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Bakari Grant.,0,0
06:20,3,No Yards,35,Justin Medlock punts for 40 yards to Edm17. Penalty: No Yards on Hamilton (Arnaud Gascon-Nadon) -5 yards.,0,0
05:57,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,0
05:35,1,Pass,1,Mike Reilly pass to Adarius Bowman for 1 yard to the Edm23. Tackled by  .,0,0
05:10,3,Punt,7,Hugh O'Neill punts for 46 yards to Ham41. Brandon Banks return for 7 yards to Ham48. Tackled by Mathieu Boulay.,0,0
04:36,1,Pass,8,Zach Collaros pass to Greg Ellingson for 8 yards to the Edm54. Tackled by Otha Foster.,0,0
04:19,2,Rush,6,Brandon Banks rush for 6 yards to the Edm48. Tackled by  .,0,0
03:43,1,Interception,3,Zach Collaros pass intended for Luke Tasker INTERCEPTED and returned for 3 yards. Tackled by Luke Tasker.,0,0
02:56,1,Sack,-1,Sack at Edm39 for a loss of 1 yard by Eric Norwood.,0,0
02:38,2,Sack,-6,Sack at Edm33 for a loss of 6 yards by Eric Norwood.,0,0
01:58,3,No Yards,23,Hugh O'Neill punts for 38 yards to Ham39. Penalty: No Yards on Edmonton (Mike Miller) -15 yards.,0,0
01:27,1,Offside,5,Penalty: Offside on Edmonton (Dexter McCoil) 5 yards.,0,0
01:11,1,Pass,31,Zach Collaros pass to Andy Fantuz for 31 yards to the Edm20. Tackled by Ryan Hinds.,0,0
00:41,1,Pass,6,Zach Collaros pass to Bakari Grant for 6 yards to the Edm14. Tackled by Alonzo Lawrence.,0,0
00:03,2,Pass,9,Zach Collaros pass to Bakari Grant for 9 yards to the Edm5. Tackled by Dexter McCoil.,0,0
15:00,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andy Fantuz defensed by Marcell Young.,0,0
14:47,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,0,0
14:02,3,Missed Field Goal,13,Justin Medlock 13 yard field goal attempt is GOOD.,0,3
14:02,0,Kickoff,11,Justin Medlock kicks off to the Edm20. Tyler Thomas return for 11 yards to Edm31. Tackled by Frederic Plesius.,0,3
13:57,1,Fumble,30,"Mike Reilly pass to Fred Stamps for 30 yards to the Ham49. FUMBLE, recovered by Edm (Fred Stamps).",0,3
12:58,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,0,3
12:41,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,0,3
11:57,3,Punt Single,0,Hugh O'Neill punts for 61 yards to Ham0. No return (Single).,1,3
11:57,1,Pass,2,Zach Collaros pass to Brandon Banks for 2 yards to the Ham37. Tackled by Cauchy Muamba.,1,3
11:38,2,Pass,4,Zach Collaros pass to Samuel Giguere for 4 yards to the Ham41. Tackled by Patrick Watkins.,1,3
11:06,3,Punt,6,Justin Medlock punts for 35 yards to Edm34. A.J. Guyton return for 6 yards to Edm40. Tackled by Erik Harris.,1,3
10:52,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,1,3
10:38,2,Rush,5,Tyler Thomas rush for 5 yards to the Edm45. Tackled by Simoni Lawrence.,1,3
10:08,3,Punt,11,Hugh O'Neill punts for 57 yards to Ham8. Luke Tasker return for 11 yards to Ham19. Tackled by Mathieu Boulay.,1,3
09:31,1,Pass,17,Zach Collaros pass to Andy Fantuz for 17 yards to the Ham36. Tackled by Otha Foster.,1,3
09:08,1,Sack,-10,Sack at Ham26 for a loss of 10 yards by Gregory Alexandre.,1,3
08:35,2,Sack,-4,Sack at Ham22 for a loss of 4 yards by Odell Willis.,1,3
07:50,3,Punt,1,Justin Medlock punts for 48 yards to Edm40. A.J. Guyton return for 1 yard to Edm41. Tackled by Aaron Crawford.,1,3
07:31,1,Pass,4,Mike Reilly pass to A.J. Guyton for 4 yards to the Edm45. Tackled by Brandon Stewart.,1,3
07:18,2,Fumble,12,"Mike Reilly pass to Adarius Bowman for 12 yards to the Ham53. FUMBLE, recovered by Ham ( ). Tackled by Fred Stamps.",1,3
06:39,1,Pass,16,Zach Collaros pass to Brandon Banks for 16 yards to the Edm41. Tackled by Otha Foster.,1,3
06:21,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Greg Ellingson.,1,3
06:04,2,Sack,-8,Sack at Edm49 for a loss of 8 yards by Eddie Steele.,1,3
05:36,3,Punt,7,Justin Medlock punts for 38 yards to Edm11. Marcell Young return for 7 yards to Edm18. Tackled by Ed Gainey.,1,3
04:58,1,Pass,50,Mike Reilly pass to Nate Coehoorn for 50 yards to the Ham42. Tackled by Rico Murray.,1,3
04:30,0,Unnecessary Roughness,35,Penalty: Pass Interference on Hamilton ( ) 28 yards. Penalty: Unnecessary Roughness on Hamilton ( ) 7 yards.,1,3
04:07,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,1,3
03:55,0,Roughing Passer,3,Penalty: Roughing Passer on Hamilton (Eric Norwood) 3 yards.,1,3
03:31,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,1,3
02:40,2,Pass,4,Mike Reilly pass to Tyler Thomas for 4 yards for a TOUCHDOWN.,7,3
02:40,0,Made Extra Point,0,Hugh O'Neill extra point is good.,8,3
02:40,0,Kickoff,22,Hugh O'Neill kicks off to the Ham3. Brandon Banks return for 22 yards to Ham25. Tackled by Otha Foster.,8,3
