Time,Down,Type,Yards,Details,Edmonton,Toronto
15:00,0,Kickoff,30,Hugh O'Neill kicks off to the Tor12. Robert Gill return for 30 yards to Tor42. Tackled by Patrick Watkins.,0,0
14:50,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,0,0
14:20,2,Pass,10,Ricky Ray pass to LaVon Brazill for 10 yards to the Tor52. Tackled by Patrick Watkins.,0,0
13:57,3,Rush,4,Mitchell Gale rush for 4 yards to the Edm54. Tackled by Ryan Hinds.,0,0
13:36,1,Rush,6,Anthony Woodson rush for 6 yards to the Edm48. Tackled by Dexter McCoil.,0,0
13:02,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes.,0,0
12:44,3,Punt,4,Swayze Waters punts for 47 yards to Edm1. Kendial Lawrence return for 4 yards to Edm5. Tackled by James Yurichuk.,0,0
12:28,1,Rush,1,John White rush for 1 yard to the Edm6. Tackled by Gregory Jones.,0,0
12:00,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,0
11:59,3,Punt,13,Hugh O'Neill punts for 50 yards to Tor54. Chad Owens return for 13 yards to Edm43. Tackled by Rennie Curran.,0,0
11:00,1,Pass,10,Ricky Ray pass to Curtis Steele for 10 yards to the Edm33. Tackled by Aaron Grymes.,0,0
10:40,2,Offside,5,Penalty: Offside on Edmonton (Bo Adebayo) 5 yards.,0,0
10:21,1,Pass,28,Ricky Ray pass to Chad Owens for 28 yards for a TOUCHDOWN.,0,6
10:08,0,Made Extra Point,0,Swayze Waters extra point is good.,0,7
10:08,0,Kickoff,22,Swayze Waters kicks off to the Edm5. Kendial Lawrence return for 22 yards to Edm27. Tackled by Ivan Brown.,0,7
10:01,1,Rush,3,Mike Reilly rush for 3 yards to the Edm30. Tackled by Shea Emry.,0,7
09:16,2,Sack,-6,Sack at Edm24 for a loss of 6 yards by Tristan Okpalaugo.,0,7
08:47,3,Punt,29,Hugh O'Neill punts for 51 yards to Tor35. Chad Owens return for 29 yards to Edm46. Tackled by Calvin McCarty.,0,7
08:23,0,Pass Interference,36,Penalty: Pass Interference on Edmonton (Patrick Watkins) 36 yards.,0,7
07:54,1,Pass,4,Ricky Ray pass to Anthony Woodson for 4 yards to the Edm6. Tackled by Almondo Sewell.,0,7
06:48,2,Pass,6,Ricky Ray pass to Chad Owens for 6 yards for a TOUCHDOWN.,0,13
06:30,0,Made Extra Point,0,Swayze Waters extra point is good.,0,14
06:15,0,Kickoff,107,Swayze Waters kicks off to the Edm3. Kendial Lawrence return for 107 yards to Tor0 for a TOUCHDOWN.,6,14
06:06,0,Made Extra Point,0,Hugh O'Neill extra point is good.,7,14
06:06,0,Kickoff,23,Hugh O'Neill kicks off to the Tor12. Robert Gill return for 23 yards to Tor35. Tackled by Dexter McCoil.,7,14
05:57,1,Rush,10,Steve Slaton rush for 10 yards to the Tor45. Tackled by Almondo Sewell.,7,14
05:20,1,Rush,21,Steve Slaton rush for 21 yards to the Edm44. Tackled by Dexter McCoil.,7,14
04:27,1,Pass,-6,Ricky Ray pass to Chad Owens for a loss of 6 yards to the Edm50. Tackled by Aaron Grymes.,7,14
03:50,2,Pass,12,Ricky Ray pass to Jason Barnes for 12 yards to the Edm38. Tackled by Dexter McCoil.,7,14
02:54,3,Missed Field Goal,45,Swayze Waters 45 yard field goal attempt is GOOD.,7,17
02:54,0,Illegal Block,6,Swayze Waters kicks off to the Edm3. Kendial Lawrence return for 15 yards to Edm18. Penalty: Illegal Block on Edmonton (Corbin Sharun) -9 yards.,7,17
02:42,0,Holding,-4,Penalty: Holding on Edmonton (Selvish Capers) -4 yards.,7,17
02:26,1,Rush,9,Mike Reilly rush for 9 yards to the Edm14. Tackled by Vincent Agnew.,7,17
01:46,0,Illegal Contact,10,Penalty: Illegal Contact on Toronto (Alex Suber) 10 yards.,7,17
01:19,1,Pass,3,Mike Reilly pass to Adarius Bowman for 3 yards to the Edm27. Tackled by Jamie Robinson.,7,17
00:45,2,Pass,13,Mike Reilly pass to Adarius Bowman for 13 yards to the Edm40. Tackled by Branden Smith.,7,17
00:01,1,Pass,8,Mike Reilly pass to Adarius Bowman for 8 yards to the Edm48. Tackled by Alex Suber.,7,17
15:00,2,Pass,-6,Mike Reilly pass to Kendial Lawrence for a loss of 6 yards to the Edm42. Tackled by Branden Smith.,7,17
14:34,3,Punt,2,Hugh O'Neill punts for 39 yards to Tor29. Chad Owens return for 2 yards to Tor31. Tackled by Mike Miller.,7,17
14:14,1,Offside,5,Penalty: Offside on Edmonton (Dexter McCoil) 5 yards.,7,17
14:01,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes defensed by Bo Adebayo.,7,17
13:15,2,Pass,5,Ricky Ray pass to Chad Owens for 5 yards to the Tor41. Tackled by Alonzo Lawrence.,7,17
13:04,1,Rush,25,Curtis Steele rush for 25 yards to the Edm44. Tackled by Alonzo Lawrence.,7,17
12:29,1,Rush,6,Curtis Steele rush for 6 yards to the Edm38. Tackled by Dexter McCoil.,7,17
11:52,2,Rush,3,Curtis Steele rush for 3 yards to the Edm35. Tackled by Cedric McKinley.,7,17
11:10,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Toronto -5 yards.,7,17
10:21,3,Missed Field Goal,47,Swayze Waters 47 yard field goal attempt is GOOD.,7,20
10:21,0,Illegal Contact,10,Penalty: Illegal Contact on Toronto (Gregory Jones) 10 yards.,7,20
10:00,1,Pass,6,Mike Reilly pass to Fred Stamps for 6 yards to the Edm51. Tackled by Logan Harrell.,7,20
09:28,2,Pass,7,Mike Reilly pass to Fred Stamps for 7 yards to the Tor52. Tackled by Jalil Carter.,7,20
08:47,1,Rush,0,John White rush for no gain to the Tor52. Tackled by Jalil Carter.,7,20
07:52,2,Pass,13,Mike Reilly pass to John White for 13 yards to the Tor39. Tackled by Jalil Carter.,7,20
07:23,1,Rush,5,John White rush for 5 yards to the Tor34. Tackled by Vincent Agnew.,7,20
06:46,2,Pass,11,Mike Reilly pass to Adarius Bowman for 11 yards to the Tor23. Tackled by Branden Smith.,7,20
05:42,1,Rush,23,Mike Reilly rush for 23 yards for a TOUCHDOWN.,13,20
05:28,0,Made Extra Point,0,Hugh O'Neill extra point is good.,14,20
05:28,0,Kickoff,21,"Hugh O'Neill kicks off to the Tor15. Robert Gill return for 21 yards to Tor36., recovered by Edm (Deon Lacey). Tackled by James Yurichuk.",14,20
05:21,1,Pass,15,Mike Reilly pass to Nate Coehoorn for 15 yards to the Tor21. Tackled by Alex Suber.,14,20
04:47,1,Rush,6,Kendial Lawrence rush for 6 yards to the Tor15. Tackled by Tristan Okpalaugo.,14,20
03:44,2,Pass,15,Mike Reilly pass to Kendial Lawrence for 15 yards for a TOUCHDOWN.,20,20
03:26,0,Made Extra Point,0,Hugh O'Neill extra point is good.,21,20
03:26,0,Kickoff,33,Hugh O'Neill kicks off to the Tor12. Robert Gill return for 33 yards to Tor45. Tackled by Hugh O'Neill.,21,20
03:19,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens defensed by Odell Willis.,21,20
03:01,2,Pass,14,Ricky Ray pass to Chad Owens for 14 yards to the Edm51. Tackled by Cedric McKinley.,21,20
02:48,1,Pass,6,Ricky Ray pass to Jason Barnes for 6 yards to the Edm45. Tackled by Ryan Hinds.,21,20
02:32,2,Pass,6,Ricky Ray pass to Steve Slaton for 6 yards to the Edm39. Tackled by Ryan Hinds.,21,20
02:07,1,Pass,10,Ricky Ray pass to Anthony Woodson for 10 yards to the Edm29. Tackled by Aaron Grymes.,21,20
01:56,2,Rush,11,Mitchell Gale rush for 11 yards to the Edm18. Tackled by Cauchy Muamba.,21,20
01:37,1,Interception,27,Ricky Ray pass intended for Chad Owens INTERCEPTED and returned for 27 yards. Tackled by Anthony Woodson.,21,20
01:15,1,Rush,4,John White rush for 4 yards to the Edm29. Tackled by Vincent Agnew.,21,20
00:57,2,Pass,12,Mike Reilly pass to Kendial Lawrence for 12 yards to the Edm41. Tackled by Jamie Robinson.,21,20
00:48,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,21,20
00:42,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Simeon Rottier) -5 yards.,21,20
00:42,2,Pass,6,Mike Reilly pass to Devon Bailey for 6 yards to the Edm42. Tackled by Jalil Carter.,21,20
00:36,3,Punt,7,Hugh O'Neill punts for 48 yards to Tor20. Chad Owens return for 7 yards to Tor27. Tackled by Deon Lacey.,21,20
15:00,0,Kickoff,26,Swayze Waters kicks off to the Edm4. Kendial Lawrence return for 26 yards to Edm30. Tackled by Gregory Jones.,21,20
14:50,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Steve Myddelton.,21,20
14:32,2,Pass,10,Mike Reilly pass to Nate Coehoorn for 10 yards to the Edm40. Tackled by Jermaine Gabriel.,21,20
13:57,1,Rush,4,John White rush for 4 yards to the Edm44. Tackled by Jamie Robinson.,21,20
13:14,2,Pass,18,Mike Reilly pass to John White for 18 yards to the Tor48. Tackled by Branden Smith.,21,20
12:35,1,Pass,7,Mike Reilly pass to Nate Coehoorn for 7 yards to the Tor41. Tackled by Matthew Ware.,21,20
12:26,2,Pass,6,Mike Reilly pass to John White for 6 yards to the Tor35.,21,20
11:57,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for John White.,21,20
11:36,2,Pass,10,Mike Reilly pass to Nate Coehoorn for 10 yards to the Tor25.,21,20
11:15,1,Interception,38,Mike Reilly pass intended for Fred Stamps INTERCEPTED and returned for 38 yards. Tackled by Simeon Rottier.,21,20
10:39,1,Pass,20,Ricky Ray pass to LaVon Brazill for 20 yards to the Edm53. Tackled by Ryan Hinds.,21,20
10:08,0,Holding,-10,Penalty: Holding on Toronto (Chris Van Zeyl) -10 yards.,21,20
09:46,1,Unnecessary Roughness,21,Ricky Ray pass to Steve Slaton for 6 yards to the Tor53. Tackled by J.C. Sherritt. Penalty: Unnecessary Roughness on Edmonton (Mathieu Boulay) 15 yards.,21,20
09:21,1,Rush,6,Steve Slaton rush for 6 yards to the Edm36. Tackled by Alonzo Lawrence.,21,20
08:52,2,Pass,30,Ricky Ray pass to Chad Owens for 30 yards to the Edm6. Tackled by Aaron Grymes.,21,20
08:03,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes.,21,20
07:36,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,21,20
06:52,3,Missed Field Goal,13,Swayze Waters 13 yard field goal attempt is GOOD.,21,23
06:52,1,Rush,-1,Kendial Lawrence rush for a loss of 1 yard to the Edm34. Tackled by Shea Emry.,21,23
06:15,2,Pass,1,Mike Reilly pass to Adarius Bowman for 1 yard to the Edm35. Tackled by Shea Emry.,21,23
05:51,3,Punt,8,Hugh O'Neill punts for 49 yards to Tor26. LaVon Brazill return for 8 yards to Tor34.,21,23
05:33,1,Rush,3,Curtis Steele rush for 3 yards to the Tor37. Tackled by J.C. Sherritt.,21,23
05:04,2,Pass,6,Ricky Ray pass to Robert Gill for 6 yards to the Tor43. Tackled by Alonzo Lawrence.,21,23
04:41,3,Rush,2,Mitchell Gale rush for 2 yards to the Tor45. Tackled by J.C. Sherritt.,21,23
03:59,1,Pass Interference,5,Penalty: Illegal Procedure on Toronto -5 yards. Penalty: Pass Interference on Edmonton (Chris Rwabukamba) 10 yards.,21,23
03:38,1,Rush,7,Anthony Woodson rush for 7 yards to the Edm53. Tackled by J.C. Sherritt.,21,23
03:08,1,Pass,8,Ricky Ray pass to LaVon Brazill for 8 yards to the Edm45. Tackled by Chris Rwabukamba.,21,23
02:27,2,Rush,0,Curtis Steele rush for no gain to the Edm45. Tackled by Aaron Grymes.,21,23
01:47,0,Too Many Men on Field,10,Penalty: Too Many Men on Field on Edmonton 10 yards.,21,23
01:26,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Toronto (Chris Van Zeyl) -5 yards.,21,23
01:16,0,Illegal Contact,10,Penalty: Illegal Contact on Edmonton (Cameron Sheffield) 10 yards.,21,23
00:40,1,Rush,9,Curtis Steele rush for 9 yards to the Edm21. Tackled by Alonzo Lawrence.,21,23
00:16,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,21,23
15:00,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for LaVon Brazill.,21,23
