Time,Down,Type,Yards,Details,BC,Edmonton
15:00,0,Kickoff,9,Hugh O'Neill kicks off to the BC27. Marco Iannuzzi return for 9 yards to BC36. Tackled by Mike Miller.,0,0
14:56,1,Pass,4,Kevin Glenn pass to Emmanuel Arceneaux for 4 yards to the BC40. Tackled by Otha Foster.,0,0
14:24,2,Offside,-5,Penalty: Offside on BC (Ernest Jackson) -5 yards.,0,0
14:05,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Emmanuel Arceneaux defensed by Dexter McCoil.,0,0
13:44,3,Punt,9,Ricky Schmitt punts for 46 yards to Edm29. Kendial Lawrence return for 9 yards to Edm38. Tackled by Jamall Johnson.,0,0
13:28,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Devon Bailey.,0,0
13:06,2,Unnecessary Roughness,33,Mike Reilly rush for 18 yards to the BC54. Tackled by Solomon Elimimian. Penalty: Unnecessary Roughness on BC (Jabar Westerman) 15 yards.,0,0
12:30,1,Rush,-1,John White rush for a loss of 1 yard to the BC40. Tackled by David Menard.,0,0
11:55,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,0
11:19,3,Missed Field Goal,47,Hugh O'Neill 47 yard field goal attempt is GOOD.,0,3
11:19,0,Kickoff,13,Hugh O'Neill kicks off to the BC22. Marco Iannuzzi return for 13 yards to BC35. Tackled by Calvin McCarty.,0,3
11:14,1,Rush,5,Keola Antolin rush for 5 yards to the BC40. Tackled by Aaron Grymes.,0,3
10:45,2,Pass,3,Kevin Glenn pass to Kito Poblah for 3 yards to the BC43. Tackled by Otha Foster.,0,3
10:06,3,Punt,4,Ricky Schmitt punts for 47 yards to Edm20. Kendial Lawrence return for 4 yards to Edm24. Tackled by Bo Lokombo.,0,3
09:55,1,Rush,1,John White rush for 1 yard to the Edm26. Tackled by Adam Bighill.,0,3
09:25,2,Offside,5,Penalty: Offside on BC (Josh Johnson) 5 yards.,0,3
09:02,2,Rush,4,John White rush for 4 yards to the Edm35. Tackled by Solomon Elimimian.,0,3
08:15,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,3
07:57,2,Pass,36,Mike Reilly pass to Adarius Bowman for 36 yards to the BC39. Tackled by J.R. LaRose.,0,3
07:15,1,Rush,30,John White rush for 30 yards to the BC9. Tackled by Solomon Elimimian.,0,3
