Time,Down,Type,Yards,Details,Hamilton,Edmonton
15:00,0,Kickoff,24,Grant Shaw kicks off to the Ham4. Brandon Banks return for 24 yards to Ham28. Tackled by Aaron Grymes.,0,0
14:53,1,Rush,2,Mossis Madu rush for 2 yards to the Ham30. Tackled by Patrick Watkins.,0,0
14:21,2,Sack,-5,Sack at Ham25 for a loss of 5 yards by Eric Samuels.,0,0
13:33,3,Punt,7,Justin Medlock punts for 52 yards to Edm33. Patrick Robertson return for 7 yards to Edm40. Tackled by Erik Harris.,0,0
13:02,1,Rush,5,Tyler Thomas rush for 5 yards to the Edm45. Tackled by Brian Bulcke.,0,0
12:28,2,Pass,6,Mike Reilly pass to Nate Coehoorn for 6 yards to the Edm51. Tackled by Michael Coe.,0,0
11:49,1,Pass,17,Mike Reilly pass to A.J. Guyton for 17 yards to the Ham42. Tackled by Craig Butler.,0,0
11:18,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,0
11:03,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,0,0
10:43,3,Punt,0,Grant Shaw punts for 39 yards to Ham3. No return.,0,0
10:26,1,Interception,2,Zach Collaros pass INTERCEPTED and returned for 2 yards. Tackled by Luke Tasker.,0,0
10:08,1,Rush,5,Tyler Thomas rush for 5 yards to the Ham9. Tackled by Craig Butler.,0,0
09:34,2,Pass,4,Mike Reilly pass to Tyler Thomas for 4 yards to the Ham5. Tackled by Brandon Stewart.,0,0
09:09,3,Offside,3,Penalty: Offside on Hamilton (Frederic Plesius) 3 yards.,0,0
08:53,1,Rush,-1,Tyler Thomas rush for a loss of 1 yard to the Ham3. Tackled by Simoni Lawrence.,0,0
07:49,2,Pass,3,Mike Reilly pass to Nate Coehoorn for 3 yards for a TOUCHDOWN.,0,6
07:38,0,Made Extra Point,0,Grant Shaw extra point is good.,0,7
07:38,0,Kickoff,28,Grant Shaw kicks off to the Ham1. Brandon Banks return for 28 yards to Ham29. Tackled by Deon Lacey.,0,7
07:31,1,Rush,5,C.J. Gable rush for 5 yards to the Ham34. Tackled by Eric Samuels.,0,7
06:52,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,0,7
06:39,3,Face Mask,24,Justin Medlock punts for 38 yards to Edm38. Patrick Robertson return for 9 yards to Edm47. Tackled by Beau Landry. Penalty: Face Mask on Hamilton (Arnaud Gascon-Nadon) 15 yards.,0,7
06:24,1,Pass,11,Mike Reilly pass to Nate Coehoorn for 11 yards to the Ham37. Tackled by Simoni Lawrence.,0,7
05:57,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,7
05:31,2,Fumble,63,"Mike Reilly pass to Adarius Bowman for 15 yards to the Ham22. FUMBLE, recovered by Ham (Erik Harris) and returned for 48 yards. Tackled by Mike Reilly.",0,7
04:53,1,Pass,24,Zach Collaros pass to C.J. Gable for 24 yards to the Edm16. Tackled by Chris Rwabukamba.,0,7
04:25,1,Pass,9,Zach Collaros pass to C.J. Gable for 9 yards to the Edm7. Tackled by Eddie Steele.,0,7
03:38,2,Rush,2,Dan LeFevour rush for 2 yards to the Edm5. Tackled by Almondo Sewell.,0,7
02:56,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton (Greg Wojt) -5 yards.,0,7
02:44,1,Pass,8,Dan LeFevour pass to Luke Tasker for 8 yards to the Edm2. Tackled by Marcell Young.,0,7
02:17,2,Rush,2,Dan LeFevour rush for 2 yards for a TOUCHDOWN.,6,7
01:59,0,Made Extra Point,0,Justin Medlock extra point is good.,7,7
01:59,0,Kickoff,15,Justin Medlock kicks off to the Edm7. Patrick Robertson return for 15 yards to Edm22. Tackled by Beau Landry.,7,7
01:53,0,Tripping,10,Penalty: Tripping on Hamilton (Emanuel Davis) 10 yards.,7,7
01:12,1,Pass,13,Mike Reilly pass to Fred Stamps for 13 yards to the Edm45. Tackled by Michael Coe.,7,7
00:29,1,Rush,3,Tyler Thomas rush for 3 yards to the Edm48. Tackled by Frederic Plesius.,7,7
00:01,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps defensed by Emanuel Davis.,7,7
15:00,3,Punt,0,Grant Shaw punts for 46 yards to Ham16. No return.,7,7
14:41,1,Rush,5,C.J. Gable rush for 5 yards to the Ham21. Tackled by Willie Jefferson.,7,7
14:03,2,Illegal Procedure,5,Penalty: Illegal Procedure on Edmonton (D.J. Young) 5 yards.,7,7
13:59,2,Pass,8,Zach Collaros pass to C.J. Gable for 8 yards to the Ham24. Tackled by J.C. Sherritt.,7,7
13:40,3,No Yards,28,Justin Medlock punts for 33 yards to Edm53. Penalty: No Yards on Hamilton (Marc Beswick) -5 yards.,7,7
13:30,1,Pass,9,Mike Reilly pass to A.J. Guyton for 9 yards to the Ham43. Tackled by Brandon Stewart.,7,7
12:57,2,Rush,-2,Tyler Thomas rush for a loss of 2 yards to the Ham45. Tackled by Simoni Lawrence.,7,7
12:09,3,Punt,0,Grant Shaw punts for 25 yards to Ham20. No return.,7,7
11:52,1,Offside,-5,Penalty: Offside on Hamilton (Cary Koch) -5 yards.,7,7
11:39,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Bakari Grant.,7,7
11:20,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Bakari Grant.,7,7
11:08,3,Punt,4,Justin Medlock punts for 51 yards to Edm44. Patrick Robertson return for 4 yards to Edm48. Tackled by Erik Harris.,7,7
10:52,1,Pass,42,Mike Reilly pass to Fred Stamps for 42 yards to the Ham20. Tackled by Michael Coe.,7,7
10:35,1,Pass,10,Mike Reilly pass to A.J. Guyton for 10 yards to the Ham10. Tackled by Delvin Breaux.,7,7
10:01,2,Rush,2,Pat White rush for 2 yards to the Ham8. Tackled by Emanuel Davis.,7,7
09:27,1,Rush,2,Mike Reilly rush for 2 yards to the Ham6. Tackled by Craig Butler.,7,7
08:42,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps defensed by Michael Coe.,7,7
08:18,3,Unnecessary Roughness,13,Grant Shaw 13 yard field goal attempt is GOOD. Penalty: Unnecessary Roughness on Edmonton (Simeon Rottier) -15 yards. Penalty: Unnecessary Roughness on Hamilton (Emanuel Davis) 15 yards.,7,10
08:07,1,Pass,12,Zach Collaros pass to Brandon Banks for 12 yards to the Ham47. Tackled by Joe Burnett.,7,10
07:44,1,Incomplete Pass,0,Jeremiah Masoli incomplete pass intended for Cary Koch defensed by Patrick Watkins.,7,10
07:18,2,Sack,-2,Sack at Ham45 for no gain by Odell Willis,7,10
06:40,3,Punt,7,Justin Medlock punts for 42 yards to Edm23. Patrick Robertson return for 7 yards to Edm30. Tackled by Marc Beswick.,7,10
06:28,1,Pass,5,Mike Reilly pass to Nate Coehoorn for 5 yards to the Edm35. Tackled by Michael Coe.,7,10
05:46,2,Time Count,-5,Penalty: Time Count on Edmonton (Mike Reilly) -5 yards.,7,10
05:30,2,Unnecessary Roughness,-17,Penalty: Illegal Procedure on Edmonton (Tony Washington) -5 yards. Penalty: Unnecessary Roughness on Edmonton (Adarius Bowman) -12 yards.,7,10
05:29,2,Pass,3,Mike Reilly pass to Shamawd Chambers for 3 yards to the Edm16. Tackled by Michael Coe.,7,10
05:13,3,Punt,10,Grant Shaw punts for 44 yards to Ham50. Brandon Banks return for 10 yards to Edm50. Tackled by Dexter McCoil.,7,10
