Time,Down,Type,Yards,Details,Hamilton,BC
15:00,0,Kickoff,28,Justin Medlock kicks off to the BC16. Marco Iannuzzi return for 28 yards to BC44. Tackled by Emanuel Davis.,0,0
14:54,1,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Matthew Norman) -5 yards.,0,0
14:40,1,Pass,24,Kevin Glenn pass to Shawn Gore for 24 yards to the Ham47. Tackled by Taylor Reed.,0,0
14:04,1,Rush,7,Andrew Harris rush for 7 yards to the Ham40. Tackled by Antonio Coleman.,0,0
13:23,2,Pass,20,Kevin Glenn pass to Shawn Gore for 20 yards to the Ham20. Tackled by Delvin Breaux.,0,0
12:45,1,Rush,6,Stefan Logan rush for 6 yards to the Ham14. Tackled by Simoni Lawrence.,0,0
12:03,2,Sack,-5,Sack at Ham19 for a loss of 5 yards by Eric Norwood.,0,0
11:14,3,Missed Field Goal,26,Paul McCallum 26 yard field goal attempt is GOOD.,0,3
11:14,1,Offside,-5,Penalty: Offside on Hamilton (C.J. Gable) -5 yards.,0,3
10:55,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for  .,0,3
10:38,2,Pass,6,Dan LeFevour pass to Andy Fantuz for 6 yards to the Ham36. Tackled by Cord Parks.,0,3
10:16,3,Punt,14,Justin Medlock punts for 50 yards to BC24. Stefan Logan return for 14 yards to BC38. Tackled by Beau Landry.,0,3
10:01,0,Pass Interference,-20,Penalty: Pass Interference on Hamilton (Brandon Stewart) -20 yards.,0,3
09:45,1,Rush,2,Andrew Harris rush for 2 yards to the Ham50. Tackled by Bryan Hall.,0,3
09:14,2,Rush,17,Kevin Glenn rush for 17 yards to the Ham33. Tackled by Courtney Stephen.,0,3
08:31,1,Pass,23,Kevin Glenn pass to Andrew Harris for 23 yards to the Ham10. Tackled by Rico Murray.,0,3
07:24,1,Pass,10,Kevin Glenn pass to Emmanuel Arceneaux for 10 yards for a TOUCHDOWN.,0,9
07:00,0,Made Extra Point,0,Paul McCallum extra point is good.,0,10
07:00,0,Kickoff,16,Ricky Schmitt kicks off to the Ham19. Brandon Banks return for 16 yards to Ham35. Tackled by Akwasi Antwi.,0,10
06:54,1,Rush,63,Dan LeFevour rush for 63 yards to the BC12. Tackled by J.R. LaRose.,0,10
06:26,1,Pass,5,Dan LeFevour pass to Brandon Banks for 5 yards to the BC7. Tackled by Ronnie Yell.,0,10
06:06,2,Rush,1,C.J. Gable rush for 1 yard to the BC6. Tackled by Khreem Smith.,0,10
05:13,3,Missed Field Goal,14,Justin Medlock 14 yard field goal attempt is GOOD.,3,10
05:13,0,Kickoff,12,Justin Medlock kicks off to the Ham47. Onside kick recovered by kicking team by Marc Beswick. Tackled by Jamall Johnson.,3,10
05:12,1,Rush,-2,Brandon Banks rush for a loss of 2 yards to the Ham45. Tackled by Ronnie Yell.,3,10
04:34,2,Rush,2,Dan LeFevour rush for 2 yards to the Ham47. Tackled by Alex Bazzie.,3,10
04:03,3,Punt,10,Justin Medlock punts for 42 yards to BC21. Stefan Logan return for 10 yards to BC31. Tackled by Mike Daly.,3,10
03:47,1,Pass,6,Kevin Glenn pass to Shawn Gore for 6 yards to the BC37. Tackled by Courtney Stephen.,3,10
03:07,2,Pass,5,Kevin Glenn pass to Courtney Taylor for 5 yards to the BC42. Tackled by Brandon Stewart.,3,10
02:44,1,Rush,0,Stefan Logan rush for no gain to the BC42. Tackled by Rico Murray.,3,10
02:11,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Emmanuel Arceneaux.,3,10
01:53,3,Illegal Block,-4,Ricky Schmitt punts for 39 yards to Ham29. Brandon Banks return for 6 yards to Ham35. Penalty: Illegal Block on Hamilton (Beau Landry) -10 yards.,3,10
01:32,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for   defensed by Dante Marsh.,3,10
01:14,2,Objectionable Conduct,-10,Dan LeFevour incomplete pass intended for Cary Koch. Penalty: Objectionable Conduct on Hamilton (Bakari Grant) -10 yards.,3,10
