Time,Down,Type,Yards,Details,Calgary,Hamilton
15:00,0,Kickoff,13,Rene Paredes kicks off to the Ham16. Brandon Banks return for 13 yards to Ham29. Tackled by Maalik Bomar.,0,0
14:54,1,Sack,-1,Sack at Ham28 for a loss of 1 yard by Micah Johnson.,0,0
14:14,2,Pass,16,Dan LeFevour pass to Luke Tasker for 16 yards to the Ham44. Tackled by Deron Mayo.,0,0
13:45,1,Pass,11,Dan LeFevour pass to Brandon Banks for 11 yards to the Ham55. Tackled by Jamar Wall.,0,0
13:00,1,Sack,-8,Sack at Ham47 for a loss of 8 yards by Shawn Lemon.,0,0
12:23,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton (Jake Olson) -5 yards.,0,0
11:50,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Greg Ellingson. Tackled by Jamar Wall.,0,0
11:41,3,Punt,0,Justin Medlock punts for 50 yards to Cgy18. No return.,0,0
11:38,0,Illegal Contact,10,Penalty: Illegal Contact on Hamilton (Brandon Stewart) 10 yards.,0,0
11:24,1,Rush,5,Hugh Charles rush for 5 yards to the Cgy33. Tackled by Rico Murray.,0,0
10:44,2,Rush,12,Bo Levi Mitchell rush for 12 yards to the Cgy45. Tackled by Rico Murray.,0,0
10:26,1,Pass,11,Bo Levi Mitchell pass to Marquay McDaniel for 11 yards to the Ham54. Tackled by Brandon Stewart.,0,0
09:52,1,Offside,5,Penalty: Offside on Hamilton (Taylor Reed) 5 yards.,0,0
09:36,1,Rush,4,Hugh Charles rush for 4 yards to the Ham45. Tackled by Rico Murray.,0,0
09:26,2,Offside,5,Penalty: Offside on Hamilton (Antonio Coleman) 5 yards.,0,0
08:42,1,Pass,10,Bo Levi Mitchell pass to Jeff Fuller for 10 yards to the Ham30. Tackled by Courtney Stephen.,0,0
08:30,1,Rush,16,Hugh Charles rush for 16 yards to the Ham14. Tackled by Craig Butler.,0,0
07:46,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Joe West.,0,0
06:59,2,Rush,14,Bo Levi Mitchell rush for 14 yards for a TOUCHDOWN.,6,0
06:44,0,Made Extra Point,0,Rene Paredes extra point is good.,7,0
06:44,0,Kickoff,20,Rene Paredes kicks off to the Ham10. Brandon Banks return for 20 yards to Ham30. Tackled by Jeff Hecht.,7,0
06:38,1,Rush,14,Dan LeFevour rush for 14 yards to the Ham44. Tackled by Josh Bell.,7,0
06:06,1,Pass,11,Dan LeFevour pass to Mossis Madu for 11 yards to the Ham55. Tackled by Charleston Hughes.,7,0
05:03,1,Pass,55,Dan LeFevour pass to Erik Harris for 55 yards for a TOUCHDOWN.,7,6
04:50,0,Made Extra Point,0,Justin Medlock extra point is good.,7,7
04:50,0,Kickoff,23,Justin Medlock kicks off to the Cgy3. Sederrik Cunningham return for 23 yards to Cgy26. Tackled by Rico Murray.,7,7
04:44,1,Pass,38,Bo Levi Mitchell pass to Marquay McDaniel for 38 yards to the Ham46. Tackled by Simoni Lawrence.,7,7
04:19,1,Rush,3,Hugh Charles rush for 3 yards to the Ham43. Tackled by Michael Coe.,7,7
03:32,2,Pass,9,Bo Levi Mitchell pass to Marquay McDaniel for 9 yards to the Ham34. Tackled by Frederic Plesius.,7,7
03:00,1,Pass,16,Bo Levi Mitchell pass to Jeff Fuller for 16 yards to the Ham18. Tackled by Courtney Stephen.,7,7
02:40,1,Pass,6,Bo Levi Mitchell pass to Rob Cote for 6 yards to the Ham12. Tackled by Michael Coe.,7,7
02:17,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jeff Fuller defensed by Delvin Breaux.,7,7
01:29,3,Missed Field Goal,19,Rene Paredes 19 yard field goal attempt is GOOD.,10,7
01:29,0,Kickoff,12,Rene Paredes kicks off to the Ham25. Mossis Madu return for 12 yards to Ham37. Tackled by Simon Charbonneau-Campeau.,10,7
01:25,1,Rush,1,Mossis Madu rush for 1 yard to the Ham38. Tackled by Charleston Hughes.,10,7
