Time,Down,Type,Yards,Details,Saskatchewan,Hamilton
15:00,0,Kickoff,16,Chris Milo kicks off to the Ham21. Terrell Sinkfield return for 16 yards to Ham37. Tackled by Samuel Hurl.,0,0
14:55,1,Pass,4,Zach Collaros pass to Andy Fantuz for 4 yards to the Ham41. Tackled by Tyron Brackenridge.,0,0
14:16,2,Pass,9,Zach Collaros pass to Andy Fantuz for 9 yards to the Ham50. Tackled by Tristan Jackson.,0,0
13:39,1,Pass,11,Zach Collaros pass to Greg Ellingson for 11 yards to the Ssk49. Tackled by Weldon Brown.,0,0
12:52,1,Rush,6,Mossis Madu rush for 6 yards to the Ssk43. Tackled by John Chick.,0,0
12:15,2,Rush,1,Mossis Madu rush for 1 yard to the Ssk42. Tackled by John Chick.,0,0
11:22,3,Missed Field Goal,50,Justin Medlock 50 yard field goal attempt is GOOD.,0,3
11:22,1,Rush,8,Jerome Messam rush for 8 yards to the Ssk43. Tackled by Marcellus Bowman.,0,3
10:50,2,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Taj Smith.,0,3
10:33,3,Punt,13,Chris Milo punts for 43 yards to Ham24. Terrell Sinkfield return for 13 yards to Ham37. Tackled by Matt Webster.,0,3
10:13,1,Pass,11,Zach Collaros pass to Bakari Grant for 11 yards to the Ham48. Tackled by Weldon Brown.,0,3
09:48,1,Pass,12,Zach Collaros pass to Mossis Madu for 12 yards to the Ssk50. Tackled by Macho Harris.,0,3
09:18,1,Rush,6,Zach Collaros rush for 6 yards to the Ssk44. Tackled by Tristan Jackson.,0,3
08:30,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker defensed by Brian Peters.,0,3
07:49,3,Missed Field Goal,51,Justin Medlock 51 yard field goal attempt is GOOD.,0,6
07:49,1,Rush,13,Anthony Allen rush for 13 yards to the Ssk48. Tackled by Taylor Reed.,0,6
07:12,1,Pass,10,Tino Sunseri pass to Anthony Allen for 10 yards to the Ham52. Tackled by Simoni Lawrence.,0,6
06:35,2,Rush,0,Jerome Messam rush for no gain to the Ham52. Tackled by Eric Norwood.,0,6
06:02,3,Rush,1,Seth Doege rush for 1 yard to the Ham51. Tackled by Marcellus Bowman.,0,6
05:29,1,Pass,12,Tino Sunseri pass to Rob Bagg for 12 yards to the Ham39. Tackled by Courtney Stephen.,0,6
05:10,1,Rush,3,Jerome Messam rush for 3 yards to the Ham36. Tackled by Bryan Hall.,0,6
04:38,2,Interception,4,Tino Sunseri pass intended for Weston Dressler INTERCEPTED and returned for 4 yards. Tackled by Brett Swain.,0,6
04:08,1,Pass,8,Zach Collaros pass to Andy Fantuz for 8 yards to the Ham22. Tackled by Brian Peters.,0,6
03:49,2,Pass,5,Zach Collaros pass to Andy Fantuz for 5 yards to the Ham27. Tackled by Macho Harris.,0,6
03:04,1,Sack,-8,Sack at Ham19 for a loss of 8 yards by Macho Harris.,0,6
02:45,2,Pass,14,Zach Collaros pass to Andy Fantuz for 14 yards to the Ham33. Tackled by Chad Kilgore.,0,6
01:55,3,Punt,9,Justin Medlock punts for 51 yards to Ssk26. Weston Dressler return for 9 yards to Ssk35. Tackled by  .,0,6
01:43,1,Rush,2,Anthony Allen rush for 2 yards to the Ssk37. Tackled by Bryan Hall.,0,6
01:05,2,Sack,-8,Sack at Ssk29 for a loss of 8 yards by Taylor Reed.,0,6
00:22,3,Punt,5,Chris Milo punts for 20 yards to Ssk49. Terrell Sinkfield return for 5 yards to Ssk44. Tackled by Dylan Ainsworth.,0,6
00:03,1,Pass,11,Zach Collaros pass to Greg Ellingson for 11 yards to the Ssk33. Tackled by Rod Williams.,0,6
15:00,1,Rush,17,Terrell Sinkfield rush for 17 yards to the Ssk16. Tackled by Terrell Maze.,0,6
14:50,1,Rush,2,Mossis Madu rush for 2 yards to the Ssk14. Tackled by Brian Peters.,0,6
13:46,2,Pass,14,Zach Collaros pass to Luke Tasker for 14 yards for a TOUCHDOWN.,0,12
13:32,0,Made Extra Point,0,Justin Medlock extra point is good.,0,13
13:32,0,Kickoff,18,Justin Medlock kicks off to the Ssk20. Tristan Jackson return for 18 yards to Ssk38. Tackled by Craig Butler.,0,13
13:24,1,Sack,-8,Sack at Ssk30 for a loss of 8 yards by Brian Bulcke.,0,13
12:50,2,Pass,16,Tino Sunseri pass to Anthony Allen for 16 yards to the Ssk46. Tackled by Brandon Stewart.,0,13
12:08,3,Punt,4,Chris Milo punts for 42 yards to Ham22. Terrell Sinkfield return for 4 yards to Ham26. Tackled by Shomari Williams.,0,13
11:49,1,Rush,7,Mossis Madu rush for 7 yards to the Ham33. Tackled by Weldon Brown.,0,13
11:11,2,Pass,-2,Zach Collaros pass to Mossis Madu for a loss of 2 yards to the Ham31. Tackled by Brian Peters.,0,13
10:35,3,Punt,14,Justin Medlock punts for 47 yards to Ssk32. Weston Dressler return for 14 yards to Ssk46. Tackled by Craig Butler.,0,13
10:19,1,Rush,7,Jerome Messam rush for 7 yards to the Ssk53. Tackled by Eric Norwood.,0,13
09:47,2,Rush,0,Jerome Messam rush for no gain to the Ssk53. Tackled by Sam Scott.,0,13
09:10,3,Illegal Block,1,Chris Milo punts for 43 yards to Ham14. Terrell Sinkfield return for 11 yards to Ham25. Penalty: Illegal Block on Hamilton (Rico Murray) -10 yards.,0,13
08:52,1,Pass,2,Zach Collaros pass to Mossis Madu for 2 yards to the Ham17. Tackled by Weldon Brown.,0,13
08:29,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andy Fantuz.,0,13
08:05,3,Punt,1,Justin Medlock punts for 42 yards to Ssk51. Weston Dressler return for 1 yard to Ssk52. Tackled by Taylor Reed.,0,13
07:53,1,Pass,10,Seth Doege pass to Anthony Allen for 10 yards to the Ham48. Tackled by Marcellus Bowman.,0,13
07:21,2,Rush,3,Anthony Allen rush for 3 yards to the Ham45. Tackled by Brian Bulcke.,0,13
06:45,0,Too Many Men on Field,10,Penalty: Too Many Men on Field on Hamilton 10 yards.,0,13
06:31,1,Rush,6,Anthony Allen rush for 6 yards to the Ham29. Tackled by Taylor Reed.,0,13
06:07,2,Rush,4,Anthony Allen rush for 4 yards to the Ham25. Tackled by Ted Laurent.,0,13
05:16,1,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Anthony Allen.,0,13
04:57,2,Unnecessary Roughness,19,Tino Sunseri pass to Rob Bagg for 13 yards to the Ham12. Tackled by Courtney Stephen. Penalty: Unnecessary Roughness on Hamilton (Sam Scott) 6 yards.,0,13
04:29,0,Roughing Passer,3,Penalty: Roughing Passer on Hamilton (Sam Scott) 3 yards.,0,13
04:11,1,Rush,0,Jerome Messam rush for no gain to the Ham3. Tackled by Ted Laurent.,0,13
03:40,2,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Weston Dressler.,0,13
02:59,3,Missed Field Goal,10,Chris Milo 10 yard field goal attempt is GOOD.,3,13
02:59,1,Pass,6,Zach Collaros pass to Andy Fantuz for 6 yards to the Ham41. Tackled by Macho Harris.,3,13
02:47,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Greg Ellingson.,3,13
02:21,3,Punt,0,Justin Medlock punts for 33 yards to Ssk36. No return.,3,13
02:12,1,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Brett Swain.,3,13
02:08,2,Sack,-8,Sack at Ssk28 for a loss of 8 yards by Ted Laurent.,3,13
02:00,3,Punt,6,Chris Milo punts for 40 yards to Ham42. Terrell Sinkfield return for 6 yards to Ham48. Tackled by Alex Pierzchalski.,3,13
01:42,1,Rush,13,Zach Collaros rush for 13 yards to the Ssk49. Tackled by Tyron Brackenridge.,3,13
01:36,1,Pass,9,Zach Collaros pass to Bakari Grant for 9 yards to the Ssk40. Tackled by Macho Harris.,3,13
01:10,2,Pass,11,Zach Collaros pass to Luke Tasker for 11 yards to the Ssk29. Tackled by Macho Harris.,3,13
00:52,1,Pass,6,Zach Collaros pass to Greg Ellingson for 6 yards to the Ssk23. Tackled by Rod Williams.,3,13
00:34,2,Rush,9,Zach Collaros rush for 9 yards to the Ssk14. Tackled by Rod Williams.,3,13
00:19,1,Sack,-7,Sack at Ssk21 for a loss of 7 yards by Brian Peters.,3,13
00:14,2,Pass,6,Zach Collaros pass to Mossis Madu for 6 yards to the Ssk15. Tackled by Brian Peters.,3,13
15:00,0,Kickoff,17,Justin Medlock kicks off to the Ssk5. Tristan Jackson return for 17 yards to Ssk22. Tackled by Erik Harris.,3,13
14:53,1,Rush,-2,Anthony Allen rush for a loss of 2 yards to the Ssk20. Tackled by Taylor Reed.,3,13
14:10,2,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Chris Getzlaf defensed by Brandon Stewart.,3,13
13:53,3,Punt,8,Chris Milo punts for 41 yards to Ham49. Terrell Sinkfield return for 8 yards to Ssk53. Tackled by Matt Webster.,3,13
13:28,1,Pass,8,Zach Collaros pass to Greg Ellingson for 8 yards to the Ssk45. Tackled by Brian Peters.,3,13
12:54,2,Rush,1,Zach Collaros rush for 1 yard to the Ssk44. Tackled by Ricky Foley.,3,13
12:36,3,Rush,2,Zach Collaros rush for 2 yards to the Ssk42. Tackled by Derek Walker.,3,13
11:56,1,Sack,-12,Sack at Ssk54 for a loss of 12 yards by Ricky Foley.,3,13
11:08,2,Pass,19,Zach Collaros pass to Andy Fantuz for 19 yards to the Ssk35. Tackled by Weldon Brown.,3,13
10:24,3,Missed Field Goal,35,35 yard field goal attempt by Justin Medlock is NO GOOD.,3,13
10:06,1,Pass,2,Seth Doege pass to Anthony Allen for 2 yards to the Ssk27. Tackled by Rico Murray.,3,13
09:30,0,Holding,-10,Penalty: Holding on Saskatchewan (Dominic Picard) -10 yards.,3,13
09:04,2,Pass,4,Tino Sunseri pass to Anthony Allen for 4 yards to the Ssk21. Tackled by Simoni Lawrence.,3,13
07:38,3,Punt,57,Chris Milo punts for 36 yards to Ham53. Terrell Sinkfield return for 57 yards to Ssk0 for a TOUCHDOWN.,3,19
07:24,0,Made Extra Point,0,Justin Medlock extra point is good.,3,20
07:24,0,Kickoff,19,Justin Medlock kicks off to the Ssk7. Tristan Jackson return for 19 yards to Ssk26. Tackled by Brandon Stewart.,3,20
07:16,1,Rush,20,Anthony Allen rush for 20 yards to the Ssk46. Tackled by Simoni Lawrence.,3,20
06:33,1,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Taj Smith.,3,20
06:12,2,Sack,-1,Sack at Ssk45 for a loss of 1 yard by Eric Norwood.,3,20
05:30,3,Punt,4,Chris Milo punts for 42 yards to Ham23. Terrell Sinkfield return for 4 yards to Ham27. Tackled by Brian Peters.,3,20
05:11,1,Rush,19,Mossis Madu rush for 19 yards to the Ham46. Tackled by Tyron Brackenridge.,3,20
04:57,1,Pass,10,Zach Collaros pass to Andy Fantuz for 10 yards to the Ssk54. Tackled by Terrell Maze.,3,20
04:10,1,Rush,14,Terrell Sinkfield rush for 14 yards to the Ssk40. Tackled by Brian Peters.,3,20
03:26,1,Pass,11,Zach Collaros pass to Greg Ellingson for 11 yards to the Ssk29. Tackled by Rod Williams.,3,20
02:51,1,Offside,5,Penalty: Offside on Saskatchewan (Tyron Brackenridge) 5 yards.,3,20
02:27,1,Interception,0,Zach Collaros pass intended for Andy Fantuz INTERCEPTED. No return. Tackled by Brian Simmons.,3,20
02:07,1,Rush,13,Jerome Messam rush for 13 yards to the Ssk25. Tackled by Craig Butler.,3,20
01:35,0,Holding,-10,Penalty: Holding on Saskatchewan (Brendon LaBatte) -10 yards.,3,20
01:14,1,Rush,4,Jerome Messam rush for 4 yards to the Ssk19. Tackled by Taylor Reed.,3,20
00:28,2,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Rob Bagg.,3,20
00:08,3,Punt,14,Chris Milo punts for 39 yards to Ham52. Terrell Sinkfield return for 14 yards to Ssk44. Tackled by Samuel Hurl.,3,20
15:00,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Mossis Madu defensed by Chad Kilgore.,3,20
14:50,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Terrell Sinkfield defensed by Rod Williams.,3,20
14:28,3,Unnecessary Roughness,31,Justin Medlock punts for 30 yards to Ssk14. Tristan Jackson return for 16 yards to Ssk30. Tackled by Marcellus Bowman. Penalty: Unnecessary Roughness on Hamilton (Marcellus Bowman) 15 yards.,3,20
13:51,1,Rush,1,Jerome Messam rush for 1 yard to the Ssk46. Tackled by Erik Harris.,3,20
13:28,2,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Brett Swain.,3,20
13:07,3,Punt,12,Chris Milo punts for 50 yards to Ham14. Terrell Sinkfield return for 12 yards to Ham26. Tackled by Shomari Williams.,3,20
12:49,1,Pass,6,Zach Collaros pass to Greg Ellingson for 6 yards to the Ham32. Tackled by Tristan Jackson.,3,20
12:12,2,Pass,18,Zach Collaros pass to Andy Fantuz for 18 yards to the Ham50. Tackled by Macho Harris.,3,20
11:45,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Samuel Giguere defensed by Macho Harris.,3,20
11:16,2,Pass,9,Zach Collaros pass to Greg Ellingson for 9 yards to the Ssk51. Tackled by Ricky Foley.,3,20
10:26,3,Punt,0,Justin Medlock punts for 25 yards to Ssk26. No return.,3,20
09:43,1,Rush,5,Anthony Allen rush for 5 yards to the Ssk31. Tackled by Sam Scott.,3,20
