Time,Down,Type,Yards,Details,Hamilton,Toronto
15:00,0,Unnecessary Roughness,7,Justin Medlock kicks off to the Tor6. Robert Gill return for 19 yards to Tor25. Tackled by Brandon Stewart. Penalty: Unnecessary Roughness on Toronto ( ) -12 yards.,0,0
14:56,1,Pass,10,Ricky Ray pass to Chad Owens for 10 yards to the Tor23. Tackled by Brandon Stewart.,0,0
14:30,1,Sack,-3,Sack at Tor20 for a loss of 3 yards by Ted Laurent.,0,0
13:49,2,Pass,8,Ricky Ray pass to Spencer Watt for 8 yards to the Tor28. Tackled by Rico Murray.,0,0
13:25,3,Illegal Block,-7,Swayze Waters punts for 38 yards to Ham44. Brandon Banks return for 3 yards to Ham47. Tackled by Ivan Brown. Penalty: Illegal Block on Hamilton (Arnaud Gascon-Nadon) -10 yards.,0,0
12:55,1,Pass,13,Zach Collaros pass to Andy Fantuz for 13 yards to the Ham50. Tackled by Branden Smith.,0,0
12:31,0,Holding,-10,Penalty: Holding on Hamilton (Mike Filer) -10 yards.,0,0
12:00,1,Pass,18,Zach Collaros pass to Mossis Madu for 18 yards to the Tor52. Tackled by Branden Smith.,0,0
11:30,2,Pass,7,Zach Collaros pass to Samuel Giguere for 7 yards to the Tor45. Tackled by Matthew Ware.,0,0
10:46,1,Pass,40,Zach Collaros pass to Mossis Madu for 40 yards to the Tor5. Tackled by Branden Smith.,0,0
10:03,1,Rush,2,Mossis Madu rush for 2 yards to the Tor3. Tackled by Delano Johnson.,0,0
09:11,2,Pass,3,Zach Collaros pass to Andy Fantuz for 3 yards for a TOUCHDOWN.,6,0
08:59,0,Made Extra Point,0,Justin Medlock extra point is good.,7,0
08:59,0,Unnecessary Roughness,0,Justin Medlock kicks off to the Tor16. Robert Gill return for 15 yards to Tor31. Penalty: Unnecessary Roughness on Toronto ( ) -15 yards.,7,0
08:53,1,Rush,7,Curtis Steele rush for 7 yards to the Tor23. Tackled by Eric Norwood.,7,0
08:09,2,Pass,22,Ricky Ray pass to John Chiles for 22 yards to the Tor45. Tackled by Delvin Breaux.,7,0
07:45,1,Unnecessary Roughness,-8,Ricky Ray pass to Curtis Steele for 7 yards to the Tor52. Tackled by Eric Norwood. Penalty: Unnecessary Roughness on Toronto (Chris Van Zeyl) -15 yards.,7,0
07:15,2,Pass,4,Ricky Ray pass to Chad Owens for 4 yards to the Tor41. Tackled by Rico Murray.,7,0
06:50,3,Punt,13,Swayze Waters punts for 41 yards to Ham28. Brandon Banks return for 13 yards to Ham41. Tackled by  .,7,0
06:29,1,Rush,4,Zach Collaros rush for 4 yards to the Ham45. Tackled by Shea Emry.,7,0
06:05,2,Pass,-10,Zach Collaros pass to Mossis Madu for a loss of 10 yards to the Ham35. Tackled by Tristan Okpalaugo.,7,0
05:26,3,Punt,8,Justin Medlock punts for 47 yards to Tor28. Chad Owens return for 8 yards to Tor36. Tackled by Marcellus Bowman.,7,0
04:59,1,Pass,7,Ricky Ray pass to Chad Owens for 7 yards to the Tor43. Tackled by Taylor Reed.,7,0
04:37,2,Rush,2,Steve Slaton rush for 2 yards to the Tor45. Tackled by Linden Gaydosh.,7,0
03:54,3,Rush,2,Mitchell Gale rush for 2 yards to the Tor47. Tackled by Bryan Hall.,7,0
03:29,1,Pass,18,Ricky Ray pass to Jason Barnes for 18 yards to the Ham45. Tackled by Craig Butler.,7,0
02:44,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,7,0
02:15,2,Interception,28,Ricky Ray pass intended for Jason Barnes INTERCEPTED and returned for 28 yards. Tackled by Chad Owens.,7,0
01:50,1,Rush,13,Mossis Madu rush for 13 yards to the Tor42. Tackled by Shea Emry.,7,0
01:34,1,Pass,8,Zach Collaros pass to Mossis Madu for 8 yards to the Tor34. Tackled by Shea Emry.,7,0
01:11,2,Rush,-1,Mossis Madu rush for a loss of 1 yard to the Tor35. Tackled by Donald Washington.,7,0
00:15,3,Missed Field Goal,42,Justin Medlock 42 yard field goal attempt is GOOD.,10,0
00:15,1,Rush,1,Curtis Steele rush for 1 yard to the Tor36. Tackled by Ted Laurent.,10,0
15:00,2,Pass,7,Ricky Ray pass to Mike Bradwell for 7 yards to the Tor43. Tackled by Taylor Reed.,10,0
14:44,3,Punt,11,Swayze Waters punts for 41 yards to Ham26. Terrell Sinkfield return for 11 yards to Ham37. Tackled by Vincent Agnew.,10,0
14:22,1,Pass,13,Zach Collaros pass to Andy Fantuz for 13 yards to the Ham50. Tackled by Branden Smith.,10,0
13:56,1,Offside,-5,Penalty: Offside on Hamilton (Justin Hickman) -5 yards.,10,0
13:28,0,Fumble,-6,"FUMBLE, recovered by Ham (Mike Filer). . Tackled by Shea Emry",10,0
12:32,2,Pass,16,Zach Collaros pass to Bakari Grant for 16 yards to the Ham55. Tackled by  .,10,0
12:16,3,Punt,20,Justin Medlock punts for 51 yards to Tor4. Chad Owens return for 20 yards to Tor24. Tackled by Aaron Crawford.,10,0
11:35,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Steve Slaton defensed by Eric Norwood.,10,0
11:21,0,Intentional Grounding,-11,Penalty: Intentional Grounding on Toronto (Ricky Ray) -11 yards.,10,0
10:55,3,Punt,51,Swayze Waters punts for 53 yards to Ham44. Terrell Sinkfield return for 51 yards to Tor15. Tackled by  .,10,0
10:33,1,Pass,2,Zach Collaros pass to Andy Fantuz for 2 yards to the Tor13. Tackled by Vincent Agnew.,10,0
10:16,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andy Fantuz defensed by Tristan Okpalaugo.,10,0
09:22,3,Missed Field Goal,20,Justin Medlock 20 yard field goal attempt is GOOD.,13,0
09:22,1,Pass,8,Ricky Ray pass to John Chiles for 8 yards to the Tor43. Tackled by Delvin Breaux.,13,0
08:57,2,Rush,7,Curtis Steele rush for 7 yards to the Tor50. Tackled by Brandon Stewart.,13,0
08:19,1,Pass,8,Ricky Ray pass to Curtis Steele for 8 yards to the Ham52. Tackled by Brandon Stewart.,13,0
07:44,2,Rush,3,Ricky Ray rush for 3 yards to the Ham49. Tackled by Simoni Lawrence.,13,0
07:19,1,Sack,-1,Sack at Ham50 for a loss of 1 yard by Eric Norwood.,13,0
06:43,2,Offside,5,Penalty: Offside on Hamilton (Justin Hickman) 5 yards.,13,0
06:15,2,Unnecessary Roughness,16,Ricky Ray pass to John Chiles for 11 yards to the Ham34. Penalty: Objectionable Conduct on Toronto (Chad Owens) -10 yards. Penalty: Unnecessary Roughness on Hamilton (Delvin Breaux) 15 yards.,13,0
05:52,0,Illegal Participation,10,Penalty: Illegal Participation on Hamilton (Delvin Breaux) 10 yards.,13,0
05:25,1,Objectionable Conduct,9,Ricky Ray incomplete pass intended for John Chiles. Penalty: Objectionable Conduct on Hamilton (Simoni Lawrence) 9 yards.,13,0
05:02,1,Pass,8,Ricky Ray pass to Jason Barnes for 8 yards to the Ham2. Tackled by Craig Butler.,13,0
03:55,2,Pass,2,Ricky Ray pass to Spencer Watt for 2 yards for a TOUCHDOWN.,13,6
03:43,0,Made Extra Point,0,Swayze Waters extra point is good.,13,7
03:43,0,Kickoff,37,Swayze Waters kicks off to the Ham6. Terrell Sinkfield return for 37 yards to Ham43. Tackled by Brendan Gillanders.,13,7
03:33,1,Pass,22,Zach Collaros pass to Luke Tasker for 22 yards to the Tor45. Tackled by Donald Washington.,13,7
03:00,1,Pass,12,Zach Collaros pass to Samuel Giguere for 12 yards to the Tor33. Tackled by Branden Smith.,13,7
02:47,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Bakari Grant.,13,7
02:42,0,Illegal Contact,10,Penalty: Illegal Contact on Toronto (Donald Washington) 10 yards.,13,7
02:33,0,Holding,-10,Penalty: Holding on Hamilton (Bakari Grant) -10 yards.,13,7
02:25,1,Pass,5,Zach Collaros pass to Mossis Madu for 5 yards to the Tor28. Tackled by Alex Suber.,13,7
01:49,2,Rush,28,Zach Collaros rush for 28 yards for a TOUCHDOWN.,19,7
01:49,0,Made Extra Point,0,Justin Medlock extra point is good.,20,7
01:49,0,Kickoff,22,Justin Medlock kicks off to the Tor4. Robert Gill return for 22 yards to Tor26. Tackled by Erik Harris.,20,7
01:42,1,Pass,5,Ricky Ray pass to John Chiles for 5 yards to the Tor31. Tackled by Courtney Stephen.,20,7
01:35,2,Pass,43,Ricky Ray pass to John Chiles for 43 yards to the Ham36. Tackled by Erik Harris.,20,7
01:08,1,Pass,7,Ricky Ray pass to Jason Barnes for 7 yards to the Ham29. Tackled by Courtney Stephen.,20,7
00:56,2,Pass,9,Ricky Ray pass to Chad Owens for 9 yards to the Ham20. Tackled by Taylor Reed.,20,7
00:39,1,Pass,1,Ricky Ray pass to Mike Bradwell for 1 yard to the Ham19. Tackled by Craig Butler.,20,7
00:25,2,Sack,-7,Sack at Ham26 for a loss of 7 yards by Eric Norwood.,20,7
00:00,3,Missed Field Goal,34,Swayze Waters 34 yard field goal attempt is GOOD.,20,10
15:00,0,Kickoff,17,Swayze Waters kicks off to the Ham14. Terrell Sinkfield return for 17 yards to Ham31. Tackled by  .,20,10
14:55,1,Pass,27,Zach Collaros pass to Luke Tasker for 27 yards to the Tor52. Tackled by Branden Smith.,20,10
14:28,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker defensed by Vincent Agnew.,20,10
14:14,0,Unnecessary Roughness,5,Penalty: Unnecessary Roughness on Hamilton (Joel Figueroa) -15 yards. Penalty: Offside on Toronto (Shea Emry) 5 yards. Penalty: Unnecessary Roughness on Toronto (Shea Emry) 15 yards.,20,10
13:50,2,Fumble,26,"Zach Collaros pass to Mossis Madu for 26 yards to the Tor21. FUMBLE, recovered by Tor (Jermaine Gabriel). Tackled by Luke Tasker.",20,10
13:28,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Toronto (Chris Van Zeyl) -5 yards.,20,10
13:11,1,Pass,3,Ricky Ray pass to Mike Bradwell for 3 yards to the Tor19. Tackled by Brandon Stewart.,20,10
13:02,2,Fumble,5,"Ricky Ray pass to Jason Barnes for 5 yards to the Tor24. FUMBLE, recovered by Ham (Rico Murray). Tackled by Jason Barnes.",20,10
12:13,0,Holding,-10,Penalty: Holding on Hamilton (Brian Simmons) -10 yards.,20,10
11:55,1,Pass,3,Zach Collaros pass to Samuel Giguere for 3 yards to the Tor31. Tackled by Alex Suber.,20,10
11:27,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Bakari Grant.,20,10
10:14,3,Missed Field Goal,38,Justin Medlock 38 yard field goal attempt is GOOD.,23,10
10:14,0,Holding,-10,Penalty: Holding on Toronto (Wayne Smith) -10 yards.,23,10
10:03,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles.,23,10
09:43,2,Pass,20,Ricky Ray pass to Jason Barnes for 20 yards to the Tor45. Tackled by Rico Murray.,23,10
