Time,Down,Type,Yards,Details,Montreal,Hamilton
15:00,0,Kickoff,20,Sean Whyte kicks off to the Ham17. Terrell Sinkfield return for 20 yards to Ham37. Tackled by Winston Venable.,0,0
14:54,1,Rush,5,Nic Grigsby rush for 5 yards to the Ham42. Tackled by Bear Woods.,0,0
14:17,2,Pass,2,Zach Collaros pass to Samuel Giguere for 2 yards to the Ham44. Tackled by Jerald Brown.,0,0
13:48,3,Fumble,5,"Justin Medlock punts for 49 yards to Mtl17. James Rodgers return for 5 yards to Mtl22. FUMBLE, recovered by Ham (Erik Harris).",0,0
13:37,1,Pass,11,Zach Collaros pass to Samuel Giguere for 11 yards to the Mtl11. Tackled by Winston Venable.,0,0
12:59,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Samuel Giguere.,0,0
12:37,2,Incomplete Pass,0,Zach Collaros incomplete pass.,0,0
11:57,3,Missed Field Goal,19,Justin Medlock 19 yard field goal attempt is GOOD.,0,3
11:57,1,Rush,0,Tyrell Sutton rush for no gain to the Mtl35. Tackled by Eric Norwood.,0,3
11:32,2,Pass,0,Jonathan Crompton pass to Chris Rainey for no gain to the Mtl35. Tackled by Craig Butler.,0,3
11:05,3,Punt,9,Sean Whyte punts for 39 yards to Ham36. Brandon Banks return for 9 yards to Ham45. Tackled by Samuel Fournier.,0,3
10:34,1,Pass,11,Zach Collaros pass to Brandon Banks for 11 yards to the Mtl54. Tackled by Mitchell White.,0,3
09:59,1,Rush,6,Nic Grigsby rush for 6 yards to the Mtl48. Tackled by Bear Woods.,0,3
09:26,2,Rush,0,Nic Grigsby rush for no gain to the Mtl48. Tackled by Brian Brikowski.,0,3
08:40,3,Punt Single,0,Justin Medlock punts for 63 yards to Mtl0. No return (Single).,0,4
08:40,1,Pass,6,Jonathan Crompton pass to Duron Carter for 6 yards to the Mtl41. Tackled by Delvin Breaux.,0,4
08:12,2,Rush,4,Tanner Marsh rush for 4 yards to the Mtl45. Tackled by Simoni Lawrence.,0,4
07:44,3,Rush,1,Tanner Marsh rush for 1 yard to the Mtl46. Tackled by Eric Norwood.,0,4
07:17,1,Rush,2,Tyrell Sutton rush for 2 yards to the Mtl48. Tackled by Simoni Lawrence.,0,4
06:25,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,0,4
06:17,3,Time Count,-5,Penalty: Time Count on Montreal (Sean Whyte) -5 yards.,0,4
05:57,3,Punt,5,Sean Whyte punts for 42 yards to Ham25. Terrell Sinkfield return for 5 yards to Ham30. Tackled by Dominique Ellis.,0,4
05:44,1,Rush,6,Nic Grigsby rush for 6 yards to the Ham36. Tackled by Winston Venable.,0,4
05:19,2,Pass,16,Zach Collaros pass to Luke Tasker for 16 yards to the Ham52. Tackled by Marc-Olivier Brouillette.,0,4
04:39,1,Pass,9,Zach Collaros pass to Nic Grigsby for 9 yards to the Mtl49. Tackled by Bear Woods.,0,4
03:57,2,Rush,0,Brandon Banks rush for no gain to the Mtl49. Tackled by Dominique Ellis.,0,4
03:17,3,Rush,2,Zach Collaros rush for 2 yards to the Mtl47. Tackled by Scott Paxson.,0,4
02:35,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Nic Grigsby.,0,4
02:12,2,Offside,5,Penalty: Offside on Montreal (Caesar Rayford) 5 yards.,0,4
