Time,Down,Type,Yards,Details,Montreal,Hamilton
15:00,0,Kickoff,28,Justin Medlock kicks off to the Mtl5. Ed Gainey return for 28 yards to Mtl33. Tackled by David Caldwell.,0,0
14:53,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for S.J. Green.,0,0
14:32,2,Pass,7,Tanner Marsh pass to Duron Carter for 7 yards to the Mtl40. Tackled by Delvin Breaux.,0,0
14:06,3,Punt,7,Sean Whyte punts for 42 yards to Ham28. Lindsey Lamar return for 7 yards to Ham35. Tackled by Martin Bedard.,0,0
13:49,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Carl-Olivier Prime defensed by Geoff Tisdale.,0,0
13:20,2,Pass,6,Zach Collaros pass to C.J. Gable for 6 yards to the Ham41. Tackled by Geoff Tisdale.,0,0
13:06,3,Punt,1,Justin Medlock punts for 41 yards to Mtl28. Preston Cleckley return for 1 yard to Mtl29. Tackled by James Rogers.,0,0
12:48,1,Rush,1,Brandon Whitaker rush for 1 yard to the Mtl30. Tackled by Frederic Plesius.,0,0
12:18,2,Pass,9,Tanner Marsh pass to Eric Deslauriers for 9 yards to the Mtl39. Tackled by Emanuel Davis.,0,0
11:35,1,Rush,3,Brandon Whitaker rush for 3 yards to the Mtl42. Tackled by Ted Laurent.,0,0
10:55,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Chris Smith.,0,0
10:30,3,Fumble,11,"Sean Whyte punts for 53 yards to Ham15. Lindsey Lamar return for 11 yards to Ham26. FUMBLE, recovered by Mtl (Jonathan Beaulieu-Richard). Tackled by Tavoy Moore.",0,0
10:09,1,Interception,0,Tanner Marsh pass intended for Eric Deslauriers INTERCEPTED. No return. Tackled by Eric Deslauriers.,0,0
09:30,1,Pass,10,Zach Collaros pass to C.J. Gable for 10 yards to the Ham35. Tackled by Marc-Olivier Brouillette.,0,0
09:08,1,Pass,17,Zach Collaros pass to Bakari Grant for 17 yards to the Ham52. Tackled by Jerald Brown.,0,0
08:25,1,Pass,3,Zach Collaros pass to Luke Tasker for 3 yards to the Ham55. Tackled by Billy Parker.,0,0
07:55,2,Rush,12,Zach Collaros rush for 12 yards to the Mtl43.,0,0
