Time,Down,Type,Yards,Details,Montreal,Calgary
15:00,0,Kickoff,4,Sean Whyte kicks off to the Cgy37. Rob Cote return for 4 yards to Cgy41. Tackled by Winston Venable.,0,0
14:57,1,Rush,10,Jon Cornish rush for 10 yards to the Cgy51. Tackled by Marc-Olivier Brouillette.,0,0
14:18,1,Rush,1,Jon Cornish rush for 1 yard to the Cgy52. Tackled by Geoff Tisdale.,0,0
13:41,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker.,0,0
12:48,3,Punt Single,0,Rob Maver punts for 78 yards to Mtl0. No return (Single).,0,1
12:48,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Chad Johnson.,0,1
12:29,2,Pass,8,Troy Smith pass to Eric Deslauriers for 8 yards to the Mtl43. Tackled by Brandon Smith.,0,1
11:50,0,Roughing Kicker,15,Penalty: Roughing Kicker on Calgary (Jeff Fuller) 15 yards.,0,1
11:31,1,Rush,4,Brandon Whitaker rush for 4 yards to the Cgy48. Tackled by Freddie Bishop III.,0,1
10:55,0,Roughing Passer,15,Penalty: Roughing Passer on Calgary (Keon Raymond) 15 yards.,0,1
09:59,1,Rush,8,Brandon Whitaker rush for 8 yards to the Cgy25. Tackled by Charleston Hughes.,0,1
09:59,2,Rush,2,Brandon Whitaker rush for 2 yards to the Cgy23. Tackled by Charleston Hughes.,0,1
09:19,1,Sack,-8,Sack at Cgy31 for a loss of 8 yards by Charleston Hughes.,0,1
08:35,2,Pass,0,Troy Smith pass to Brandon Whitaker for no gain to the Cgy31. Tackled by Shawn Lemon.,0,1
08:07,3,Holding,11,41 yard field goal attempt by Sean Whyte is NO GOOD.  Missed field goal returned by Jock Sanders to the Cgy2. Tackled by Dave Stala. Penalty: Holding on Calgary (Keon Raymond) -1 yards.,0,1
07:41,1,Pass,5,Bo Levi Mitchell pass to Jon Cornish for 5 yards to the Cgy6. Tackled by Alan-Michael Cash.,0,1
07:07,2,Pass,9,Bo Levi Mitchell pass to Jeff Fuller for 9 yards to the Cgy15. Tackled by Geoff Tisdale.,0,1
06:25,1,Rush,4,Jon Cornish rush for 4 yards to the Cgy19. Tackled by Aaron Lavarias.,0,1
05:50,0,Roughing Passer,15,Penalty: Roughing Passer on Montreal (Chris Wilson) 15 yards.,0,1
05:26,1,Rush,1,Jon Cornish rush for 1 yard to the Cgy35. Tackled by Chris Smith.,0,1
04:51,2,Pass,36,Bo Levi Mitchell pass to Jeff Fuller for 36 yards to the Mtl39. Tackled by Billy Parker.,0,1
04:01,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jeff Fuller.,0,1
03:42,2,Pass,8,Bo Levi Mitchell pass to Jon Cornish for 8 yards to the Mtl31. Tackled by Aaron Lavarias.,0,1
02:49,3,Missed Field Goal,38,Rene Paredes 38 yard field goal attempt is GOOD.,0,4
02:49,1,Rush,9,Brandon Whitaker rush for 9 yards to the Mtl44. Tackled by Deron Mayo.,0,4
02:14,2,Rush,7,Brandon Whitaker rush for 7 yards to the Mtl51. Tackled by Brandon Smith.,0,4
01:35,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Brandon Whitaker defensed by Charleston Hughes.,0,4
01:20,2,Pass,5,Troy Smith pass to Kenny Stafford for 5 yards to the Cgy54. Tackled by Jamar Wall.,0,4
00:47,3,Illegal Block,-5,Sean Whyte punts for 41 yards to Cgy13. Jock Sanders return for 3 yards to Cgy16. Penalty: Illegal Block on Calgary (Fred Bennett) -8 yards.,0,4
00:00,1,Pass,102,Bo Levi Mitchell pass to Maurice Price for 102 yards for a TOUCHDOWN.,0,10
00:00,0,Made Extra Point,0,Rene Paredes extra point is good.,0,11
15:00,0,Kickoff,1,Rene Paredes kicks off to the Mtl43. Jean-Christophe Beaulieu return for 1 yard to Mtl44. Tackled by Adam Berger.,0,11
14:58,1,Rush,12,Brandon Whitaker rush for 12 yards to the Cgy54. Tackled by Brandon Smith.,0,11
14:19,1,Rush,-2,Brandon Whitaker rush for a loss of 2 yards to the Mtl54. Tackled by Charleston Hughes.,0,11
13:42,2,Interception,1,Troy Smith pass intended for Chad Johnson INTERCEPTED and returned for 1 yard. Tackled by Chad Johnson.,0,11
13:21,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Maurice Price.,0,11
12:58,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Maurice Price defensed by Geoff Tisdale.,0,11
12:36,3,Punt,5,Rob Maver punts for 42 yards to Mtl23. Larry Taylor return for 5 yards to Mtl28. Tackled by Matt Walter.,0,11
12:12,1,Pass,12,Troy Smith pass to Duron Carter for 12 yards to the Mtl40. Tackled by Josh Bell.,0,11
11:40,1,Sack,-12,Sack at Mtl28 for a loss of 12 yards by DeQuin Evans.,0,11
11:19,2,Pass,-3,Troy Smith pass to Brandon Whitaker for a loss of 3 yards to the Mtl25. Tackled by Juwan Simpson.,0,11
10:30,3,Punt,23,Sean Whyte punts for 58 yards to Cgy27. Jock Sanders return for 23 yards to Cgy50. Tackled by Marc-Olivier Brouillette.,0,11
10:16,1,Pass,2,Bo Levi Mitchell pass to Brad Sinopoli for 2 yards to the Cgy52. Tackled by Geoff Tisdale.,0,11
09:41,2,Pass,13,Bo Levi Mitchell pass to Marquay McDaniel for 13 yards to the Mtl45. Tackled by Geoff Tisdale.,0,11
09:13,1,Rush,4,Jon Cornish rush for 4 yards to the Mtl41. Tackled by John Bowman.,0,11
08:33,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel.,0,11
08:14,3,Punt,0,Rob Maver punts for 33 yards to Mtl8. No return.,0,11
07:55,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter.,0,11
07:35,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter.,0,11
07:15,3,Punt,0,Sean Whyte punts for 56 yards to Cgy46. Jock Sanders return for no gain to Cgy46.,0,11
06:54,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Maurice Price defensed by Geoff Tisdale.,0,11
06:34,2,Sack,-4,Sack at Cgy42 for a loss of 4 yards by Aaron Lavarias.,0,11
06:04,3,Punt,-3,Rob Maver punts for 42 yards to Mtl26. Larry Taylor return for a loss of 3 yards to Mtl23. Tackled by Keenan MacDougall.,0,11
05:35,1,Pass,8,Troy Smith pass to Chad Johnson for 8 yards to the Mtl31. Tackled by Jamar Wall.,0,11
04:51,2,Rush,6,Brandon Whitaker rush for 6 yards to the Mtl37. Tackled by Charleston Hughes.,0,11
04:10,1,Rush,3,Brandon Whitaker rush for 3 yards to the Mtl40. Tackled by Keon Raymond.,0,11
03:34,0,Unnecessary Roughness,-15,Penalty: Unnecessary Roughness on Calgary (Deron Mayo) -15 yards.,0,11
02:55,1,Pass,12,Troy Smith pass to Chad Johnson for 12 yards to the Cgy43. Tackled by Lin-J Shell.,0,11
02:44,1,Pass,6,Troy Smith pass to S.J. Green for 6 yards to the Cgy37. Tackled by Brandon Smith.,0,11
02:40,2,Offside,-5,Penalty: Offside on Montreal (S.J. Green) -5 yards.,0,11
02:15,2,Sack,-9,Sack at Cgy51 for a loss of 9 yards by Corey Mace.,0,11
02:08,3,Punt,0,Sean Whyte punts for 49 yards to Cgy2. No return.,0,11
01:50,1,Rush,8,Jon Cornish rush for 8 yards to the Cgy10. Tackled by Kyries Hebert.,0,11
01:40,2,Rush,1,Jon Cornish rush for 1 yard to the Cgy11. Tackled by John Bowman.,0,11
01:23,3,Rush,2,Drew Tate rush for 2 yards to the Cgy13. Tackled by Alan-Michael Cash.,0,11
01:11,1,Rush,2,Jon Cornish rush for 2 yards to the Cgy15. Tackled by John Bowman.,0,11
00:49,2,Rush,-5,Jon Cornish rush for a loss of 5 yards to the Cgy10. Tackled by Chip Cox.,0,11
00:24,3,Holding,48,Rob Maver punts for 38 yards to Cgy48. Penalty: Holding on Montreal (Daryl Townsend) 10 yards.,0,11
00:19,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter.,0,11
00:13,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter.,0,11
00:07,3,Unnecessary Roughness,24,Sean Whyte punts for 56 yards to Cgy2. Jock Sanders return for 9 yards to Cgy11. Tackled by Daryl Townsend. Penalty: Unnecessary Roughness on Montreal (Nicolas Boulay) 15 yards.,0,11
15:00,0,Kickoff,13,Sean Whyte kicks off to the Cgy40. Jock Sanders return for 13 yards to Cgy53. Tackled by Andrew Lue.,0,11
14:53,1,Pass,10,Bo Levi Mitchell pass to Brad Sinopoli for 10 yards to the Mtl47. Tackled by Chip Cox.,0,11
14:20,1,Rush,2,Jock Sanders rush for 2 yards to the Mtl45. Tackled by Jerald Brown.,0,11
13:29,2,Pass,17,Bo Levi Mitchell pass to Marquay McDaniel for 17 yards to the Mtl28. Tackled by Marc-Olivier Brouillette.,0,11
12:48,1,Rush,10,Bo Levi Mitchell rush for 10 yards to the Mtl18.,0,11
11:56,1,Rush,-1,Jon Cornish rush for a loss of 1 yard to the Mtl19. Tackled by Kyries Hebert.,0,11
11:06,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass.,0,11
10:28,3,Missed Field Goal,26,Rene Paredes 26 yard field goal attempt is GOOD.,0,14
10:28,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter.,0,14
10:19,2,Pass,15,Troy Smith pass to S.J. Green for 15 yards to the Mtl50. Tackled by Josh Bell.,0,14
09:44,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Chad Johnson.,0,14
09:20,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter.,0,14
08:59,3,No Yards,20,Sean Whyte punts for 35 yards to Cgy25. Penalty: No Yards on Montreal (Jamaan Webb) -15 yards.,0,14
08:39,1,Pass,-1,Bo Levi Mitchell pass to Brad Sinopoli for a loss of 1 yard to the Cgy39. Tackled by Billy Parker.,0,14
08:12,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker.,0,14
07:52,3,Punt,13,Rob Maver punts for 47 yards to Mtl24. Larry Taylor return for 13 yards to Mtl37. Tackled by Rob Cote.,0,14
07:32,1,Pass,3,Troy Smith pass to Duron Carter for 3 yards to the Mtl40. Tackled by Juwan Simpson.,0,14
07:00,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Brandon Whitaker.,0,14
06:36,3,Holding,46,Sean Whyte punts for 36 yards to Cgy34. Penalty: Holding on Calgary (Keenan MacDougall) 10 yards.,0,14
06:15,1,Pass,16,Bo Levi Mitchell pass to Nik Lewis for 16 yards to the Cgy40. Tackled by Jerald Brown.,0,14
05:51,1,Rush,2,Jon Cornish rush for 2 yards to the Cgy42. Tackled by Gabriel Knapton.,0,14
05:11,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Brad Sinopoli.,0,14
04:30,3,Punt Single,0,Rob Maver punts for 88 yards to Mtl0. No return (Single).,0,15
04:30,1,Rush,2,Brandon Whitaker rush for 2 yards to the Mtl37. Tackled by DeQuin Evans.,0,15
03:55,2,Pass,8,Troy Smith pass to Eric Deslauriers for 8 yards to the Mtl45. Tackled by Buddy Jackson.,0,15
03:17,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Chad Johnson.,0,15
02:54,2,Pass,9,Troy Smith pass to S.J. Green for 9 yards to the Mtl54. Tackled by Brandon Smith.,0,15
02:13,3,Unnecessary Roughness,17,Brandon Whitaker rush for 2 yards to the Cgy54. Tackled by Shawn Lemon. Penalty: Unnecessary Roughness on Calgary (DeQuin Evans) 15 yards.,0,15
01:43,1,Rush,6,Brandon Whitaker rush for 6 yards to the Cgy33. Tackled by Josh Bell.,0,15
01:12,2,Sack,-10,Sack at Cgy43 for a loss of 10 yards by Juwan Simpson.,0,15
00:32,3,Objectionable Conduct,38,Sean Whyte punts for 48 yards to Cgy0 (Single). Penalty: Objectionable Conduct on Montreal (Jamaan Webb) -10 yards.,0,15
