Time,Down,Type,Yards,Details,Winnipeg,Montreal
15:00,0,Kickoff,51,Sean Whyte kicks off to the Wpg18. Paris Cotton return for 51 yards to Mtl41. Tackled by Nicolas Boulay.,0,0
14:45,1,Rush,10,Nic Grigsby rush for 10 yards to the Mtl31. Tackled by Marc-Olivier Brouillette.,0,0
14:12,2,Rush,1,Robert Marve rush for 1 yard to the Mtl30. Tackled by Gabriel Knapton.,0,0
13:37,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark defensed by Jamaan Webb.,0,0
13:18,2,Roughing Passer,17,Penalty: Offside on Montreal (Chip Cox) 5 yards. Penalty: Roughing Passer on Montreal (Alan-Michael Cash) 12 yards.,0,0
12:55,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark.,0,0
12:35,2,Pass,4,Drew Willy pass to Rory Kohlert for 4 yards to the Mtl9. Tackled by Jamaan Webb.,0,0
11:46,3,Missed Field Goal,16,Lirim Hajrullahu 16 yard field goal attempt is GOOD.,3,0
11:47,0,Kickoff,27,Lirim Hajrullahu kicks off to the Mtl11. Larry Taylor return for 27 yards to Mtl38. Tackled by Chris Randle.,3,0
11:39,1,Illegal Procedure,-1,Brandon Whitaker rush for 4 yards to the Mtl42. Penalty: Illegal Procedure on Montreal -5 yards.,3,0
11:23,0,Pass Interference,12,Penalty: Pass Interference on Winnipeg (Matt Bucknor) 12 yards.,3,0
11:06,1,Pass,8,Troy Smith pass to Brandon Whitaker for 8 yards to the Mtl53. Tackled by Chris Randle.,3,0
10:50,2,Rush,7,Tanner Marsh rush for 7 yards to the Wpg50. Tackled by Demond Washington.,3,0
10:18,1,Rush,4,Kenny Stafford rush for 4 yards to the Wpg46.,3,0
09:37,2,Pass,46,Troy Smith pass to Chad Johnson for 46 yards for a TOUCHDOWN.,3,6
09:31,0,Made Extra Point,0,Sean Whyte extra point is good.,3,7
09:31,0,Kickoff,26,Sean Whyte kicks off to the Wpg15. Paris Cotton return for 26 yards to Wpg41. Tackled by Jamaan Webb.,3,7
09:25,1,Rush,14,Nic Grigsby rush for 14 yards to the Wpg55. Tackled by Chip Cox.,3,7
08:47,1,Pass,-2,Drew Willy pass to Nic Grigsby for a loss of 2 yards to the Wpg53. Tackled by Jerald Brown.,3,7
08:11,2,Unnecessary Roughness,21,Drew Willy pass to Julian Feoli-Gudino for 6 yards to the Mtl51. Tackled by Jamaan Webb. Penalty: Unnecessary Roughness on Montreal (Kyries Hebert) 15 yards.,3,7
07:48,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Winnipeg ( ) -5 yards.,3,7
07:33,1,Pass,24,Drew Willy pass to Rory Kohlert for 24 yards to the Mtl17. Tackled by Jamaan Webb.,3,7
07:09,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Nick Moore.,3,7
06:48,0,Pass Interference,16,Penalty: Pass Interference on Montreal (Geoff Tisdale) 16 yards.,3,7
06:04,1,Rush,1,Robert Marve rush for 1 yard for a TOUCHDOWN.,9,7
05:48,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,10,7
05:48,0,Kickoff,22,Lirim Hajrullahu kicks off to the Mtl10. Larry Taylor return for 22 yards to Mtl32. Tackled by Kyle Norris.,10,7
05:39,1,Rush,8,Brandon Whitaker rush for 8 yards to the Mtl40. Tackled by Johnny Sears Jr..,10,7
05:05,2,Rush,0,Brandon Whitaker rush for no gain to the Mtl40. Tackled by Bryant Turner Jr..,10,7
04:34,3,Face Mask,21,Sean Whyte punts for 52 yards to Wpg18. Demond Washington return for 6 yards to Wpg24. Tackled by Dominique Ellis. Penalty: Face Mask on Montreal (Chris Wilson) 15 yards.,10,7
04:09,1,Incomplete Pass,0,Drew Willy incomplete pass.,10,7
03:49,2,Sack,-9,Sack at Wpg30 for a loss of 9 yards by Michael Klassen.,10,7
03:15,3,Holding,-4,Mike Renaud punts for 46 yards to Mtl34. Larry Taylor return for 6 yards to Mtl40. Penalty: Holding on Montreal (Kenny Stafford) -10 yards.,10,7
03:00,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Eric Deslauriers.,10,7
02:36,2,Pass,12,Troy Smith pass to Brandon London for 12 yards to the Mtl42. Tackled by Chris Randle.,10,7
02:00,1,Rush,2,Brandon Whitaker rush for 2 yards to the Mtl44. Tackled by Kashawn Fraser.,10,7
01:25,2,Pass,48,Troy Smith pass to Brandon London for 48 yards to the Wpg18. Tackled by Demond Washington.,10,7
00:29,1,Incomplete Pass,0,Troy Smith incomplete pass intended for S.J. Green defensed by Bruce Johnson.,10,7
00:01,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Kenny Stafford.,10,7
14:47,3,Missed Field Goal,25,Sean Whyte 25 yard field goal attempt is GOOD.,10,10
14:47,0,Kickoff,25,Sean Whyte kicks off to the Wpg10. Paris Cotton return for 25 yards to Wpg35. Tackled by Andrew Lue.,10,10
14:37,1,Rush,1,Nic Grigsby rush for 1 yard to the Wpg36. Tackled by Aaron Lavarias.,10,10
14:03,2,Pass,2,Drew Willy pass to Clarence Denmark for 2 yards to the Wpg38. Tackled by Nick Moore.,10,10
13:42,3,Unnecessary Roughness,17,Mike Renaud punts for 27 yards to Mtl45. Penalty: Illegal Punt on Winnipeg (Mike Renaud) -10 yards. Penalty: Unnecessary Roughness on Winnipeg (Michel-Pierre Pontbriand) -15 yards. Penalty: Unnecessary Roughness on Montreal (Bryn Roy) 15 yards.,10,10
13:20,1,Sack,-8,Sack at Mtl47 for a loss of 8 yards by Jake Thomas.,10,10
13:03,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Brandon London.,10,10
12:47,3,Punt,11,Sean Whyte punts for 39 yards to Wpg24. Demond Washington return for 11 yards to Wpg35. Tackled by Brandon London.,10,10
12:21,1,Pass,21,Drew Willy pass to Clarence Denmark for 21 yards to the Mtl54. Tackled by Jerald Brown.,10,10
12:05,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Winnipeg ( ) -5 yards.,10,10
11:58,1,Sack,-4,Sack at Wpg47 for a loss of 4 yards by Kyries Hebert.,10,10
11:18,0,Offside,-5,Penalty: Holding on Winnipeg (Steve Morley) -10 yards. Penalty: Offside on Montreal (John Bowman) 5 yards.,10,10
10:52,2,Pass,18,Drew Willy pass to Nic Grigsby for 18 yards to the Mtl50. Tackled by Geoff Tisdale.,10,10
10:22,3,Punt,8,Mike Renaud punts for 42 yards to Mtl8. Larry Taylor return for 8 yards to Mtl16. Tackled by Chris Randle.,10,10
10:05,1,Pass,10,Troy Smith pass to Brandon London for 10 yards to the Mtl26. Tackled by Ejiro Kuale.,10,10
09:41,2,Rush,3,Tanner Marsh rush for 3 yards to the Mtl29. Tackled by Mike Cornell.,10,10
09:21,1,Unnecessary Roughness,16,Brandon Whitaker rush for 1 yard to the Mtl30. Tackled by Chris Randle. Penalty: Unnecessary Roughness on Winnipeg (Chris Randle) 15 yards.,10,10
08:50,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Chad Johnson.,10,10
08:40,2,Incomplete Pass,0,Troy Smith incomplete pass.,10,10
08:18,3,Holding,55,Sean Whyte punts for 45 yards to Wpg20. Penalty: Holding on Winnipeg (Donovan Alexander) 10 yards.,10,10
07:52,1,Rush,1,Nic Grigsby rush for 1 yard to the Wpg11. Tackled by Jerald Brown.,10,10
07:15,2,Pass,11,Drew Willy pass to Clarence Denmark for 11 yards to the Wpg22. Tackled by Chip Cox.,10,10
06:31,1,Pass,-2,Drew Willy pass to Nick Moore for a loss of 2 yards to the Wpg20. Tackled by Jerald Brown.,10,10
05:48,2,Pass,11,Drew Willy pass to Clarence Denmark for 11 yards to the Wpg31. Tackled by Geoff Tisdale.,10,10
05:14,3,Rush,-1,Robert Marve rush for a loss of 1 yard to the Wpg30. Tackled by Chip Cox.,10,10
04:50,0,Too Many Men on Field,-10,Penalty: Too Many Men on Field on Montreal -10 yards.,10,10
04:19,1,Sack,70,Sack at Wpg40 for no gain by Jason Vega Recovered by Wpg (Desia Dunn) and returned for 70 yards for a TOUCHDOWN,16,10
04:19,0,Blocked Extra Point,0,Lirim Hajrullahu extra point is NO GOOD.  extra point is BLOCKED.,16,10
04:06,0,Kickoff,13,Lirim Hajrullahu kicks off to the Mtl17. Larry Taylor return for 13 yards to Mtl30. Tackled by Chris Randle.,16,10
04:00,0,Pass Interference,26,Penalty: Pass Interference on Winnipeg (Demond Washington) 26 yards.,16,10
03:38,1,Pass,7,Troy Smith pass to Brandon London for 7 yards to the Wpg47. Tackled by Desia Dunn.,16,10
03:04,2,Rush,7,Brandon Whitaker rush for 7 yards to the Wpg40. Tackled by Kashawn Fraser.,16,10
02:37,1,Rush,8,Brandon Whitaker rush for 8 yards to the Wpg32. Tackled by Matt Bucknor.,16,10
02:24,2,Rush,0,Tanner Marsh rush for no gain to the Wpg32. Tackled by Greg Peach.,16,10
01:53,3,Missed Field Goal,39,Sean Whyte 39 yard field goal attempt is GOOD.,16,13
01:53,1,Pass,13,Drew Willy pass to Nick Moore for 13 yards to the Wpg48. Tackled by Marc-Olivier Brouillette.,16,13
01:46,1,Pass,4,Drew Willy pass to Julian Feoli-Gudino for 4 yards to the Wpg52. Tackled by Chip Cox.,16,13
01:26,2,Pass,9,Drew Willy pass to Aaron Kelly for 9 yards to the Mtl49. Tackled by Billy Parker.,16,13
01:00,1,Pass,20,Drew Willy pass to Rory Kohlert for 20 yards to the Mtl29. Tackled by Kyries Hebert.,16,13
00:40,1,Pass,6,Drew Willy pass to Nick Moore for 6 yards to the Mtl23. Tackled by Aaron Lavarias.,16,13
00:25,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Aaron Kelly defensed by Billy Parker.,16,13
00:13,0,Unnecessary Roughness,12,Penalty: Unnecessary Roughness on Montreal (Alan-Michael Cash) 12 yards.,16,13
00:09,1,Offside,-5,Penalty: Offside on Winnipeg (Aaron Kelly) -5 yards.,16,13
00:00,1,Missed Field Goal,24,Lirim Hajrullahu 24 yard field goal attempt is GOOD.,19,13
15:00,0,Kickoff,23,Lirim Hajrullahu kicks off to the Mtl6. Larry Taylor return for 23 yards to Mtl29. Tackled by Derek Jones.,19,13
14:53,1,Pass,6,Troy Smith pass to S.J. Green for 6 yards to the Mtl35. Tackled by Demond Washington.,19,13
14:10,2,Pass,10,Troy Smith pass to Steven Lumbala for 10 yards to the Mtl45. Tackled by Matt Bucknor.,19,13
13:35,1,Rush,10,Brandon Whitaker rush for 10 yards to the Mtl55. Tackled by Desia Dunn.,19,13
12:46,2,Rush,4,Tanner Marsh rush for 4 yards to the Wpg51. Tackled by Mike Cornell.,19,13
