Time,Down,Type,Yards,Details,Edmonton,Montreal
15:00,0,Kickoff,2,Grant Shaw kicks off to the Mtl27. Bo Bowling return for 2 yards to Mtl29. Tackled by Corbin Sharun.,0,0
14:56,1,Pass,1,Troy Smith pass to Duron Carter for 1 yard to the Mtl30. Tackled by Patrick Watkins.,0,0
14:20,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Chad Johnson.,0,0
13:55,3,Punt,6,Sean Whyte punts for 35 yards to Edm45. Jamal Miles return for 6 yards to Edm51. Tackled by Winston Venable.,0,0
13:35,1,Rush,4,Mike Reilly rush for 4 yards to the Edm55. Tackled by John Bowman.,0,0
12:57,2,Rush,20,Kendial Lawrence rush for 20 yards to the Mtl35. Tackled by Marc-Olivier Brouillette.,0,0
12:12,1,Pass,35,Mike Reilly pass to Kendial Lawrence for 35 yards for a TOUCHDOWN.,6,0
12:02,0,Made Extra Point,0,Grant Shaw extra point is good.,7,0
12:02,0,Kickoff,14,Grant Shaw kicks off to the Mtl21. Bo Bowling return for 14 yards to Mtl35. Tackled by Mike Miller.,7,0
11:55,1,Rush,3,Brandon Whitaker rush for 3 yards to the Mtl38. Tackled by Eric Samuels.,7,0
11:18,2,Pass,14,Troy Smith pass to   for 14 yards to the Mtl52. Tackled by Dexter McCoil.,7,0
10:33,1,Pass,5,Troy Smith pass to Brandon Whitaker for 5 yards to the Edm53. Tackled by Eddie Steele.,7,0
09:53,2,Incomplete Pass,0,Troy Smith incomplete pass intended for   defensed by Eric Samuels.,7,0
09:07,3,Punt Single,0,Sean Whyte punts for 67 yards to Edm0. No return (Single).,7,1
09:07,1,Pass,7,Mike Reilly pass to Adarius Bowman for 7 yards to the Edm42. Tackled by Geoff Tisdale.,7,1
08:40,2,Rush,29,John White rush for 29 yards to the Mtl39. Tackled by Geoff Tisdale.,7,1
08:02,1,Pass,19,Mike Reilly pass to Kendial Lawrence for 19 yards to the Mtl20. Tackled by Billy Parker.,7,1
07:35,1,Rush,-2,John White rush for a loss of 2 yards to the Mtl22. Tackled by Billy Parker.,7,1
06:50,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,7,1
06:14,3,Missed Field Goal,30,Grant Shaw 30 yard field goal attempt is GOOD.,10,1
06:14,0,Kickoff,10,Grant Shaw kicks off to the Mtl22. Bo Bowling return for 10 yards to Mtl32. Tackled by Deon Lacey.,10,1
06:09,1,Pass,-2,Troy Smith pass to Duron Carter for a loss of 2 yards to the Mtl30. Tackled by Eric Samuels.,10,1
05:27,2,Pass,7,Troy Smith pass to Duron Carter for 7 yards to the Mtl37. Tackled by Dexter McCoil.,10,1
04:47,3,Unnecessary Roughness,16,Sean Whyte rush for 1 yard to the Mtl38. Tackled by Patrick Watkins. Penalty: Unnecessary Roughness on Edmonton (Patrick Watkins) 15 yards.,10,1
04:14,1,Rush,4,Brandon Whitaker rush for 4 yards to the Edm53. Tackled by Dexter McCoil.,10,1
03:41,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Bo Bowling.,10,1
02:53,3,Punt Single,0,Sean Whyte punts for 56 yards to Edm0. No return (Single).,10,2
02:53,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,10,2
02:40,2,Interception,25,Mike Reilly pass INTERCEPTED and returned for 25 yards. Tackled by Mike Reilly.,10,2
02:10,1,Rush,5,Brandon Whitaker rush for 5 yards to the Edm18. Tackled by Rennie Curran.,10,2
01:33,2,Offside,-5,Penalty: Offside on Montreal ( ) -5 yards.,10,2
01:18,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Kenny Stafford.,10,2
00:42,3,Missed Field Goal,30,Sean Whyte 30 yard field goal attempt is GOOD.,10,5
00:42,0,Kickoff,18,Sean Whyte kicks off to the Edm11. Noel Devine return for 18 yards to Edm29. Tackled by Kyries Hebert.,10,5
