Time,Down,Type,Yards,Details,Ottawa,Montreal
15:00,0,Kickoff,25,Sean Whyte kicks off to the Ott14. Jamill Smith return for 25 yards to Ott39. Tackled by Chip Cox.,0,0
14:53,1,Rush,10,Chevon Walker rush for 10 yards to the Ott49. Tackled by Bear Woods.,0,0
14:14,2,Rush,2,Henry Burris rush for 2 yards to the Ott51. Tackled by Alan-Michael Cash.,0,0
13:48,1,Pass,14,Henry Burris pass to Marcus Henry for 14 yards to the Mtl45. Tackled by Mitchell White.,0,0
13:31,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Ottawa (Jon Gott) -5 yards.,0,0
13:20,1,Pass,5,Henry Burris pass to Dobson Collins for 5 yards to the Mtl45. Tackled by Alan-Michael Cash.,0,0
12:55,2,Unnecessary Roughness,30,Henry Burris pass to Matt Carter for 15 yards to the Mtl30. Tackled by Marc-Olivier Brouillette. Penalty: Unnecessary Roughness on Montreal (Marc-Olivier Brouillette) 15 yards.,0,0
12:34,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Khalil Paden.,0,0
12:20,2,Sack,-7,Sack at Mtl22 for a loss of 7 yards by Bear Woods.,0,0
11:44,3,Missed Field Goal,30,Brett Maher 30 yard field goal attempt is GOOD.,3,0
11:44,0,Kickoff,21,Brett Maher kicks off to the Mtl12. Tyrell Sutton return for 21 yards to Mtl33. Tackled by Travis Brown.,3,0
11:37,1,Rush,5,Brandon Whitaker rush for 5 yards to the Mtl38. Tackled by Zack Evans.,3,0
11:00,2,Pass,12,Jonathan Crompton pass to Duron Carter for 12 yards to the Mtl50. Tackled by Jovon Johnson.,3,0
10:20,1,Rush,3,Tyrell Sutton rush for 3 yards to the Mtl53. Tackled by Jasper Simmons.,3,0
09:40,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,3,0
09:21,3,Punt,15,Sean Whyte punts for 47 yards to Ott10. Jamill Smith return for 15 yards to Ott25. Tackled by Bear Woods.,3,0
09:00,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Patrick Lavoie.,3,0
08:49,2,Rush,6,Henry Burris rush for 6 yards to the Ott31. Tackled by Jerald Brown.,3,0
08:08,3,Punt,4,Brett Maher punts for 48 yards to Mtl31. James Rodgers return for 4 yards to Mtl35. Tackled by  .,3,0
07:55,1,Rush,6,Brandon Whitaker rush for 6 yards to the Mtl41. Tackled by Jeremiah Green.,3,0
07:22,2,Rush,8,Brandon Whitaker rush for 8 yards to the Mtl49. Tackled by Jasper Simmons.,3,0
06:48,0,Illegal Contact,10,Penalty: Illegal Contact on Ottawa (Jerrell Gavins) 10 yards.,3,0
06:26,0,Face Mask,15,Penalty: Face Mask on Ottawa (Jermaine Robinson) 15 yards.,3,0
06:00,1,Pass,8,Jonathan Crompton pass to S.J. Green for 8 yards to the Ott28. Tackled by Jerrell Gavins.,3,0
05:24,2,Rush,22,Brandon Whitaker rush for 22 yards to the Ott6. Tackled by Jasper Simmons.,3,0
04:46,1,Rush,0,Brandon Whitaker rush for no gain to the Ott6. Tackled by Jonathan Williams.,3,0
04:04,2,Pass,5,Jonathan Crompton pass to S.J. Green for 5 yards to the Ott1. Tackled by Jerrell Gavins.,3,0
02:45,3,Offside,0,Penalty: Offside on Ottawa (Brandon Lang) 0 yards.,3,0
02:44,1,Rush,0,Brandon Whitaker rush for no gain to the Ott1. Tackled by Andrew Marshall.,3,0
01:48,2,Pass,1,Tanner Marsh pass to S.J. Green for 1 yard for a TOUCHDOWN.,3,6
01:40,0,Made Extra Point,0,Sean Whyte extra point is good.,3,7
01:40,0,Kickoff,17,Sean Whyte kicks off to the Ott13. Jamill Smith return for 17 yards to Ott30. Tackled by Nicolas Boulay.,3,7
01:29,1,Rush,5,Chevon Walker rush for 5 yards to the Ott35. Tackled by Chip Cox.,3,7
01:01,2,Pass,3,Henry Burris pass to Marcus Henry for 3 yards to the Ott38. Tackled by Bear Woods.,3,7
00:24,3,Face Mask,23,Brett Maher punts for 49 yards to Mtl23. James Rodgers return for 8 yards to Mtl31. Tackled by James Green. Penalty: Face Mask on Ottawa (James Green) 15 yards.,3,7
00:06,1,Rush,6,Brandon Whitaker rush for 6 yards to the Mtl52. Tackled by Jovon Johnson.,3,7
15:00,2,Rush,4,Brandon Whitaker rush for 4 yards to the Ott54. Tackled by Justin Capicciotti.,3,7
14:23,1,Pass,4,Jonathan Crompton pass to Tyrell Sutton for 4 yards to the Ott50. Tackled by Brandon Lang.,3,7
13:44,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,3,7
13:04,3,Punt Single,0,Sean Whyte punts for 52 yards to Ott0. No return (Single).,3,8
13:04,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Chevon Walker.,3,8
12:45,2,Pass,6,Henry Burris pass to Wallace Miles for 6 yards to the Ott41. Tackled by Bear Woods.,3,8
12:01,3,Punt,1,Brett Maher punts for 38 yards to Mtl31. James Rodgers return for 1 yard to Mtl32. Tackled by Andrew Marshall.,3,8
11:40,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter.,3,8
11:30,2,Pass,18,Jonathan Crompton pass to Duron Carter for 18 yards to the Mtl50. Tackled by Jovon Johnson.,3,8
