Time,Down,Type,Yards,Details,Hamilton,Montreal
15:00,0,Objectionable Conduct,25,Sean Whyte kicks off to the Ham17. Cary Koch return for 15 yards to Ham32. Tackled by Kristian Matte. Penalty: Objectionable Conduct on Montreal 10 yards.,0,0
14:55,1,Rush,2,Zach Collaros rush for 2 yards to the Ham44. Tackled by Kyries Hebert.,0,0
14:16,2,Rush,8,Zach Collaros rush for 8 yards to the Ham52. Tackled by Winston Venable.,0,0
12:58,1,Fumble,66,"Mossis Madu rush for 7 yards to the Mtl51. FUMBLE, recovered by Mtl (Winston Venable) and returned for 59 yards for a TOUCHDOWN.",0,6
12:50,0,Made Extra Point,0,Sean Whyte extra point is good.,0,7
12:50,0,Kickoff,13,Sean Whyte kicks off to the Ham19. Cary Koch return for 13 yards to Ham32. Tackled by Chip Cox.,0,7
12:31,1,Pass,23,Zach Collaros pass to Mossis Madu for 23 yards to the Ham55. Tackled by Geoff Tisdale.,0,7
12:03,1,Pass,6,Zach Collaros pass to Andy Fantuz for 6 yards to the Mtl49. Tackled by Chip Cox.,0,7
11:46,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andy Fantuz defensed by Scott Paxson.,0,7
11:34,3,Punt,5,Justin Medlock punts for 36 yards to Mtl13. James Rodgers return for 5 yards to Mtl18. Tackled by Carl-Olivier Prime.,0,7
11:20,1,Rush,3,Brandon Whitaker rush for 3 yards to the Mtl21. Tackled by Antonio Coleman.,0,7
10:53,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Chad Johnson defensed by Courtney Stephen.,0,7
10:32,3,Punt,4,Sean Whyte punts for 44 yards to Ham45. Cary Koch return for 4 yards to Ham49. Tackled by Mike Edem.,0,7
10:05,1,Rush,5,Mossis Madu rush for 5 yards to the Ham54. Tackled by Bear Woods.,0,7
09:39,2,Pass,8,Zach Collaros pass to Mossis Madu for 8 yards to the Mtl48. Tackled by Winston Venable.,0,7
09:00,1,Rush,-6,Cary Koch rush for a loss of 6 yards to the Mtl54. Tackled by Billy Parker.,0,7
08:17,2,Pass,14,Zach Collaros pass to Luke Tasker for 14 yards to the Mtl40. Tackled by Bear Woods.,0,7
07:20,3,Missed Field Goal,47,Justin Medlock 47 yard field goal attempt is GOOD.,3,7
07:20,0,Kickoff,26,Justin Medlock kicks off to the Mtl8. Tyrell Sutton return for 26 yards to Mtl34. Tackled by Craig Butler.,3,7
06:45,1,Interception,40,Jonathan Crompton pass INTERCEPTED and returned for 40 yards for a TOUCHDOWN.,9,7
06:29,0,Made Extra Point,0,Justin Medlock extra point is good.,10,7
06:29,0,Kickoff,10,Justin Medlock kicks off to the Mtl17. Tyrell Sutton return for 10 yards to Mtl27. Tackled by Frederic Plesius.,10,7
06:24,1,Pass,-5,Jonathan Crompton pass to Brandon Whitaker for a loss of 5 yards to the Mtl22. Tackled by Rico Murray.,10,7
05:44,2,Rush,3,Jonathan Crompton rush for 3 yards to the Mtl25.,10,7
05:20,3,Punt,9,Sean Whyte punts for 39 yards to Ham46. Cary Koch return for 9 yards to Ham55. Tackled by Andrew Lue.,10,7
05:08,1,Rush,3,Zach Collaros rush for 3 yards to the Mtl52.,10,7
04:42,2,Pass,14,Zach Collaros pass to Luke Tasker for 14 yards to the Mtl38. Tackled by Jerald Brown.,10,7
04:01,1,Pass,12,Zach Collaros pass to Greg Ellingson for 12 yards to the Mtl26. Tackled by Marc-Olivier Brouillette.,10,7
03:30,1,Offside,5,Penalty: Offside on Montreal (John Bowman) 5 yards.,10,7
03:15,1,Pass,5,Zach Collaros pass to Carl-Olivier Prime for 5 yards to the Mtl16. Tackled by Chip Cox.,10,7
02:38,2,Rush,1,Zach Collaros rush for 1 yard to the Mtl15. Tackled by Kyries Hebert.,10,7
02:18,1,Sack,-7,Sack at Mtl22 for a loss of 7 yards by Gabriel Knapton.,10,7
01:19,2,Offside,5,Penalty: Offside on Montreal (Kyries Hebert) 5 yards.,10,7
01:05,2,Pass,14,Zach Collaros pass to Luke Tasker for 14 yards to the Mtl3. Tackled by Marc-Olivier Brouillette.,10,7
00:30,1,Rush,0,Mossis Madu rush for no gain to the Mtl3. Tackled by John Bowman.,10,7
00:00,2,Pass,3,Zach Collaros pass to Andy Fantuz for 3 yards for a TOUCHDOWN.,16,7
00:00,0,Made Extra Point,0,Justin Medlock extra point is good.,17,7
15:00,0,Kickoff,19,Justin Medlock kicks off to the Mtl6. Tyrell Sutton return for 19 yards to Mtl25. Tackled by Beau Landry.,17,7
14:53,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Brandon Whitaker.,17,7
14:33,2,Pass,22,Jonathan Crompton pass to Chad Johnson for 22 yards to the Mtl47. Tackled by Ed Gainey.,17,7
13:58,1,Rush,3,Brandon Whitaker rush for 3 yards to the Mtl50. Tackled by Taylor Reed.,17,7
13:21,2,Pass,8,Jonathan Crompton pass to Duron Carter for 8 yards to the Ham52. Tackled by Delvin Breaux.,17,7
12:43,1,Rush,2,James Rodgers rush for 2 yards to the Ham50. Tackled by Sam Scott.,17,7
12:05,2,Offside,-5,Penalty: Offside on Montreal -5 yards.,17,7
11:44,2,Incomplete Pass,0,Jonathan Crompton incomplete pass.,17,7
11:26,3,Illegal Block,48,Sean Whyte punts for 41 yards to Ham14. Penalty: Illegal Block on Hamilton (Rico Murray) 7 yards.,17,7
10:58,1,Rush,1,Zach Collaros rush for 1 yard to the Ham8. Tackled by Gabriel Knapton.,17,7
10:22,2,Unnecessary Roughness,39,Zach Collaros pass to Mossis Madu for 34 yards to the Ham42. Penalty: Holding on Hamilton (Cary Koch) -10 yards. Penalty: Unnecessary Roughness on Montreal (Geoff Tisdale) 15 yards.,17,7
09:45,1,Rush,3,Mossis Madu rush for 3 yards to the Ham50. Tackled by John Bowman.,17,7
09:05,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andy Fantuz.,17,7
08:44,3,Punt,12,Justin Medlock punts for 47 yards to Mtl13. James Rodgers return for 12 yards to Mtl25. Tackled by Brandon Stewart.,17,7
08:31,1,Rush,1,Tyrell Sutton rush for 1 yard to the Mtl26. Tackled by Frederic Plesius.,17,7
07:54,2,Pass,8,Jonathan Crompton pass to Brandon Whitaker for 8 yards to the Mtl34. Tackled by Simoni Lawrence.,17,7
07:30,3,Rush,2,Tanner Marsh rush for 2 yards to the Mtl36. Tackled by Bryan Hall.,17,7
07:04,1,Sack,-10,Sack at Mtl26 for no gain by Ted Laurent Recovered by Mtl (Brandon Whitaker),17,7
06:28,2,Pass,0,Jonathan Crompton pass to Tyrell Sutton for no gain to the Mtl26. Tackled by Ted Laurent.,17,7
06:01,3,Punt,4,Sean Whyte punts for 41 yards to Ham43. Cary Koch return for 4 yards to Ham47. Tackled by Andrew Lue.,17,7
05:40,1,Pass,3,Zach Collaros pass to Andy Fantuz for 3 yards to the Ham50. Tackled by Kyries Hebert.,17,7
05:08,2,Pass,11,Zach Collaros pass to Greg Ellingson for 11 yards to the Mtl49. Tackled by Geoff Tisdale.,17,7
04:28,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton (Joel Figueroa) -5 yards.,17,7
04:11,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Bakari Grant.,17,7
03:48,2,Time Count,-5,Penalty: Time Count on Hamilton (Zach Collaros) -5 yards.,17,7
03:24,2,Pass,38,Zach Collaros pass to Greg Ellingson for 38 yards to the Mtl21. Tackled by Mike Edem.,17,7
03:03,1,Rush,9,Zach Collaros rush for 9 yards to the Mtl12. Tackled by Mitchell White.,17,7
02:43,2,Pass,8,Zach Collaros pass to Bakari Grant for 8 yards to the Mtl4. Tackled by Kyries Hebert.,17,7
02:19,1,Sack,-1,Sack at Mtl5 for a loss of 1 yard by Bear Woods.,17,7
02:12,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Greg Ellingson defensed by Michael Klassen.,17,7
02:03,3,Missed Field Goal,12,Justin Medlock 12 yard field goal attempt is GOOD.,20,7
02:03,1,Pass,6,Jonathan Crompton pass to S.J. Green for 6 yards to the Mtl41. Tackled by Craig Butler.,20,7
01:58,2,Pass,9,Jonathan Crompton pass to S.J. Green for 9 yards to the Mtl50. Tackled by Arnaud Gascon-Nadon.,20,7
01:48,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Chad Johnson.,20,7
01:42,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,20,7
01:36,3,No Yards,26,Sean Whyte punts for 41 yards to Ham19. Penalty: No Yards on Montreal -15 yards.,20,7
01:28,1,Pass,16,Zach Collaros pass to Mossis Madu for 16 yards to the Ham50. Tackled by Scott Paxson.,20,7
01:20,1,Pass,10,Zach Collaros pass to Bakari Grant for 10 yards to the Mtl50. Tackled by Bear Woods.,20,7
01:06,1,Sack,-1,Sack at Mtl51 for a loss of 1 yard by Gabriel Knapton.,20,7
00:40,2,Pass,6,Zach Collaros pass to Mossis Madu for 6 yards to the Mtl45. Tackled by Winston Venable.,20,7
00:02,3,Punt Single,0,Justin Medlock punts for 53 yards to Mtl0. No return (Single).,21,7
15:00,0,Kickoff,19,Justin Medlock kicks off to the Mtl18. James Rodgers return for 19 yards to Mtl37. Tackled by Frederic Plesius.,21,7
14:53,1,Pass,5,Jonathan Crompton pass to S.J. Green for 5 yards to the Mtl42. Tackled by Rico Murray.,21,7
14:21,2,Rush,-2,Brandon Whitaker rush for a loss of 2 yards to the Mtl40. Tackled by Arnaud Gascon-Nadon.,21,7
14:00,3,Fumble,11,"Sean Whyte punts for 47 yards to Ham23. Cary Koch return for 11 yards to Ham34. FUMBLE, recovered by Mtl (Martin Bedard).",21,7
13:51,1,Pass,6,Jonathan Crompton pass to Brandon Whitaker for 6 yards to the Ham28. Tackled by Delvin Breaux.,21,7
13:31,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter defensed by Brandon Stewart.,21,7
12:57,3,Missed Field Goal,35,Sean Whyte 35 yard field goal attempt is GOOD.,21,10
12:57,1,Pass,5,Zach Collaros pass to Greg Ellingson for 5 yards to the Ham40. Tackled by Bear Woods.,21,10
12:25,2,Pass,9,Zach Collaros pass to Bakari Grant for 9 yards to the Ham49. Tackled by Billy Parker.,21,10
11:58,1,Rush,7,Zach Collaros rush for 7 yards to the Mtl54.,21,10
11:38,2,Rush,3,Mossis Madu rush for 3 yards to the Mtl51. Tackled by Kyries Hebert.,21,10
11:02,3,Rush,0,Jeremiah Masoli rush for no gain to the Mtl51. Tackled by Mike Edem.,21,10
10:34,1,Pass,16,Zach Collaros pass to Samuel Giguere for 16 yards to the Mtl35. Tackled by Jerald Brown.,21,10
10:14,1,Rush,7,Mossis Madu rush for 7 yards to the Mtl28. Tackled by Bear Woods.,21,10
09:46,2,Rush,12,Mossis Madu rush for 12 yards to the Mtl16. Tackled by Kyries Hebert.,21,10
09:15,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andy Fantuz.,21,10
08:54,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Greg Ellingson.,21,10
08:12,3,Missed Field Goal,23,Justin Medlock 23 yard field goal attempt is GOOD.,24,10
08:12,0,Kickoff,26,Justin Medlock kicks off to the Mtl10. James Rodgers return for 26 yards to Mtl36. Tackled by Erik Harris.,24,10
08:03,1,Pass,5,Jonathan Crompton pass to Eric Deslauriers for 5 yards to the Mtl41. Tackled by Erik Harris.,24,10
07:27,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter defensed by Delvin Breaux.,24,10
07:11,3,Punt,15,Sean Whyte punts for 50 yards to Ham19. Luke Tasker return for 15 yards to Ham34. Tackled by Aaron Lavarias.,24,10
06:53,1,Pass,1,Zach Collaros pass to Mossis Madu for 1 yard to the Ham35. Tackled by Winston Venable.,24,10
06:22,2,Interception,45,Zach Collaros pass INTERCEPTED and returned for 45 yards. Tackled by Brian Simmons.,24,10
05:50,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Tyrell Sutton.,24,10
05:40,0,Pass Interference,3,Penalty: Pass Interference on Hamilton (Rico Murray) 3 yards.,24,10
05:22,1,Rush,0,Tanner Marsh rush for no gain to the Ham1. Tackled by Bryan Hall.,24,10
04:25,2,Rush,1,Tanner Marsh rush for 1 yard for a TOUCHDOWN.,24,16
04:15,0,Made Extra Point,0,Sean Whyte extra point is good.,24,17
04:15,0,Kickoff,32,Sean Whyte kicks off to the Ham9. Luke Tasker return for 32 yards to Ham41. Tackled by Jean-Christophe Beaulieu.,24,17
03:57,1,Sack,-1,Sack at Ham40 for a loss of 1 yard by Gabriel Knapton.,24,17
03:23,2,Pass,7,Zach Collaros pass to Samuel Giguere for 7 yards to the Ham47. Tackled by Billy Parker.,24,17
03:06,3,Punt,0,Justin Medlock punts for 51 yards to Mtl12. James Rodgers return for no gain to Mtl12. Tackled by Taylor Reed.,24,17
02:49,1,Pass,32,Jonathan Crompton pass to Duron Carter for 32 yards to the Mtl44. Tackled by Simoni Lawrence.,24,17
02:14,1,Rush,5,Brandon Whitaker rush for 5 yards to the Mtl49. Tackled by Brandon Stewart.,24,17
01:38,2,Pass,8,Jonathan Crompton pass to Chad Johnson for 8 yards to the Ham53. Tackled by Taylor Reed.,24,17
01:02,1,Pass,43,Jonathan Crompton pass to Chad Johnson for 43 yards to the Ham10. Tackled by Courtney Stephen.,24,17
00:00,1,Pass,10,Jonathan Crompton pass to Duron Carter for 10 yards for a TOUCHDOWN.,24,23
00:00,0,Made Extra Point,0,Sean Whyte extra point is good.,24,24
15:00,0,Kickoff,10,Sean Whyte kicks off to the Ham15. Luke Tasker return for 10 yards to Ham25. Tackled by Jeffrey Finley.,24,24
14:54,1,Rush,6,Mossis Madu rush for 6 yards to the Ham31. Tackled by Bear Woods.,24,24
14:21,2,Rush,1,Zach Collaros rush for 1 yard to the Ham32. Tackled by Bear Woods.,24,24
13:29,3,Punt,83,Justin Medlock punts for 51 yards to Mtl27. James Rodgers return for 83 yards to Ham0 for a TOUCHDOWN.,24,30
13:23,0,Made Extra Point,0,Sean Whyte extra point is good.,24,31
13:23,0,Kickoff,21,Sean Whyte kicks off to the Ham14. Luke Tasker return for 21 yards to Ham35. Tackled by Daryl Townsend.,24,31
13:15,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,24,31
12:55,2,Rush,4,Zach Collaros rush for 4 yards to the Ham39. Tackled by Bear Woods.,24,31
12:23,3,Punt,0,Justin Medlock punts for 54 yards to Mtl17. No return.,24,31
12:13,1,Pass,6,Jonathan Crompton pass to Duron Carter for 6 yards to the Mtl23. Tackled by Delvin Breaux.,24,31
12:01,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green defensed by Brandon Stewart.,24,31
11:42,3,Punt,9,Sean Whyte punts for 52 yards to Ham35. Luke Tasker return for 9 yards to Ham44. Tackled by Tyrell Sutton.,24,31
11:14,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andy Fantuz.,24,31
10:54,2,Sack,-7,Sack at Ham37 for a loss of 7 yards by Bear Woods.,24,31
10:23,3,Holding,56,Justin Medlock punts for 46 yards to Mtl27. Penalty: Holding on Montreal 10 yards.,24,31
10:10,1,Rush,7,Brandon Whitaker rush for 7 yards to the Mtl24. Tackled by Craig Butler.,24,31
09:41,2,Rush,12,Brandon Whitaker rush for 12 yards to the Mtl36. Tackled by Craig Butler.,24,31
08:55,1,Pass,6,Jonathan Crompton pass to Brandon Whitaker for 6 yards to the Mtl42. Tackled by Simoni Lawrence.,24,31
08:16,2,Rush,3,Brandon Whitaker rush for 3 yards to the Mtl45. Tackled by Simoni Lawrence.,24,31
07:37,3,Time Count,-5,Penalty: Time Count on Montreal (Tanner Marsh) -5 yards.,24,31
07:16,3,Punt,5,Sean Whyte punts for 45 yards to Ham25. Luke Tasker return for 5 yards to Ham30. Tackled by Daryl Townsend.,24,31
07:07,1,Rush,5,Mossis Madu rush for 5 yards to the Ham35. Tackled by John Bowman.,24,31
06:34,2,Pass,4,Zach Collaros pass to Bakari Grant for 4 yards to the Ham39. Tackled by Kyries Hebert.,24,31
05:39,3,Rush,1,Jeremiah Masoli rush for 1 yard to the Ham40. Tackled by Winston Venable.,24,31
05:16,1,Rush,-3,Brandon Whitaker rush for a loss of 3 yards to the Ham43. Tackled by Sam Scott.,24,31
04:34,2,Pass,25,Jonathan Crompton pass to Brandon London for 25 yards to the Ham18. Tackled by Rico Murray.,24,31
04:04,0,Unnecessary Roughness,5,Penalty: Illegal Participation on Montreal (Andrew Lue) -10 yards. Penalty: Unnecessary Roughness on Hamilton (Taylor Reed) 15 yards.,24,31
03:28,1,Pass,12,Jonathan Crompton pass to Tyrell Sutton for 12 yards to the Ham1. Tackled by Craig Butler.,24,31
02:55,1,Rush,1,Tanner Marsh rush for 1 yard for a TOUCHDOWN.,24,37
02:55,0,Made Extra Point,0,Sean Whyte extra point is good.,24,38
02:55,0,Kickoff,25,Sean Whyte kicks off to the Ham12. Luke Tasker return for 25 yards to Ham37. Tackled by Winston Venable.,24,38
02:49,1,Pass,5,Zach Collaros pass to Samuel Giguere for 5 yards to the Ham42. Tackled by Chip Cox.,24,38
02:43,2,Pass,6,Zach Collaros pass to Andy Fantuz for 6 yards to the Ham48. Tackled by Billy Parker.,24,38
02:32,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Mossis Madu.,24,38
02:22,2,Offside,-5,Penalty: Offside on Hamilton (Andy Fantuz) -5 yards.,24,38
02:07,2,Pass,1,Zach Collaros pass to Bakari Grant for 1 yard to the Ham44. Tackled by Jerald Brown.,24,38
02:01,3,Pass,28,Zach Collaros pass to Greg Ellingson for 28 yards to the Mtl38. Tackled by Kyries Hebert.,24,38
01:37,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,24,38
01:25,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker defensed by Billy Parker.,24,38
01:20,3,Pass,5,Zach Collaros pass to Luke Tasker for 5 yards to the Mtl33. Tackled by Billy Parker.,24,38
01:13,1,Rush,5,Tyrell Sutton rush for 5 yards to the Mtl38. Tackled by Simoni Lawrence.,24,38
01:02,2,Objectionable Conduct,21,"Tyrell Sutton rush for 1 yard to the Mtl39. FUMBLE, recovered by Ham (Sam Scott). Tackled by Tyrell Sutton. Penalty: Unnecessary Roughness on Montreal (S.J. Green) 15 yards. Penalty: Unnecessary Roughness on Montreal (Josh Bourke) 15 yards. Penalty: Objectionable Conduct on Hamilton (Brandon Stewart) -10 yards.",24,38
00:38,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker defensed by Jerald Brown.,24,38
00:32,0,Pass Interference,-10,Penalty: Pass Interference on Hamilton (Greg Ellingson) -10 yards.,24,38
00:26,2,Roughing Passer,27,Zach Collaros pass to Andy Fantuz for 24 yards to the Mtl5. Tackled by Chip Cox. Penalty: Roughing Passer on Montreal (Gabriel Knapton) 3 yards.,24,38
00:12,1,Pass,2,Zach Collaros pass to Andy Fantuz for 2 yards for a TOUCHDOWN.,30,38
00:12,0,Made Extra Point,0,Justin Medlock extra point is good.,31,38
00:12,0,Objectionable Conduct,15,Justin Medlock kicks off to the Ham52. S.J. Green return for 5 yards to Ham47. Tackled by Erik Harris. Penalty: Objectionable Conduct on Hamilton (Brandon Stewart) 10 yards.,31,38
