Time,Down,Type,Yards,Details,Montreal,Ottawa
15:00,0,Kickoff,28,Sean Whyte kicks off to the Ott8. Roy Finch return for 28 yards to Ott36. Tackled by James Tuck.,0,0
14:36,1,Pass,23,Henry Burris pass to Marcus Henry for 23 yards to the Mtl51. Tackled by Marc-Olivier Brouillette.,0,0
14:20,1,Rush,6,Roy Finch rush for 6 yards to the Mtl45. Tackled by John Bowman.,0,0
13:30,2,Rush,10,rush for 10 yards to the Mtl35. Tackled by John Bowman.,0,0
13:01,1,Rush,7,rush for 7 yards to the Mtl28. Tackled by Bear Woods.,0,0
12:38,2,Pass,11,Henry Burris pass to Patrick Lavoie for 11 yards to the Mtl17. Tackled by Jerald Brown.,0,0
12:01,1,Rush,12,rush for 12 yards to the Mtl5. Tackled by Bear Woods.,0,0
11:20,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Roy Finch.,0,0
10:39,2,Pass,5,Henry Burris pass to Marcus Henry for 5 yards for a TOUCHDOWN.,0,6
10:25,0,Made Extra Point,0,Brett Maher extra point is good.,0,7
10:25,0,Holding,-2,Brett Maher kicks off to the Mtl15. James Rodgers return for 8 yards to Mtl23. Penalty: Holding on Montreal (Andrew Lue) -10 yards.,0,7
10:16,1,Rush,0,Jonathan Crompton rush for no gain to the Mtl13. Tackled by Zack Evans.,0,7
09:22,2,Pass,20,Jonathan Crompton pass to Brandon London for 20 yards to the Mtl33. Tackled by Jermaine Robinson.,0,7
09:05,1,Rush,5,Chris Rainey rush for 5 yards to the Mtl38. Tackled by Jasper Simmons.,0,7
08:11,2,Pass,32,Jonathan Crompton pass to S.J. Green for 32 yards to the Ott40. Tackled by Jermaine Robinson.,0,7
08:02,1,Rush,7,Tanner Marsh rush for 7 yards to the Ott33. Tackled by Jasper Simmons.,0,7
07:15,2,Rush,24,Tyrell Sutton rush for 24 yards to the Ott9. Tackled by Jasper Simmons.,0,7
06:56,1,Rush,0,Tyrell Sutton rush for no gain to the Ott9. Tackled by Marlon Smith.,0,7
06:30,0,Pass Interference,8,Penalty: Pass Interference on Ottawa (Jerrell Gavins) 8 yards.,0,7
05:23,1,Rush,1,Tanner Marsh rush for 1 yard for a TOUCHDOWN.,6,7
05:24,0,Made Extra Point,0,Sean Whyte extra point is good.,7,7
05:24,0,Kickoff,28,Sean Whyte kicks off to the Ott8. Roy Finch return for 28 yards to Ott36. Tackled by Jeffrey Finley.,7,7
05:14,1,Rush,5,rush for 5 yards to the Ott41. Tackled by  .,7,7
04:54,2,Rush,9,rush for 9 yards to the Ott50. Tackled by Winston Venable.,7,7
04:03,1,Rush,-8,Roy Finch rush for a loss of 8 yards to the Ott42. Tackled by Chip Cox.,7,7
03:19,2,Offside,5,Penalty: Offside on Montreal (John Bowman) 5 yards.,7,7
02:51,2,Offside,5,Penalty: Offside on Montreal (Winston Venable) 5 yards.,7,7
02:34,2,Pass,13,Henry Burris pass to Roy Finch for 13 yards to the Mtl45. Tackled by Alan-Michael Cash.,7,7
02:13,1,Rush,1,rush for 1 yard to the Mtl44. Tackled by Chip Cox.,7,7
01:47,0,Pass Interference,10,Penalty: Pass Interference on Montreal (Billy Parker) 10 yards.,7,7
01:09,1,Rush,7,Roy Finch rush for 7 yards to the Mtl27. Tackled by Bear Woods.,7,7
00:49,2,Time Count,-5,Penalty: Time Count on Ottawa (Henry Burris) -5 yards.,7,7
00:27,2,Interception,15,Henry Burris pass intended for Wallace Miles INTERCEPTED and returned for 15 yards. Tackled by Patrick Lavoie.,7,7
00:05,1,Rush,5,Tyrell Sutton rush for 5 yards to the Mtl30. Tackled by Marlon Smith.,7,7
15:00,0,Illegal Contact,10,Penalty: Illegal Contact on Ottawa (Jerrell Gavins) 10 yards.,7,7
14:42,1,Rush,3,Tyrell Sutton rush for 3 yards to the Mtl43. Tackled by Antoine Pruneau.,7,7
14:14,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,7,7
13:41,3,Punt,0,Sean Whyte punts for 27 yards to Ott40. No return.,7,7
13:19,1,Rush,-4,Roy Finch rush for a loss of 4 yards to the Ott36. Tackled by Alan-Michael Cash.,7,7
13:00,2,Interception,0,Danny O'Brien pass intended for Marcus Henry INTERCEPTED. No return.,7,7
12:21,1,Rush,1,Tyrell Sutton rush for 1 yard to the Ott50. Tackled by Zack Evans.,7,7
11:57,2,Objectionable Conduct,37,Jonathan Crompton pass intended for Brandon London INTERCEPTED and returned for 32 yards. Tackled by Ryan Bomben. Penalty: Unnecessary Roughness on Montreal (Ryan Bomben) 15 yards. Penalty: Objectionable Conduct on Ottawa (Jerrell Gavins) -10 yards.,7,7
11:21,1,Rush,5,rush for 5 yards to the Ott50. Tackled by Geoff Tisdale.,7,7
11:02,2,Pass,7,Henry Burris pass to Patrick Lavoie for 7 yards to the Mtl53. Tackled by Dominique Ellis.,7,7
10:35,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles.,7,7
10:28,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,7,7
10:05,3,Punt,0,Brett Maher punts for 48 yards to Mtl5. No return.,7,7
09:55,1,Rush,5,Tyrell Sutton rush for 5 yards to the Mtl10. Tackled by Brandyn Thompson.,7,7
09:32,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter defensed by Jovon Johnson.,7,7
08:56,3,Illegal Block,49,Sean Whyte punts for 39 yards to Mtl49. Penalty: Illegal Block on Ottawa (Eddie Elder) 10 yards.,7,7
08:43,1,Rush,1,rush for 1 yard to the Ott52. Tackled by Alan-Michael Cash.,7,7
08:23,2,Pass,15,Henry Burris pass to Matt Carter for 15 yards to the Mtl43.,7,7
07:45,1,Sack,-4,Sack at Mtl47 for a loss of 4 yards by Jerald Brown.,7,7
07:15,2,Pass,-3,Henry Burris pass to Roy Finch for a loss of 3 yards to the Mtl50. Tackled by Kyries Hebert.,7,7
06:38,0,Blocked Punt,-2,FUMBLE Punt blocked by Jean-Christophe Beaulieu.  Recovered by Mtl (Jonathan Beaulieu-Richard) and returned for 5 yards,7,7
05:56,1,Rush,9,Chris Rainey rush for 9 yards to the Ott39. Tackled by Antoine Pruneau.,7,7
05:25,2,Offside,5,Penalty: Offside on Ottawa 5 yards.,7,7
05:13,1,Pass,3,Jonathan Crompton pass to Chris Rainey for 3 yards to the Ott31. Tackled by Antoine Pruneau.,7,7
04:48,2,Sack,-3,Sack at Ott34 for a loss of 3 yards by Keith Shologan.,7,7
03:34,3,Missed Field Goal,41,Sean Whyte 41 yard field goal attempt is GOOD.,10,7
03:34,1,Rush,4,Roy Finch rush for 4 yards to the Ott39. Tackled by Jeffrey Finley.,10,7
03:00,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Ottawa (Jeraill McCuller) -5 yards.,10,7
02:53,2,Sack,-12,Sack at Mtl46 for a loss of 12 yards by  .,10,7
02:48,3,Punt,0,Brett Maher punts for 40 yards to Mtl48. James Rodgers return for no gain to Mtl48. Tackled by Eric Fraser.,10,7
02:26,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Dave Stala.,10,7
02:21,2,Pass,14,Jonathan Crompton pass to Duron Carter for 14 yards to the Ott48. Tackled by Jovon Johnson.,10,7
02:10,1,Unnecessary Roughness,22,Tyrell Sutton rush for 7 yards to the Ott41. Tackled by Jasper Simmons. Penalty: Unnecessary Roughness on Ottawa (Keith Shologan) 15 yards.,10,7
01:54,1,Rush,1,James Rodgers rush for 1 yard to the Ott25. Tackled by Keith Shologan.,10,7
01:47,2,Pass,11,Jonathan Crompton pass to Duron Carter for 11 yards to the Ott14. Tackled by Marlon Smith.,10,7
01:24,1,Rush,0,Tyrell Sutton rush for no gain to the Ott14. Tackled by Jasper Simmons.,10,7
01:05,2,Pass,7,Jonathan Crompton pass to Jean-Christophe Beaulieu for 7 yards to the Ott7. Tackled by Jasper Simmons.,10,7
00:21,3,Missed Field Goal,14,Sean Whyte 14 yard field goal attempt is GOOD.,13,7
00:21,1,Rush,13,Roy Finch rush for 13 yards to the Ott48. Tackled by Jerald Brown.,13,7
00:15,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Ottawa -5 yards.,13,7
00:15,1,Rush,7,Roy Finch rush for 7 yards to the Ott50. Tackled by Dominique Ellis.,13,7
00:01,2,Fumble,6,"Roy Finch rush for 6 yards to the Mtl54. FUMBLE, recovered by Mtl (Winston Venable). Tackled by John Delahunt.",13,7
15:00,0,Kickoff,16,Brett Maher kicks off to the Mtl15. Chris Rainey return for 16 yards to Mtl31. Tackled by Eric Fraser.,13,7
14:41,1,Rush,3,Tyrell Sutton rush for 3 yards to the Mtl34. Tackled by Antoine Pruneau.,13,7
14:20,2,Pass,9,Jonathan Crompton pass to Dave Stala for 9 yards to the Mtl43. Tackled by Jovon Johnson.,13,7
13:50,1,Pass,24,Jonathan Crompton pass to Duron Carter for 24 yards to the Ott43. Tackled by Jerrell Gavins.,13,7
13:10,0,Pass Interference,32,Penalty: Objectionable Conduct on Montreal (Jonathan Crompton) -10 yards. Penalty: Pass Interference on Ottawa (Abdul Kanneh) 42 yards.,13,7
12:50,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Brandon London.,13,7
12:29,0,Objectionable Conduct,0,Penalty: Illegal Block on Montreal (Jeff Perrett) -10 yards. Penalty: Objectionable Conduct on Ottawa 10 yards.,13,7
11:45,2,Pass,11,Jonathan Crompton pass to S.J. Green for 11 yards for a TOUCHDOWN.,19,7
11:24,0,Made Extra Point,0,Sean Whyte extra point is good.,20,7
11:24,0,Kickoff,22,Sean Whyte kicks off to the Ott10. Roy Finch return for 22 yards to Ott32. Tackled by Bryn Roy.,20,7
11:17,1,Interception,2,Henry Burris pass intended for Marcus Henry INTERCEPTED and returned for 2 yards. Tackled by Scott MacDonell.,20,7
10:49,1,Rush,4,James Rodgers rush for 4 yards to the Ott51. Tackled by Jasper Simmons.,20,7
