Time,Down,Type,Yards,Details,Ottawa,Montreal
15:00,0,Kickoff,33,Delbert Alvarado kicks off to the Ott10. Jamill Smith return for 33 yards to Ott43. Tackled by Daryl Townsend.,0,0
14:49,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Chevon Walker.,0,0
14:29,2,Offside,5,Penalty: Offside on Montreal (Diamond Ferri) 5 yards.,0,0
14:02,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Kierrie Johnson.,0,0
13:40,3,Punt,5,Justin Palardy punts for 39 yards to Mtl23. Larry Taylor return for 5 yards to Mtl28. Tackled by Eric Fraser.,0,0
13:14,1,Illegal Participation,23,Troy Smith pass to Chad Johnson for 13 yards to the Mtl41. Tackled by Brandyn Thompson. Penalty: Illegal Participation on Ottawa (Brandyn Thompson) 10 yards.,0,0
12:56,1,Rush,5,Brandon Rutley rush for 5 yards to the Ott54. Tackled by Brandon Lang.,0,0
12:20,2,Pass,7,Troy Smith pass to Duron Carter for 7 yards to the Ott47. Tackled by Jovon Johnson.,0,0
11:44,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Chad Johnson.,0,0
11:33,2,Incomplete Pass,0,Troy Smith incomplete pass intended for S.J. Green.,0,0
11:12,3,Punt,0,Delbert Alvarado punts for 33 yards to Ott14. No return.,0,0
10:56,1,Rush,3,Chevon Walker rush for 3 yards to the Ott17. Tackled by Jermaine McElveen.,0,0
10:18,2,Pass,6,Henry Burris pass to Paris Jackson for 6 yards to the Ott23. Tackled by Chip Cox.,0,0
10:01,3,Punt,8,Justin Palardy punts for 47 yards to Mtl40. Larry Taylor return for 8 yards to Mtl48. Tackled by Travis Brown.,0,0
08:59,1,Pass,11,Troy Smith pass to Duron Carter for 11 yards to the Ott51. Tackled by Jovon Johnson.,0,0
08:41,1,Rush,1,Brandon Rutley rush for 1 yard to the Ott50. Tackled by Jerrell Gavins.,0,0
08:15,2,Rush,1,Troy Smith rush for 1 yard to the Ott49. Tackled by Moton Hopkins.,0,0
07:11,3,Punt Single,0,Delbert Alvarado punts for 55 yards to Ott0. No return (Single).,0,1
07:11,1,Rush,6,Chevon Walker rush for 6 yards to the Ott41. Tackled by Gabriel Knapton.,0,1
06:40,2,Rush,2,Chevon Walker rush for 2 yards to the Ott43. Tackled by Diamond Ferri.,0,1
06:00,3,Punt,1,Justin Palardy punts for 44 yards to Mtl23. Larry Taylor return for 1 yard to Mtl24. Tackled by Eric Fraser.,0,1
05:36,1,Rush,5,Brandon Rutley rush for 5 yards to the Mtl29. Tackled by Brandon Lang.,0,1
05:13,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter.,0,1
04:44,3,Punt,10,Delbert Alvarado punts for 46 yards to Ott35. Jamill Smith return for 10 yards to Ott45. Tackled by Daryl Townsend.,0,1
04:22,1,Pass,28,Henry Burris pass to Dobson Collins for 28 yards to the Mtl37. Tackled by Billy Parker.,0,1
03:52,1,Pass,34,Henry Burris pass to Matt Carter for 34 yards to the Mtl3. Tackled by Ed Gainey.,0,1
02:44,1,Rush,3,Chevon Walker rush for 3 yards for a TOUCHDOWN.,6,1
02:27,0,Made Extra Point,0,Brett Maher extra point is good.,7,1
02:27,0,Kickoff,41,Brett Maher kicks off to the Mtl22. Larry Taylor return for 41 yards to Ott47. Tackled by Eddie Elder.,7,1
02:16,1,Pass,20,Troy Smith pass to S.J. Green for 20 yards to the Ott27. Tackled by Antoine Pruneau.,7,1
01:53,1,Rush,1,Brandon Rutley rush for 1 yard to the Ott26. Tackled by Travis Brown.,7,1
01:20,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Kenny Stafford.,7,1
00:32,3,Missed Field Goal,33,Delbert Alvarado 33 yard field goal attempt is GOOD.,7,4
00:32,0,Kickoff OOB,30,Delbert Alvarado kicks off to the Ott27. Penalty: Kickoff OOB on Montreal (Delbert Alvarado) -18 yards.,7,4
00:32,1,Rush,6,Henry Burris rush for 6 yards to the Ott51. Tackled by Chip Cox.,7,4
00:01,2,Pass,17,Henry Burris pass to Kierrie Johnson for 17 yards to the Mtl42. Tackled by Jerald Brown.,7,4
15:00,1,Offside,5,Penalty: Offside on Montreal (John Bowman) 5 yards.,7,4
14:49,1,Pass,36,Henry Burris pass to Kierrie Johnson for 36 yards to the Mtl1. Tackled by Marc-Olivier Brouillette.,7,4
14:16,1,Rush,1,Chevon Walker rush for 1 yard for a TOUCHDOWN.,13,4
14:05,0,Made Extra Point,0,Brett Maher extra point is good.,14,4
14:05,0,Kickoff,34,Brett Maher kicks off to the Mtl11. Larry Taylor return for 34 yards to Mtl45. Tackled by D.J. Harper.,14,4
13:55,1,Pass,2,Troy Smith pass to Kenny Stafford for 2 yards to the Mtl47. Tackled by Jerrell Gavins.,14,4
13:30,2,Pass,12,Troy Smith pass to Duron Carter for 12 yards to the Ott51. Tackled by Jeremiah Green.,14,4
12:49,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Chad Johnson.,14,4
12:30,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Kenny Stafford.,14,4
12:09,3,No Yards,19,Delbert Alvarado punts for 34 yards to Ott17. Penalty: No Yards on Montreal (Winston Venable) -15 yards.,14,4
11:49,1,Pass,7,Henry Burris pass to Dobson Collins for 7 yards to the Ott39. Tackled by Diamond Ferri.,14,4
