Time,Down,Type,Yards,Details,Saskatchewan,Ottawa
15:00,0,Kickoff,15,Chris Milo kicks off to the Ott12. Chevon Walker return for 15 yards to Ott27. Tackled by Paul Woldu.,0,0
14:55,1,Incomplete Pass,0,Henry Burris incomplete pass.,0,0
14:30,2,Rush,5,Chevon Walker rush for 5 yards to the Ott32. Tackled by Terrell Maze.,0,0
13:54,3,No Yards,46,Brett Maher punts for 51 yards to Ssk27. Penalty: No Yards on Ottawa -5 yards.,0,0
13:39,1,Pass,13,Darian Durant pass to Taj Smith for 13 yards to the Ssk45. Tackled by Jasper Simmons.,0,0
12:58,1,Rush,3,Will Ford rush for 3 yards to the Ssk48. Tackled by Keith Shologan.,0,0
12:29,2,Pass,8,Darian Durant pass to Chris Getzlaf for 8 yards to the Ott54. Tackled by T.J. Hill.,0,0
11:55,1,Pass,16,Darian Durant pass to Chris Getzlaf for 16 yards to the Ott38. Tackled by Brandyn Thompson.,0,0
11:10,1,Pass,13,Darian Durant pass to Rob Bagg for 13 yards to the Ott25. Tackled by Travis Brown.,0,0
10:36,1,Pass,25,Darian Durant pass to Brett Swain for 25 yards for a TOUCHDOWN.,6,0
10:27,0,Made Extra Point,0,Chris Milo extra point is good.,7,0
10:27,0,Holding,11,Chris Milo kicks off to the Ott9. Chevon Walker return for 21 yards to Ott30. Penalty: Holding on Ottawa (Patrick Lavoie) -10 yards.,7,0
10:20,1,Offside,-5,Penalty: Offside on Ottawa (Jamill Smith) -5 yards.,7,0
09:58,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Jamill Smith.,7,0
09:39,2,Unnecessary Roughness,19,Henry Burris pass intended for Matt Carter INTERCEPTED and returned for 4 yards. Tackled by Matt Carter. Penalty: Unnecessary Roughness on Ottawa (Jeraill McCuller) 15 yards.,7,0
09:11,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Will Ford.,7,0
08:56,2,Pass,7,Darian Durant pass to Chris Getzlaf for 7 yards to the Ott8. Tackled by Jerrell Gavins.,7,0
08:07,3,Missed Field Goal,15,Chris Milo 15 yard field goal attempt is GOOD.,10,0
08:07,1,Rush,4,Chevon Walker rush for 4 yards to the Ott39. Tackled by Weldon Brown.,10,0
07:37,2,Interception,1,Henry Burris pass intended for Marcus Henry INTERCEPTED and returned for 1 yard. Tackled by Marcus Henry.,10,0
07:12,1,Rush,8,Will Ford rush for 8 yards to the Ott37. Tackled by Jerrell Gavins.,10,0
06:53,2,Pass,14,Darian Durant pass to Will Ford for 14 yards to the Ott23. Tackled by T.J. Hill.,10,0
06:28,1,Pass,14,Darian Durant pass to Rob Bagg for 14 yards to the Ott9. Tackled by Seth Williams.,10,0
05:50,1,Pass,8,Darian Durant pass to Brett Swain for 8 yards to the Ott1. Tackled by Brandyn Thompson.,10,0
04:45,2,Rush,1,Will Ford rush for 1 yard for a TOUCHDOWN.,16,0
04:37,0,Made Extra Point,0,Chris Milo extra point is good.,17,0
04:37,0,Kickoff,24,Chris Milo kicks off to the Ott6. Chevon Walker return for 24 yards to Ott30. Tackled by Woodny Turenne.,17,0
04:29,1,Pass,13,Henry Burris pass to Wallace Miles for 13 yards to the Ott43. Tackled by Macho Harris.,17,0
04:08,1,Rush,2,Chevon Walker rush for 2 yards to the Ott45. Tackled by Derek Walker.,17,0
03:29,2,Pass,3,Henry Burris pass to Chevon Walker for 3 yards to the Ott48. Tackled by Tyron Brackenridge.,17,0
02:54,3,Punt,63,Brett Maher punts for 42 yards to Ssk20. Tristan Jackson return for 63 yards to Ott27. Tackled by Patrick Lavoie.,17,0
02:33,1,Pass,26,Darian Durant pass to Rob Bagg for 26 yards to the Ott1. Tackled by Seth Williams.,17,0
01:52,1,Rush,1,Will Ford rush for 1 yard for a TOUCHDOWN.,23,0
01:42,0,Made Extra Point,0,Chris Milo extra point is good.,24,0
01:42,0,Kickoff,19,Chris Milo kicks off to the Ott9. Chevon Walker return for 19 yards to Ott28. Tackled by Levi Steinhauer.,24,0
01:37,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Jamill Smith.,24,0
01:16,0,Illegal Contact,10,Penalty: Illegal Contact on Saskatchewan (Macho Harris) 10 yards.,24,0
00:53,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,24,0
00:32,2,Pass,48,Henry Burris pass to Chevon Walker for 48 yards to the Ssk24. Tackled by Macho Harris.,24,0
00:01,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,24,0
15:00,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Dobson Collins. Tackled by Tristan Jackson.,24,0
14:42,3,Missed Field Goal,24,24 yard field goal attempt by Brett Maher is NO GOOD.,24,0
14:22,1,Pass,9,Darian Durant pass to Brett Swain for 9 yards to the Ssk34. Tackled by Seth Williams.,24,0
13:57,2,Rush,2,Will Ford rush for 2 yards to the Ssk36. Tackled by Justin Capicciotti.,24,0
13:21,1,Pass,9,Darian Durant pass to Chris Getzlaf for 9 yards to the Ssk45. Tackled by Travis Brown.,24,0
13:01,2,Rush,6,Will Ford rush for 6 yards to the Ssk51. Tackled by Reggie Jones.,24,0
12:26,1,Rush,4,Will Ford rush for 4 yards to the Ssk55. Tackled by Justin Capicciotti.,24,0
11:43,2,Sack,-7,Sack at Ssk48 for a loss of 7 yards by Zack Evans.,24,0
11:15,3,Punt,4,Josh Bartel punts for 42 yards to Ott20. Tim Maypray return for 4 yards to Ott24. Tackled by Samuel Hurl.,24,0
10:53,3,Pass,0,Henry Burris pass to Chevon Walker for no gain to the Ott24. Tackled by Brian Peters.,24,0
10:22,0,Pass Interference,26,Penalty: Pass Interference on Saskatchewan (Rod Williams) 26 yards.,24,0
09:59,1,Rush,20,Chevon Walker rush for 20 yards to the Ssk40. Tackled by Brian Peters.,24,0
09:41,1,Rush,-2,Chevon Walker rush for a loss of 2 yards to the Ssk42. Tackled by John Chick.,24,0
09:00,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles.,24,0
08:35,3,Unnecessary Roughness,126,43 yard field goal attempt by Brett Maher is NO GOOD.  Missed field goal returned by Tristan Jackson for a TOUCHDOWN. Penalty: Unnecessary Roughness on Ottawa (Jeraill McCuller) 15 yards.,30,0
07:51,0,Made Extra Point,0,Chris Milo extra point is good.,31,0
07:49,0,Kick Off Single,68,Chris Milo kicks off to the Ott0 (Single).,32,0
07:49,1,Pass,4,Henry Burris pass to Matt Carter for 4 yards to the Ott39. Tackled by Brian Peters.,32,0
07:12,2,Rush,7,Chevon Walker rush for 7 yards to the Ott46. Tackled by Tearrius George.,32,0
06:27,1,Rush,7,Chevon Walker rush for 7 yards to the Ott53. Tackled by Ricky Foley.,32,0
05:55,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Dobson Collins defensed by Weldon Brown.,32,0
05:13,3,Punt - Team Recover Own Punt,73,Thomas DeMarco punts for 73 yards to Ssk0.  Dobson Collins recovered own teams punt for a TOUCHDOWN.,32,6
04:56,0,Made Extra Point,0,Brett Maher extra point is good.,32,7
04:56,0,Kickoff,21,Brett Maher kicks off to the Ssk8. Tristan Jackson return for 21 yards to Ssk29. Tackled by Andrew Marshall.,32,7
04:47,1,Pass,17,Darian Durant pass to Chris Getzlaf for 17 yards to the Ssk46. Tackled by Reggie Jones.,32,7
04:27,1,Rush,-2,Will Ford rush for a loss of 2 yards to the Ssk44. Tackled by Justin Capicciotti.,32,7
03:56,2,Pass,10,Darian Durant pass to Rob Bagg for 10 yards to the Ssk54. Tackled by Seth Williams.,32,7
03:03,3,Incomplete Pass,0,Darian Durant incomplete pass intended for Will Ford.,32,7
02:45,1,Pass,11,Henry Burris pass to Wallace Miles for 11 yards to the Ssk43. Tackled by Macho Harris.,32,7
02:29,1,Pass,4,Henry Burris pass to Dobson Collins for 4 yards to the Ssk39. Tackled by Tristan Jackson.,32,7
02:05,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter.,32,7
01:40,3,Missed Field Goal,0,9 yard field goal attempt by Brett Maher is NO GOOD.  Missed field goal returned by Terrell Maze to the Ssk30. Tackled by Jason Pottinger.,32,7
01:34,1,Pass,18,Darian Durant pass to Rob Bagg for 18 yards to the Ssk48. Tackled by Seth Williams.,32,7
01:26,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Brett Swain defensed by Brandyn Thompson.,32,7
01:20,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,32,7
01:15,3,Holding,55,Josh Bartel punts for 48 yards to Ott14. Penalty: Holding on Ottawa (James Green) 7 yards.,32,7
01:03,1,Pass,8,Henry Burris pass to Dobson Collins for 8 yards to the Ott15. Tackled by Weldon Brown.,32,7
00:59,2,Rush,4,Chevon Walker rush for 4 yards to the Ott19. Tackled by Samuel Hurl.,32,7
00:54,1,Incomplete Pass,0,Henry Burris incomplete pass.,32,7
00:43,2,Pass,8,Henry Burris pass to Wallace Miles for 8 yards to the Ott27. Tackled by Samuel Hurl.,32,7
00:36,3,Objectionable Conduct,0,"Brett Maher punts for 35 yards to Ssk48. Tristan Jackson return for no gain to Ssk48. FUMBLE, recovered by Ott (John Delahunt). Tackled by Tyron Brackenridge. Penalty: Objectionable Conduct on Ottawa (Jordan Verdone) -10 yards. Penalty: Objectionable Conduct on Saskatchewan (Brian Peters) 10 yards.",32,7
00:05,1,Pass,17,Henry Burris pass to Marcus Henry for 17 yards to the Ssk31. Tackled by Samuel Hurl.,32,7
