Time,Down,Type,Yards,Details,Ottawa,Calgary
15:00,0,Kickoff,21,Rene Paredes kicks off to the Ott13. D.J. Harper return for 21 yards to Ott34. Tackled by Adam Thibault.,0,0
14:56,1,Rush,2,Chevon Walker rush for 2 yards to the Ott36. Tackled by Corey Mace.,0,0
14:18,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Dobson Collins.,0,0
13:57,3,Punt,11,Brett Maher punts for 52 yards to Cgy22. Jock Sanders return for 11 yards to Cgy33. Tackled by Andrew Marshall.,0,0
13:34,1,Rush,7,Martell Mallett rush for 7 yards to the Cgy40. Tackled by Travis Brown.,0,0
12:55,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Martell Mallett.,0,0
12:33,3,Holding,50,Rob Maver punts for 40 yards to Ott30. Penalty: Holding on Ottawa (James Green) 10 yards.,0,0
12:13,1,Pass,12,Henry Burris pass to Wallace Miles for 12 yards to the Ott32. Tackled by Buddy Jackson.,0,0
11:47,1,Pass,3,Henry Burris pass to Marcus Henry for 3 yards to the Ott35. Tackled by Jamar Wall.,0,0
11:09,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles.,0,0
10:52,3,Punt,52,Brett Maher punts for 58 yards to Cgy17. Jock Sanders return for 52 yards to Ott41. Tackled by Jasper Simmons.,0,0
10:27,1,Pass,13,Bo Levi Mitchell pass to Marquay McDaniel for 13 yards to the Ott28. Tackled by Antoine Pruneau.,0,0
09:57,1,Pass,9,Bo Levi Mitchell pass to Jeff Fuller for 9 yards to the Ott19. Tackled by Reggie Jones.,0,0
09:17,2,Rush,3,Drew Tate rush for 3 yards to the Ott16. Tackled by Justin Capicciotti.,0,0
08:43,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jeff Fuller.,0,0
08:20,2,Pass,8,Bo Levi Mitchell pass to Anthony Parker for 8 yards to the Ott8. Tackled by Jasper Simmons.,0,0
07:07,3,Rush,8,Bo Levi Mitchell rush for 8 yards for a TOUCHDOWN.,0,6
06:55,0,Made Extra Point,0,Rene Paredes extra point is good.,0,7
06:55,0,Kickoff,15,Rene Paredes kicks off to the Ott4. D.J. Harper return for 15 yards to Ott19. Tackled by Simon Charbonneau-Campeau.,0,7
06:47,1,Rush,3,Chevon Walker rush for 3 yards to the Ott22. Tackled by Corey Mace.,0,7
05:55,2,Pass,6,Henry Burris pass to Marcus Henry for 6 yards to the Ott28. Tackled by Juwan Simpson.,0,7
05:42,3,Punt,10,Brett Maher punts for 50 yards to Cgy32. Jock Sanders return for 10 yards to Cgy42. Tackled by  .,0,7
05:26,0,Illegal Crackback,-15,Penalty: Illegal Crackback on Calgary (Marquay McDaniel) -15 yards.,0,7
05:08,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Joe West.,0,7
04:41,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker.,0,7
04:17,3,Objectionable Conduct,64,Rob Maver punts for 44 yards to Ott39. Penalty: Holding on Ottawa (Jeremiah Green) 10 yards. Penalty: Objectionable Conduct on Ottawa (Jeremiah Green) 10 yards.,0,7
03:53,0,Illegal Forward Pass,-10,Penalty: Illegal Forward Pass on Ottawa (Henry Burris) -10 yards.,0,7
03:27,1,Pass,7,Henry Burris pass to John Delahunt for 7 yards to the Ott16. Tackled by Brandon Smith.,0,7
03:03,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Ottawa (J'Micheal Deane) -5 yards.,0,7
02:43,2,Pass,8,Henry Burris pass to Chevon Walker for 8 yards to the Ott19. Tackled by Brandon Smith.,0,7
02:34,3,Punt,6,Brett Maher punts for 62 yards to Cgy29. Marquay McDaniel return for 6 yards to Cgy35. Tackled by Jordan Verdone.,0,7
02:14,1,Rush,8,Anthony Parker rush for 8 yards to the Cgy43. Tackled by Jerrell Gavins.,0,7
01:33,2,Rush,4,Martell Mallett rush for 4 yards to the Cgy47. Tackled by Eddie Elder.,0,7
00:50,1,Pass,-2,Bo Levi Mitchell pass to Marquay McDaniel for a loss of 2 yards to the Cgy45. Tackled by Jermaine Robinson.,0,7
00:34,2,Pass,5,Bo Levi Mitchell pass to Brad Sinopoli for 5 yards to the Cgy50. Tackled by Jermaine Robinson.,0,7
00:02,3,No Yards,26,Rob Maver punts for 41 yards to Ott19. Penalty: No Yards on Calgary (Keenan MacDougall) -15 yards.,0,7
00:01,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles.,0,7
15:00,2,Sack,-7,Sack at Ott27 for a loss of 7 yards by Lin-J Shell.,0,7
14:20,3,Illegal Punt,17,Brett Maher punts for 27 yards to Ott54. Penalty: Illegal Punt on Ottawa (Brett Maher) -10 yards.,0,7
14:12,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jabari Arthur defensed by Jermaine Robinson.,0,7
13:47,2,Pass,15,Bo Levi Mitchell pass to Jabari Arthur for 15 yards to the Ott29. Tackled by Antoine Pruneau.,0,7
13:09,1,Rush,12,Jock Sanders rush for 12 yards to the Ott17. Tackled by Jasper Simmons.,0,7
12:08,1,Pass,17,Bo Levi Mitchell pass to Jeff Fuller for 17 yards for a TOUCHDOWN.,0,13
12:00,0,Made Extra Point,0,Rene Paredes extra point is good.,0,14
12:00,0,Objectionable Conduct,18,Rene Paredes kicks off to the Ott6. Jamill Smith return for 28 yards to Ott34. Tackled by Karl McCartney. Penalty: Objectionable Conduct on Ottawa (Jamill Smith) -10 yards.,0,14
11:54,1,Pass,9,Henry Burris pass to Carlton Mitchell for 9 yards to the Ott33. Tackled by Brandon Smith.,0,14
11:14,2,Rush,1,Chevon Walker rush for 1 yard to the Ott34. Tackled by Jamar Wall.,0,14
10:36,1,Rush,9,Chevon Walker rush for 9 yards to the Ott43. Tackled by Micah Johnson.,0,14
09:45,2,Rush,2,Henry Burris rush for 2 yards to the Ott45. Tackled by Charleston Hughes.,0,14
09:08,1,Rush,6,Henry Burris rush for 6 yards to the Ott51. Tackled by Corey Mace.,0,14
08:35,2,Pass,9,Henry Burris pass to Marcus Henry for 9 yards to the Cgy50. Tackled by Deron Mayo.,0,14
07:55,1,Sack,-10,Sack at Ott50 for a loss of 10 yards by Freddie Bishop III.,0,14
07:22,2,Interception,8,Henry Burris pass intended for Dobson Collins INTERCEPTED and returned for 8 yards. Tackled by Wallace Miles.,0,14
06:58,1,Pass,6,Bo Levi Mitchell pass to Marquay McDaniel for 6 yards to the Ott54. Tackled by Antoine Pruneau.,0,14
06:30,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Spencer Wilson) -5 yards.,0,14
06:12,2,Pass,17,Bo Levi Mitchell pass to Marquay McDaniel for 17 yards to the Ott42. Tackled by Justin Capicciotti.,0,14
05:14,1,Pass,10,Bo Levi Mitchell pass to Anthony Parker for 10 yards to the Ott32. Tackled by Jason Pottinger.,0,14
05:07,1,Rush,-1,Jock Sanders rush for a loss of 1 yard to the Ott33. Tackled by Jonathan Williams.,0,14
04:31,2,Pass,16,Bo Levi Mitchell pass to Marquay McDaniel for 16 yards to the Ott17. Tackled by Travis Brown.,0,14
03:48,1,Rush,5,Martell Mallett rush for 5 yards to the Ott12. Tackled by Brandon Lang.,0,14
03:11,0,Holding,-10,Penalty: Holding on Calgary (Stanley Bryant) -10 yards.,0,14
02:30,2,Pass,22,Bo Levi Mitchell pass to Marquay McDaniel for 22 yards for a TOUCHDOWN.,0,20
02:30,0,Made Extra Point,0,Rene Paredes extra point is good.,0,21
02:30,0,Kickoff,25,Rene Paredes kicks off to the Ott2. Jamill Smith return for 25 yards to Ott27. Tackled by Karl McCartney.,0,21
02:22,1,Pass,4,Henry Burris pass to Dobson Collins for 4 yards to the Ott31.,0,21
02:15,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,0,21
02:12,3,Punt,4,Brett Maher punts for 43 yards to Cgy36. Jock Sanders return for 4 yards to Cgy40. Tackled by John Delahunt.,0,21
