Time,Down,Type,Yards,Details,Edmonton,Ottawa
15:00,0,Kickoff,23,Grant Shaw kicks off to the Ott17. Jamill Smith return for 23 yards to Ott40. Tackled by Calvin McCarty.,0,0
14:53,1,Rush,6,Chevon Walker rush for 6 yards to the Ott46. Tackled by Marcell Young.,0,0
14:31,2,Pass,7,Henry Burris pass to Marcus Henry for 7 yards to the Ott53. Tackled by Otha Foster.,0,0
13:50,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Chevon Walker.,0,0
13:34,2,Offside,5,Penalty: Offside on Edmonton (Odell Willis) 5 yards.,0,0
13:13,2,Pass,14,Henry Burris pass to Chevon Walker for 14 yards to the Edm38. Tackled by Rennie Curran.,0,0
12:32,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,0,0
12:16,2,Offside,5,Penalty: Offside on Edmonton (Willie Jefferson) 5 yards.,0,0
11:52,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Carlton Mitchell.,0,0
11:11,3,Field Goal Single,51,51 yard field goal attempt by Brett Maher is NO GOOD (Single).,0,1
11:11,1,Rush,6,Kendial Lawrence rush for 6 yards to the Edm41. Tackled by Brandon Lang.,0,1
10:44,2,Pass,18,Mike Reilly pass to Calvin McCarty for 18 yards to the Ott51. Tackled by Reggie Jones.,0,1
10:27,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Calvin McCarty.,0,1
10:05,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Kendial Lawrence.,0,1
09:43,3,Objectionable Conduct,39,Grant Shaw punts for 44 yards to Ott7. Penalty: No Yards on Edmonton (Aaron Grymes) -15 yards. Penalty: Objectionable Conduct on Ottawa (Jermaine Robinson) 10 yards.,0,1
09:25,1,Rush,6,Chevon Walker rush for 6 yards to the Ott18. Tackled by Dexter McCoil.,0,1
08:59,2,Pass,2,Henry Burris pass to Carlton Mitchell for 2 yards to the Ott20. Tackled by Rennie Curran.,0,1
08:24,3,Unnecessary Roughness,-20,Brett Maher punts for 39 yards to Edm51. Jamal Miles return for 5 yards to Ott54. Penalty: Illegal Block on Edmonton (Corbin Sharun) -10 yards. Penalty: Unnecessary Roughness on Edmonton (Akeem Foster) -15 yards.,0,1
08:04,1,Rush,3,Kendial Lawrence rush for 3 yards to the Edm34. Tackled by Reggie Jones.,0,1
07:34,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers defensed by Reggie Jones.,0,1
07:16,3,No Yards,25,Grant Shaw punts for 40 yards to Ott36. Penalty: No Yards on Edmonton (Aaron Grymes) -15 yards.,0,1
06:57,1,Rush,4,Chevon Walker rush for 4 yards to the Ott55. Tackled by Patrick Watkins.,0,1
06:08,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Carlton Mitchell.,0,1
05:55,3,Punt,0,Brett Maher punts for 45 yards to Edm10. No return.,0,1
05:42,1,Pass,13,Mike Reilly pass to Shamawd Chambers for 13 yards to the Edm23. Tackled by Jermaine Robinson.,0,1
05:14,1,Pass,-1,Mike Reilly pass to Kendial Lawrence for a loss of 1 yard to the Edm22. Tackled by Jasper Simmons.,0,1
04:42,2,Interception,17,Mike Reilly pass intended for Adarius Bowman INTERCEPTED and returned for 17 yards. Tackled by Shamawd Chambers.,0,1
04:07,1,Rush,6,Chevon Walker rush for 6 yards to the Edm16. Tackled by Willie Jefferson.,0,1
03:25,2,Pass,6,Henry Burris pass to Matt Carter for 6 yards to the Edm10. Tackled by Alonzo Lawrence.,0,1
02:54,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry defensed by Otha Foster.,0,1
02:30,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Onrea Jones.,0,1
01:49,3,Missed Field Goal,17,Brett Maher 17 yard field goal attempt is GOOD.,0,4
01:49,1,Rush,6,Pat White rush for 6 yards to the Edm41. Tackled by Travis Brown.,0,4
01:07,2,Rush,15,Kendial Lawrence rush for 15 yards to the Ott54. Tackled by Reggie Jones.,0,4
00:22,1,Rush,6,Kendial Lawrence rush for 6 yards to the Ott48. Tackled by Antoine Pruneau.,0,4
00:02,0,Illegal Contact,10,Penalty: Illegal Contact on Ottawa 10 yards.,0,4
00:01,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,4
15:00,2,Sack,-5,Sack at Ott43 for a loss of 5 yards by Brandon Lang.,0,4
14:18,3,Punt Single,0,Grant Shaw punts for 52 yards to Ott0. No return (Single).,1,4
14:18,1,Illegal Contact,65,"Henry Burris pass to Wallace Miles for 55 yards to the Edm20. FUMBLE, recovered by Ott (Wallace Miles). Penalty: Illegal Contact on Edmonton (Chris Rwabukamba) 10 yards.",1,4
13:53,1,Rush,0,Chevon Walker rush for no gain to the Edm20. Tackled by Dexter McCoil.,1,4
13:20,2,Pass,8,Henry Burris pass to Carlton Mitchell for 8 yards to the Edm12. Tackled by Aaron Grymes.,1,4
12:29,3,Missed Field Goal,20,Brett Maher 20 yard field goal attempt is GOOD.,1,7
12:29,1,Pass,5,Mike Reilly pass to Devon Bailey for 5 yards to the Edm40. Tackled by Antoine Pruneau.,1,7
11:56,2,Pass,25,Mike Reilly pass to Kendial Lawrence for 25 yards to the Ott45. Tackled by Eddie Elder.,1,7
11:30,1,Rush,1,Kendial Lawrence rush for 1 yard to the Ott44. Tackled by Justin Capicciotti.,1,7
10:53,2,Pass,16,Mike Reilly pass to Devon Bailey for 16 yards to the Ott28. Tackled by Eddie Elder.,1,7
10:10,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,1,7
09:51,2,Sack,-4,Sack at Ott32 for a loss of 4 yards by Connor Williams.,1,7
09:00,3,Missed Field Goal,39,Grant Shaw 39 yard field goal attempt is GOOD.,4,7
09:00,1,Pass,35,Henry Burris pass to Matt Carter for 35 yards to the Edm40.,4,7
08:47,1,Rush,3,Chevon Walker rush for 3 yards to the Edm37. Tackled by Cameron Sheffield.,4,7
08:09,0,Holding,-10,Penalty: Holding on Ottawa (Jeraill McCuller) -10 yards.,4,7
07:45,2,Rush,-7,Wallace Miles rush for a loss of 7 yards to the Edm54. Tackled by Gregory Alexandre.,4,7
06:56,3,Punt Single,0,Brett Maher punts for 60 yards to Edm0. No return (Single).,4,8
06:56,1,Rush,13,A.J. Guyton rush for 13 yards to the Edm48. Tackled by Jasper Simmons.,4,8
06:37,1,Rush,1,Kendial Lawrence rush for 1 yard to the Edm49. Tackled by Jasper Simmons.,4,8
06:10,2,Pass,5,Mike Reilly pass to Nate Coehoorn for 5 yards to the Edm54. Tackled by Antoine Pruneau.,4,8
05:38,3,Punt,6,Grant Shaw punts for 41 yards to Ott15. Jamill Smith return for 6 yards to Ott21. Tackled by Nathan Kanya.,4,8
05:08,1,Rush,1,Chevon Walker rush for 1 yard to the Ott22. Tackled by Almondo Sewell.,4,8
04:38,2,Pass,15,Henry Burris pass to Carlton Mitchell for 15 yards to the Ott37. Tackled by Odell Willis.,4,8
03:45,1,Rush,4,Chevon Walker rush for 4 yards to the Ott41. Tackled by Eddie Steele.,4,8
03:08,2,Pass,4,Henry Burris pass to Onrea Jones for 4 yards to the Ott45. Tackled by Dexter McCoil.,4,8
02:52,3,Illegal Block,-12,Brett Maher punts for 45 yards to Edm20. Jamal Miles return for a loss of 4 yards to Edm16. Penalty: Illegal Block on Edmonton (Almondo Sewell) -8 yards.,4,8
02:39,1,Rush,3,Kendial Lawrence rush for 3 yards to the Edm11. Tackled by Brandon Lang.,4,8
02:32,2,Incomplete Pass,0,Mike Reilly incomplete pass defensed by Zack Evans.,4,8
02:08,3,Punt,4,Grant Shaw punts for 51 yards to Ott48. Jamill Smith return for 4 yards to Ott52. Tackled by Deon Lacey.,4,8
01:58,1,Pass,-1,Henry Burris pass to Carlton Mitchell for a loss of 1 yard to the Ott51. Tackled by Eddie Steele.,4,8
01:52,2,Incomplete Pass,0,Henry Burris incomplete pass defensed by Rennie Curran.,4,8
01:30,3,Punt,4,Brett Maher punts for 46 yards to Edm13. Jamal Miles return for 4 yards to Edm17. Tackled by Jason Pottinger.,4,8
01:21,1,Pass,6,Mike Reilly pass to Kendial Lawrence for 6 yards to the Edm23. Tackled by Brandyn Thompson.,4,8
01:14,2,Pass,9,Mike Reilly pass to Shamawd Chambers for 9 yards to the Edm32. Tackled by Jerrell Gavins.,4,8
00:58,1,Rush,30,Mike Reilly rush for 30 yards to the Ott48.,4,8
00:38,1,Rush,5,Kendial Lawrence rush for 5 yards to the Ott43. Tackled by Brandyn Thompson.,4,8
00:32,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,4,8
00:12,3,Missed Field Goal,37,50 yard field goal attempt by Grant Shaw is NO GOOD.  Missed field goal returned by Jamill Smith to the Ott30. Tackled by Deon Lacey.,4,8
15:00,0,Kickoff,30,Brett Maher kicks off to the Edm9. Jamal Miles return for 30 yards to Edm39. Tackled by Brandon Lang.,4,8
14:52,1,Pass,3,Mike Reilly pass to A.J. Guyton for 3 yards to the Edm42. Tackled by Antoine Pruneau.,4,8
14:17,0,Roughing Passer,15,Penalty: Roughing Passer on Ottawa (Jonathan Williams) 15 yards.,4,8
13:55,1,Sack,-5,Sack at Edm52 for a loss of 5 yards by Antoine Pruneau.,4,8
13:10,2,Roughing Passer,21,Mike Reilly pass to Kendial Lawrence for 6 yards to the Ott52. Tackled by Justin Capicciotti. Penalty: Roughing Passer on Ottawa (Jonathan Williams) 15 yards.,4,8
12:44,1,Rush,7,Pat White rush for 7 yards to the Ott24. Tackled by Brandon Lang.,4,8
12:12,2,Offside,-5,Penalty: Offside on Edmonton (Adarius Bowman) -5 yards.,4,8
11:59,2,Pass,10,Mike Reilly pass to Nate Coehoorn for 10 yards to the Ott19. Tackled by Justin Capicciotti.,4,8
11:15,1,Pass,8,Mike Reilly pass to A.J. Guyton for 8 yards to the Ott11. Tackled by Antoine Pruneau.,4,8
10:59,2,Rush,9,Mike Reilly rush for 9 yards to the Ott2. Tackled by Antoine Pruneau.,4,8
10:12,1,Fumble,0,Recovered by Ott (Keith Shologan) FUMBLE,4,8
09:44,0,Objectionable Conduct,-25,Penalty: Unnecessary Roughness on Edmonton (Willie Jefferson) -15 yards. Penalty: Objectionable Conduct on Edmonton (Odell Willis) -10 yards.,4,8
09:20,1,Rush,12,Chevon Walker rush for 12 yards to the Ott39. Tackled by Marcell Young.,4,8
08:39,1,Pass,15,Henry Burris pass to Marcus Henry for 15 yards to the Ott54. Tackled by Otha Foster.,4,8
07:56,1,Sack,-8,Sack at Ott46 for a loss of 8 yards by Otha Foster.,4,8
07:07,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Ottawa (Jeraill McCuller) -5 yards.,4,8
06:59,2,Pass,13,Henry Burris pass to Chevon Walker for 13 yards to the Ott54. Tackled by Patrick Watkins.,4,8
06:35,3,Punt,39,Brett Maher punts for 50 yards to Edm6. Jamal Miles return for 39 yards to Edm45. Tackled by Brett Maher.,4,8
06:19,1,Unnecessary Roughness,25,Mike Reilly pass to A.J. Guyton for 10 yards to the Edm55. Tackled by Reggie Jones. Penalty: Unnecessary Roughness on Ottawa (Jasper Simmons) 15 yards.,4,8
06:06,1,Pass,5,Mike Reilly pass to Calvin McCarty for 5 yards to the Ott35. Tackled by Antoine Pruneau.,4,8
05:25,2,Rush,9,Mike Reilly rush for 9 yards to the Ott26.,4,8
04:56,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Akeem Foster.,4,8
04:34,2,Pass,6,Mike Reilly pass to Devon Bailey for 6 yards to the Ott20. Tackled by Justin Capicciotti.,4,8
03:35,3,Missed Field Goal,28,Grant Shaw 28 yard field goal attempt is GOOD.,7,8
03:35,1,Rush,6,Chevon Walker rush for 6 yards to the Ott41. Tackled by Rennie Curran.,7,8
03:02,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter.,7,8
02:41,3,Punt,8,Brett Maher punts for 45 yards to Edm24. Jamal Miles return for 8 yards to Edm32. Tackled by  .,7,8
02:24,1,Rush,4,Tyler Thomas rush for 4 yards to the Edm36. Tackled by Jasper Simmons.,7,8
01:56,2,Pass,9,Mike Reilly pass to Adarius Bowman for 9 yards to the Edm45. Tackled by Jasper Simmons.,7,8
01:19,1,Rush,7,Tyler Thomas rush for 7 yards to the Edm52. Tackled by Jerrell Gavins.,7,8
00:41,2,Pass,9,Mike Reilly pass to Nate Coehoorn for 9 yards to the Ott49. Tackled by Jermaine Robinson.,7,8
00:02,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Matthew O'Donnell) -5 yards.,7,8
00:01,1,Fumble,3,"Tyler Thomas rush for 3 yards to the Ott51. FUMBLE, recovered by Ott (Jonathan Williams). Tackled by D'Anthony Batiste.",7,8
15:00,1,Rush,7,Chevon Walker rush for 7 yards to the Edm52. Tackled by Dexter McCoil.,7,8
14:25,2,Rush,-1,Chevon Walker rush for a loss of 1 yard to the Edm53. Tackled by Odell Willis.,7,8
13:58,3,Punt,4,Brett Maher punts for 38 yards to Edm15. Kendial Lawrence return for 4 yards to Edm19. Tackled by Jasper Simmons.,7,8
13:30,1,Pass,3,Mike Reilly pass to Nate Coehoorn for 3 yards to the Edm22. Tackled by Antoine Pruneau.,7,8
13:05,2,Pass,21,Mike Reilly pass to Adarius Bowman for 21 yards to the Edm43. Tackled by Jasper Simmons.,7,8
12:39,1,Pass,14,Mike Reilly pass to Nate Coehoorn for 14 yards to the Ott53. Tackled by Brandyn Thompson.,7,8
12:01,1,Pass,16,Mike Reilly pass to Adarius Bowman for 16 yards to the Ott37. Tackled by Reggie Jones.,7,8
11:26,1,Rush,6,Mike Reilly rush for 6 yards to the Ott31. Tackled by Jasper Simmons.,7,8
10:43,2,Rush,10,Mike Reilly rush for 10 yards to the Ott21. Tackled by Brandon Lang.,7,8
09:57,1,Rush,0,Mike Reilly rush for no gain to the Ott21. Tackled by Reggie Jones.,7,8
09:16,2,Rush,9,Kendial Lawrence rush for 9 yards to the Ott12. Tackled by Jasper Simmons.,7,8
08:32,3,Rush,1,Pat White rush for 1 yard to the Ott11. Tackled by Antoine Pruneau.,7,8
07:51,1,Pass,8,Henry Burris pass to Matt Carter for 8 yards to the Ott19. Tackled by Rennie Curran.,7,8
07:12,2,Rush,5,Chevon Walker rush for 5 yards to the Ott24. Tackled by Rennie Curran.,7,8
06:46,1,Rush,-1,Chevon Walker rush for a loss of 1 yard to the Ott23. Tackled by Cameron Sheffield.,7,8
06:03,0,Unnecessary Roughness,15,Penalty: Unnecessary Roughness on Edmonton (Alonzo Lawrence) 15 yards.,7,8
05:35,1,Pass,0,Henry Burris pass to Carlton Mitchell for no gain to the Ott38. Tackled by Alonzo Lawrence.,7,8
04:53,2,Pass,12,Henry Burris pass to Matt Carter for 12 yards to the Ott50.,7,8
04:30,1,Pass,16,Henry Burris pass to Marcus Henry for 16 yards to the Edm44. Tackled by Otha Foster.,7,8
03:45,1,Fumble,37,"Henry Burris pass to Matt Carter for 36 yards to the Edm8. FUMBLE, recovered by Edm (Deon Lacey) and returned for 1 yard. Tackled by Matt Carter.",7,8
03:22,1,Pass,23,Mike Reilly pass to Adarius Bowman for 23 yards to the Edm32. Tackled by Reggie Jones.,7,8
03:00,1,Pass,10,Mike Reilly pass to Adarius Bowman for 10 yards to the Edm42. Tackled by Reggie Jones.,7,8
02:37,1,Rush,13,Mike Reilly rush for 13 yards to the Edm55. Tackled by Keith Shologan.,7,8
02:26,1,Rush,1,Mike Reilly rush for 1 yard to the Ott54. Tackled by Brandon Lang.,7,8
01:59,2,Pass,13,Mike Reilly pass to Adarius Bowman for 13 yards to the Ott41. Tackled by Reggie Jones.,7,8
01:33,1,Pass,9,Mike Reilly pass to Kendial Lawrence for 9 yards to the Ott32. Tackled by Jermaine Robinson.,7,8
01:07,2,Rush,6,Pat White rush for 6 yards to the Ott26. Tackled by Reggie Jones.,7,8
01:03,1,Rush,2,Kendial Lawrence rush for 2 yards to the Ott24. Tackled by Keith Shologan.,7,8
00:41,2,Rush,5,Kendial Lawrence rush for 5 yards to the Ott19. Tackled by Brandyn Thompson.,7,8
00:20,3,Missed Field Goal,27,Grant Shaw 27 yard field goal attempt is GOOD.,10,8
00:20,1,Pass,10,Henry Burris pass to Onrea Jones for 10 yards to the Ott45. Tackled by Odell Willis.,10,8
00:14,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Chevon Walker.,10,8
00:04,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Carlton Mitchell defensed by Patrick Watkins.,10,8
