Time,Down,Type,Yards,Details,Calgary,Ottawa
15:00,0,Kickoff,18,Brett Maher kicks off to the Cgy8. Hugh Charles return for 18 yards to Cgy26. Tackled by John Delahunt.,0,0
14:50,1,Rush,4,Jon Cornish rush for 4 yards to the Cgy30. Tackled by Keith Shologan.,0,0
14:26,2,Pass,18,Bo Levi Mitchell pass to Simon Charbonneau-Campeau for 18 yards to the Cgy48. Tackled by Brandyn Thompson.,0,0
13:26,1,Interception,35,Bo Levi Mitchell pass intended for Simon Charbonneau-Campeau INTERCEPTED and returned for 35 yards for a TOUCHDOWN.,0,6
13:09,0,Made Extra Point,0,Brett Maher extra point is good.,0,7
13:09,0,Kickoff,21,Brett Maher kicks off to the Cgy8. Hugh Charles return for 21 yards to Cgy29. Tackled by Travis Brown.,0,7
13:03,1,Rush,4,Jon Cornish rush for 4 yards to the Cgy33. Tackled by Zack Evans.,0,7
12:35,2,Pass,12,Bo Levi Mitchell pass to Joe West for 12 yards to the Cgy45. Tackled by Antoine Pruneau.,0,7
12:03,1,Sack,-2,Sack at Cgy43 for a loss of 2 yards by Justin Capicciotti.,0,7
11:21,2,Pass,9,Bo Levi Mitchell pass to Marquay McDaniel for 9 yards to the Cgy52. Tackled by  .,0,7
10:25,3,Punt,5,Rob Maver punts for 40 yards to Ott18. Jamill Smith return for 5 yards to Ott23. Tackled by Karl McCartney.,0,7
10:10,1,Pass,12,Henry Burris pass to Marcus Henry for 12 yards to the Ott35. Tackled by Keon Raymond.,0,7
09:53,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter.,0,7
09:14,0,Holding,-10,Penalty: Holding on Ottawa (J'Micheal Deane) -10 yards.,0,7
08:47,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles.,0,7
08:25,3,No Yards,27,Brett Maher punts for 42 yards to Cgy43. Penalty: No Yards on Ottawa ( ) -15 yards.,0,7
08:05,1,Rush,2,Jon Cornish rush for 2 yards to the Ott50. Tackled by Justin Capicciotti.,0,7
07:47,2,Pass,11,Bo Levi Mitchell pass to Marquay McDaniel for 11 yards to the Ott39. Tackled by Jasper Simmons.,0,7
07:09,1,Rush,8,Hugh Charles rush for 8 yards to the Ott31. Tackled by Antoine Pruneau.,0,7
06:35,2,Rush,4,Jon Cornish rush for 4 yards to the Ott27. Tackled by Brandon Lang.,0,7
06:09,0,Illegal Block,-10,Penalty: Illegal Block on Calgary (Joe West) -10 yards.,0,7
05:29,1,Rush,10,Bo Levi Mitchell rush for 10 yards to the Ott27. Tackled by Jerrell Gavins.,0,7
05:04,2,Rush,12,Bo Levi Mitchell rush for 12 yards to the Ott15. Tackled by Eddie Elder.,0,7
04:33,1,Rush,1,Jon Cornish rush for 1 yard to the Ott14. Tackled by Connor Williams.,0,7
04:08,2,Pass,7,Bo Levi Mitchell pass to Jon Cornish for 7 yards to the Ott7. Tackled by Jasper Simmons.,0,7
03:05,3,Rush,7,Drew Tate rush for 7 yards for a TOUCHDOWN.,6,7
02:48,0,Made Extra Point,0,Rene Paredes extra point is good.,7,7
02:48,0,Objectionable Conduct,-4,Rene Paredes kicks off to the Ott11. Chevon Walker return for 3 yards to Ott14. Tackled by Josh Bell. Penalty: Objectionable Conduct on Ottawa (Chevon Walker) -7 yards.,7,7
02:42,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles.,7,7
02:23,2,Pass,8,Henry Burris pass to Dobson Collins for 8 yards to the Ott15. Tackled by Jamar Wall.,7,7
01:56,3,Punt,10,Brett Maher punts for 45 yards to Cgy50. Sederrik Cunningham return for 10 yards to Ott50. Tackled by John Delahunt.,7,7
01:19,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Sederrik Cunningham defensed by Jerrell Gavins.,7,7
00:56,2,Pass,10,Bo Levi Mitchell pass to   for 10 yards to the Ott40. Tackled by Brandyn Thompson.,7,7
00:19,1,Rush,3,Jon Cornish rush for 3 yards to the Ott37. Tackled by  .,7,7
15:00,2,Pass,13,Bo Levi Mitchell pass to Sederrik Cunningham for 13 yards to the Ott24. Tackled by Jermaine Robinson.,7,7
14:32,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Sederrik Cunningham.,7,7
14:01,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel defensed by Antoine Pruneau.,7,7
13:18,3,Field Goal Single,44,44 yard field goal attempt by Rene Paredes is NO GOOD (Single).,8,7
13:18,1,Rush,0,Chevon Walker rush for no gain to the Ott35. Tackled by Fred Bennett.,8,7
13:02,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Dobson Collins.,8,7
12:24,3,Illegal Block,66,Brett Maher punts for 57 yards to Cgy18. Penalty: Illegal Block on Calgary (Keon Raymond) 9 yards.,8,7
12:03,1,Rush,4,Jon Cornish rush for 4 yards to the Cgy13. Tackled by Connor Williams.,8,7
11:40,2,Pass,8,Bo Levi Mitchell pass to Joe West for 8 yards to the Cgy21. Tackled by  .,8,7
11:08,0,Illegal Contact,10,Penalty: Illegal Contact on Ottawa (Jermaine Robinson) 10 yards.,8,7
10:32,1,Rush,5,Jon Cornish rush for 5 yards to the Cgy36. Tackled by Connor Williams.,8,7
10:05,2,Pass,3,Bo Levi Mitchell pass to Jon Cornish for 3 yards to the Cgy39. Tackled by Jasper Simmons.,8,7
09:26,3,Punt,11,Rob Maver punts for 51 yards to Ott20. Jamill Smith return for 11 yards to Ott31. Tackled by Junior Turner.,8,7
08:51,1,Rush,13,Henry Burris rush for 13 yards to the Ott44. Tackled by Josh Bell.,8,7
08:32,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles.,8,7
07:59,2,Pass,11,Henry Burris pass to Khalil Paden for 11 yards to the Ott55. Tackled by Jamar Wall.,8,7
07:31,1,Rush,5,Chevon Walker rush for 5 yards to the Cgy50. Tackled by Brandon Smith.,8,7
06:52,2,Rush,10,Chevon Walker rush for 10 yards to the Cgy40. Tackled by Josh Bell.,8,7
06:11,1,Rush,-4,Chevon Walker rush for a loss of 4 yards to the Cgy44. Tackled by  .,8,7
05:28,2,Sack,-16,Sack at Ott50 for a loss of 16 yards by  .,8,7
04:47,3,Illegal Block,-7,Brett Maher punts for 44 yards to Cgy16. Sederrik Cunningham return for 2 yards to Cgy18. Penalty: Illegal Block on Calgary (Spencer Wilson) -9 yards.,8,7
