Time,Down,Type,Yards,Details,Montreal,Ottawa
15:00,0,Kickoff OOB,30,Montreal kicks off. Penalty: Kickoff OOB on Montreal -43 yards.,0,0
14:43,2,Incomplete Pass,0,incomplete pass.,0,0
14:10,3,Punt,12,punts for 50 yards to Mtl10.   return for 12 yards to Mtl22.,0,0
13:52,1,Pass,6,pass to the Mtl28.,0,0
12:53,1,Incomplete Pass,0,incomplete pass.,0,0
12:28,2,Incomplete Pass,0,incomplete pass.,0,0
12:06,3,Punt,7,punts for 55 yards to Ott18.   return for 7 yards to Ott25.,0,0
11:38,1,Pass,8,pass to the Ott33.,0,0
10:10,2,Pass,5,pass to the Ott47.,0,0
09:37,3,Illegal Block,-5,punts for 51 yards to Mtl12.   return for 2 yards to Mtl14. Penalty: Illegal Block on Montreal -7 yards.,0,0
08:25,2,Pass,16,pass to the Mtl27.,0,0
07:21,2,Pass,13,pass to the Mtl38.,0,0
06:59,1,Interception,14,pass INTERCEPTED and returned for 14 yards.,0,0
06:21,0,Illegal Contact,10,Penalty: Illegal Contact on Montreal 10 yards.,0,0
06:04,1,Pass,9,pass to the Mtl17.,0,0
03:32,0,Face Mask,1,Penalty: Face Mask on Montreal 1 yards.,0,0
01:42,0,Offside,-15,Penalty: Unnecessary Roughness on Ottawa -15 yards. Penalty: Offside on Montreal 0 yards.,0,0
00:53,1,Pass,9,pass to the Mtl7.,0,0
00:40,2,Incomplete Pass,0,incomplete pass.,0,0
14:47,2,Objectionable Conduct,-6,pass to the Mtl22. Penalty: Holding on Montreal -10 yards. Penalty: Objectionable Conduct on Montreal -6 yards.,0,0
13:43,2,Interception,0,pass INTERCEPTED. No return.,0,0
13:09,1,Pass,11,pass to the Mtl30.,0,0
12:18,2,Roughing Passer,17,pass to the Mtl23. Penalty: Roughing Passer on Montreal 12 yards.,0,0
11:02,1,Lateral,16,"Sack at Mtl25 for a loss of 14 yards. FUMBLE, recovered by Mtl ( ) and returned for 30 yards. Lateral for a TOUCHDOWN.",6,0
10:53,0,Made Extra Point,0,extra point is good.,7,0
10:53,0,Kickoff,21,Montreal kicks off.   return for 21 yards to Ott34.,7,0
10:47,1,Pass,10,pass to the Ott44.,7,0
10:00,2,Pass,7,pass to the Mtl54.,7,0
09:19,1,Incomplete Pass,0,incomplete pass.,7,0
08:43,0,Holding,-10,Penalty: Holding on Ottawa -10 yards.,7,0
08:13,2,Incomplete Pass,0,incomplete pass.,7,0
07:47,3,Punt,8,punts for 49 yards to Mtl15.   return for 8 yards to Mtl23.,7,0
07:29,0,Pass Interference,43,Penalty: Pass Interference on Ottawa 43 yards.,7,0
07:17,1,Pass,13,pass to the Ott31.,7,0
06:13,1,Incomplete Pass,0,incomplete pass.,7,0
05:35,2,Incomplete Pass,0,incomplete pass.,7,0
05:03,3,Missed Field Goal,14,14 yard field goal attempt is GOOD.,10,0
05:03,0,Kickoff,20,Montreal kicks off.   return for 20 yards to Ott29.,10,0
04:56,1,Pass,11,pass to the Ott40.,10,0
03:51,2,Pass,9,pass to the Ott51.,10,0
03:00,1,Pass,15,pass to the Mtl44.,10,0
02:34,1,Pass,9,pass to the Mtl35.,10,0
02:03,1,Pass,-1,pass to the Mtl34.,10,0
