Time,Down,Type,Yards,Details,Winnipeg,Ottawa
15:00,0,Kickoff,19,Brett Maher kicks off to the Wpg6. Sam McGuffie return for 19 yards to Wpg25. Tackled by James Green.,0,0
14:54,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Aaron Kelly.,0,0
14:03,2,Interception,37,Drew Willy pass intended for Aaron Kelly INTERCEPTED and returned for 37 yards for a TOUCHDOWN.,0,6
13:46,0,Made Extra Point,0,Brett Maher extra point is good.,0,7
13:46,0,Kickoff,12,Brett Maher kicks off to the Wpg19. Sam McGuffie return for 12 yards to Wpg31. Tackled by James Green.,0,7
13:41,1,Rush,7,Nic Grigsby rush for 7 yards to the Wpg38. Tackled by Jerrell Gavins.,0,7
13:10,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Aaron Kelly.,0,7
12:48,3,Punt,0,Lirim Hajrullahu punts for 31 yards to Ott41. No return.,0,7
12:36,1,Pass,11,Henry Burris pass to Marcus Henry for 11 yards to the Ott52. Tackled by Desia Dunn.,0,7
11:57,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry defensed by Maurice Leggett.,0,7
11:44,2,Pass,12,Henry Burris pass to Dobson Collins for 12 yards to the Wpg46. Tackled by Demond Washington.,0,7
11:28,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles.,0,7
11:00,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Ottawa (J'Micheal Deane) -5 yards.,0,7
10:55,2,Offside,5,Penalty: Offside on Winnipeg (Ejiro Kuale) 5 yards.,0,7
10:30,2,Pass,2,Henry Burris pass to Matt Carter for 2 yards to the Wpg44. Tackled by Teague Sherman.,0,7
09:24,3,Missed Field Goal,114,48 yard field goal attempt by Brett Maher is NO GOOD.  Missed field goal returned by Maurice Leggett for a TOUCHDOWN.,6,7
09:06,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,7,7
09:06,0,Kickoff,24,Lirim Hajrullahu kicks off to the Ott3. Jamill Smith return for 24 yards to Ott27. Tackled by Louie Richardson.,7,7
08:59,1,Rush,3,Jonathan Williams rush for 3 yards to the Ott30. Tackled by Greg Peach.,7,7
08:21,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter.,7,7
08:03,3,Holding,62,Brett Maher punts for 52 yards to Wpg28. Penalty: Holding on Winnipeg (Kyle Norris) 10 yards.,7,7
07:42,1,Rush,-6,Nic Grigsby rush for a loss of 6 yards to the Wpg12. Tackled by Jovon Johnson.,7,7
07:05,2,Pass,18,Drew Willy pass to Rory Kohlert for 18 yards to the Wpg30. Tackled by Abdul Kanneh.,7,7
06:15,1,Rush,7,Nic Grigsby rush for 7 yards to the Wpg37. Tackled by Travis Brown.,7,7
05:40,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Cory Watson defensed by Antoine Pruneau.,7,7
05:26,3,Punt,2,Lirim Hajrullahu punts for 48 yards to Ott25. Jamill Smith return for 2 yards to Ott27. Tackled by Don Unamba.,7,7
05:04,1,Rush,4,Jonathan Williams rush for 4 yards to the Ott31. Tackled by Greg Peach.,7,7
04:30,2,Unnecessary Roughness,15,Henry Burris pass intended for Marcus Henry INTERCEPTED and returned for 30 yards. Tackled by Jamill Smith. Penalty: Unnecessary Roughness on Winnipeg (Greg Hickman) -15 yards.,7,7
04:02,1,Rush,0,Nic Grigsby rush for no gain to the Ott46. Tackled by Jerrell Gavins.,7,7
03:40,2,Pass,21,Drew Willy pass to Clarence Denmark for 21 yards to the Ott25. Tackled by Jovon Johnson.,7,7
02:54,1,Rush,5,Nic Grigsby rush for 5 yards to the Ott20. Tackled by Jonathan Williams.,7,7
02:19,2,Pass,13,Drew Willy pass to Aaron Kelly for 13 yards to the Ott7. Tackled by Jerrell Gavins.,7,7
01:37,1,Rush,4,Nic Grigsby rush for 4 yards to the Ott3. Tackled by Brandyn Thompson.,7,7
00:57,2,Pass,1,Drew Willy pass to Nic Grigsby for 1 yard to the Ott2. Tackled by Justin Capicciotti.,7,7
00:01,3,Missed Field Goal,9,Lirim Hajrullahu 9 yard field goal attempt is GOOD.,10,7
00:01,1,Rush,11,Jonathan Williams rush for 11 yards to the Ott46. Tackled by Chris Randle.,10,7
15:00,1,Pass,8,Henry Burris pass to Marcus Henry for 8 yards to the Ott54. Tackled by Ejiro Kuale.,10,7
14:26,2,Sack,-4,Sack at Ott50 for a loss of 4 yards by Desia Dunn.,10,7
13:56,3,Unnecessary Roughness,57,Brett Maher punts for 50 yards to Wpg10. Penalty: Holding on Winnipeg (Marvin Booker) 5 yards. Penalty: Unnecessary Roughness on Winnipeg (Ejiro Kuale) 2 yards.,10,7
13:45,1,Rush,3,Nic Grigsby rush for 3 yards to the Wpg6. Tackled by Jasper Simmons.,10,7
13:08,2,Pass,19,Drew Willy pass to Clarence Denmark for 19 yards to the Wpg25. Tackled by Jerrell Gavins.,10,7
12:27,1,Pass,7,Drew Willy pass to Aaron Kelly for 7 yards to the Wpg32. Tackled by Brandyn Thompson.,10,7
11:53,2,Sack,-1,Sack at Wpg31 for a loss of 1 yard by Justin Capicciotti.,10,7
11:52,3,Punt,14,Lirim Hajrullahu punts for 53 yards to Ott26. Jamill Smith return for 14 yards to Ott40. Tackled by Michel-Pierre Pontbriand.,10,7
11:04,1,Pass,11,Henry Burris pass to Marcus Henry for 11 yards to the Ott51. Tackled by Teague Sherman.,10,7
10:29,1,Pass,6,Henry Burris pass to Marcus Henry for 6 yards to the Wpg53. Tackled by Maurice Leggett.,10,7
09:20,2,Rush,53,Jonathan Williams rush for 53 yards for a TOUCHDOWN.,10,13
09:06,0,Made Extra Point,0,Brett Maher extra point is good.,10,14
09:06,0,Kickoff,62,Brett Maher kicks off to the Wpg5. Demond Washington return for 62 yards to Ott43. Tackled by Eddie Elder.,10,14
