Time,Down,Type,Yards,Details,Ottawa,BC
15:00,0,Holding,12,BC kicks off.   return for 22 yards to Ott30. Penalty: Holding on Ottawa -10 yards.,0,0
14:12,2,Pass,29,pass to the Ott53.,0,0
12:45,2,Incomplete Pass,0,incomplete pass.,0,0
12:30,3,Punt,8,punts for 38 yards to BC18.   return for 8 yards to BC26.,0,0
12:11,1,Pass,40,pass to the Ott44.,0,0
11:42,1,Pass,10,pass to the Ott34.,0,0
11:04,2,Pass,1,pass to the Ott33.,0,0
10:24,1,Incomplete Pass,0,incomplete pass.,0,0
09:59,2,Pass,11,pass to the Ott22.,0,0
09:40,1,Incomplete Pass,0,incomplete pass.,0,0
09:19,2,Incomplete Pass,0,incomplete pass.,0,0
08:46,3,Missed Field Goal,30,30 yard field goal attempt is GOOD.,0,3
08:46,0,Kickoff,25,BC kicks off.   return for 25 yards to Ott35.,0,3
08:38,1,Pass,8,pass to the Ott43.,0,3
07:17,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Ottawa -5 yards.,0,3
07:01,1,Pass,6,pass to the Ott48.,0,3
06:37,2,Pass,18,pass to the BC44.,0,3
05:54,1,Incomplete Pass,0,incomplete pass.,0,3
05:30,2,Incomplete Pass,0,incomplete pass.,0,3
05:05,3,Punt,7,punts for 35 yards to BC9.   return for 7 yards to BC16.,0,3
04:45,1,Pass,15,pass to the BC31.,0,3
03:49,2,Incomplete Pass,0,incomplete pass.,0,3
03:27,3,Punt,10,punts for 50 yards to Ott23.   return for 10 yards to Ott33.,0,3
02:35,1,Pass,18,pass to the BC42.,0,3
01:09,0,Holding,-10,Penalty: Holding on Ottawa -10 yards.,0,3
00:45,2,Incomplete Pass,0,incomplete pass.,0,3
00:20,0,Too Many Men on Field,10,Penalty: Too Many Men on Field on BC 10 yards.,0,3
00:06,3,Punt,0,punts for 21 yards to BC20. No return.,0,3
15:00,1,Pass,12,pass to the BC32.,0,3
13:59,0,Holding,-10,Penalty: Holding on BC -10 yards.,0,3
13:40,2,Incomplete Pass,0,incomplete pass.,0,3
13:21,3,Punt,4,punts for 38 yards to Ott46.   return for 4 yards to Ott50.,0,3
11:49,1,Incomplete Pass,0,incomplete pass.,0,3
11:29,2,Sack,-5,Sack at BC53 for a loss of 5 yards.,0,3
10:54,3,Punt,0,punts for 33 yards to BC20. No return.,0,3
10:24,0,Pass Interference,13,Penalty: Pass Interference on Ottawa 13 yards.,0,3
10:00,2,Pass,17,pass to the Ott52.,0,3
08:08,2,Pass,8,pass to the Ott15.,0,3
07:27,0,Pass Interference,14,Penalty: Pass Interference on Ottawa 14 yards.,0,3
06:53,1,,1,for a TOUCHDOWN,0,9
06:42,0,Made Extra Point,0,extra point is good.,0,10
06:42,0,Kickoff,19,BC kicks off.   return for 19 yards to Ott39.,0,10
05:44,1,Pass,27,pass to the BC33.,0,10
04:23,2,Incomplete Pass,0,incomplete pass.,0,10
03:47,3,Missed Field Goal,34,34 yard field goal attempt is GOOD.,3,10
03:47,0,Illegal Substitution,-10,Penalty: Illegal Substitution on BC -10 yards.,3,10
03:22,1,Pass,25,pass to the BC50.,3,10
02:49,1,Incomplete Pass,0,incomplete pass.,3,10
02:30,2,Pass,60,pass for a TOUCHDOWN.,3,16
02:30,0,Made Extra Point,0,extra point is good.,3,17
02:30,0,Kickoff,13,BC kicks off.   return for 13 yards to Ott26.,3,17
02:20,2,Incomplete Pass,0,incomplete pass.,3,17
01:56,3,Holding,-6,punts for 42 yards to BC39.   return for 4 yards to BC43. Penalty: Holding on BC -10 yards.,3,17
01:46,1,Pass,14,pass to the BC47.,3,17
01:21,2,Pass,8,pass to the Ott50.,3,17
01:00,1,Incomplete Pass,0,incomplete pass.,3,17
00:44,2,Incomplete Pass,0,incomplete pass.,3,17
00:39,3,Illegal Block,43,punts for 36 yards to Ott14. Penalty: Illegal Block on Ottawa 7 yards.,3,17
15:00,0,Kickoff,19,Ottawa kicks off.   return for 19 yards to BC25.,3,17
14:53,1,Pass,10,pass to the BC35.,3,17
14:24,1,Pass,12,pass to the BC47.,3,17
13:56,1,Pass,6,pass to the BC53.,3,17
13:23,2,Pass,5,pass to the Ott52.,3,17
12:46,1,Pass,33,pass to the Ott19.,3,17
12:02,1,Pass,7,pass to the Ott12.,3,17
09:48,1,Pass,9,pass for a TOUCHDOWN.,3,23
09:37,0,Made Extra Point,0,extra point is good.,3,24
09:37,0,Kickoff,12,BC kicks off.   return for 12 yards to Ott44.,3,24
09:32,1,Incomplete Pass,0,incomplete pass.,3,24
09:10,2,Pass,6,pass to the Ott50.,3,24
08:35,3,No Yards,21,punts for 36 yards to BC24. Penalty: No Yards on Ottawa -15 yards.,3,24
08:16,1,Pass,6,pass to the BC45.,3,24
07:15,1,Pass,40,pass to the Ott21.,3,24
05:45,2,Incomplete Pass,0,incomplete pass.,3,24
05:10,3,Missed Field Goal,30,30 yard field goal attempt is GOOD.,3,27
05:10,0,Kickoff,20,BC kicks off.   return for 20 yards to Ott28.,3,27
05:02,1,Pass,5,pass to the Ott33.,3,27
04:17,2,Pass,5,pass to the Ott38.,3,27
02:52,1,Pass,5,pass to the Ott44.,3,27
02:10,2,Pass,14,pass to the BC52.,3,27
01:36,1,Incomplete Pass,0,incomplete pass.,3,27
01:21,2,Pass,2,pass to the BC50.,3,27
00:43,3,Punt,6,punts for 42 yards to BC8.   return for 6 yards to BC14.,3,27
00:01,2,Pass,15,pass to the BC36.,3,27
14:30,2,Incomplete Pass,0,incomplete pass.,3,27
14:09,0,Running into Kicker,10,Penalty: Running into Kicker on Ottawa 10 yards.,3,27
12:22,2,Pass,3,pass for a TOUCHDOWN.,3,33
12:06,0,Made Extra Point,0,extra point is good.,3,34
12:06,0,Kickoff,27,BC kicks off.   return for 27 yards to Ott37.,3,34
10:55,3,Unnecessary Roughness,-7,punts for 42 yards to BC23.   return for 8 yards to BC31. Penalty: Unnecessary Roughness on BC -15 yards.,3,34
09:20,1,Pass,11,pass to the Ott54.,3,34
06:59,0,No Yards,-15,Penalty: No Yards on BC -15 yards.,3,34
06:31,1,Pass,9,pass to the Ott40.,3,34
05:20,1,Pass,6,pass to the Ott47.,3,34
04:41,2,Incomplete Pass,0,incomplete pass.,3,34
04:27,3,Fumble,-34,FUMBLE Recovered by Ott ( ),3,34
03:35,0,Pass Interference,10,Penalty: Pass Interference on Ottawa 10 yards.,3,34
02:54,1,,1,for a TOUCHDOWN,3,40
02:54,0,Made Extra Point,0,extra point is good.,3,41
02:54,0,Kickoff,27,BC kicks off.   return for 27 yards to Ott34.,3,41
02:47,1,Fumble,7,"pass INTERCEPTED and returned for 7 yards., recovered by Ott ( ). FUMBLE",3,41
02:39,1,Incomplete Pass,0,incomplete pass.,3,41
02:27,3,Punt,-2,punts for 54 yards to BC18.   return for a loss of 2 yards to BC16.,3,41
01:47,3,Punt,10,punts for 42 yards to Ott42.   return for 10 yards to Ott52.,3,41
01:15,2,Incomplete Pass,0,incomplete pass.,3,41
00:51,3,Incomplete Pass,0,incomplete pass.,3,41
