Time,Down,Type,Yards,Details,Ottawa,Hamilton
15:00,0,Kickoff,16,Brett Maher kicks off to the Ham15. Terrell Sinkfield return for 16 yards to Ham31. Tackled by Antoine Pruneau.,0,0
14:55,1,Rush,4,Delone Carter rush for 4 yards to the Ham35. Tackled by Jasper Simmons.,0,0
14:22,2,Rush,16,Zach Collaros rush for 16 yards to the Ham51.,0,0
13:51,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andy Fantuz.,0,0
13:17,2,Pass,10,Zach Collaros pass to Luke Tasker for 10 yards to the Ott49. Tackled by Brandyn Thompson.,0,0
12:44,3,Rush,1,Zach Collaros rush for 1 yard to the Ott48. Tackled by Justin Capicciotti.,0,0
12:08,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Terrell Sinkfield.,0,0
11:53,2,Pass,13,Zach Collaros pass to Brandon Banks for 13 yards to the Ott35. Tackled by Jerrell Gavins.,0,0
11:21,1,Pass,14,Zach Collaros pass to Andy Fantuz for 14 yards to the Ott21. Tackled by Antoine Pruneau.,0,0
10:50,1,Rush,2,Terrell Sinkfield rush for 2 yards to the Ott19. Tackled by Keith Shologan.,0,0
10:06,2,Offside,5,Penalty: Offside on Ottawa (Antoine Pruneau) 5 yards.,0,0
09:27,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andy Fantuz.,0,0
09:01,3,Missed Field Goal,21,Justin Medlock 21 yard field goal attempt is GOOD.,0,3
09:01,1,Rush,-1,Roy Finch rush for a loss of 1 yard to the Ott34. Tackled by  .,0,3
08:45,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter.,0,3
07:44,3,Illegal Block,10,Brett Maher punts for 40 yards to Ham36. Brandon Banks return for 20 yards to Ott54. Penalty: Illegal Block on Hamilton (Ed Gainey) -10 yards.,0,3
07:44,1,Pass,-3,Zach Collaros pass to Brandon Banks for a loss of 3 yards to the Ham43. Tackled by Jerrell Gavins.,0,3
07:05,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Delone Carter.,0,3
06:49,3,Pass,24,Justin Medlock pass to Bakari Grant for 24 yards to the Ott43. Tackled by Justin Capicciotti.,0,3
06:15,0,Illegal Block,-10,Penalty: Illegal Block on Hamilton (Delone Carter) -10 yards.,0,3
05:50,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,0,3
05:26,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Samuel Giguere.,0,3
04:49,3,Punt Single,0,Justin Medlock punts for 61 yards to Ott0. No return (Single).,0,4
04:49,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Wallace Miles.,0,4
04:37,2,Pass,26,Henry Burris pass to Matt Carter for 26 yards to the Ham49. Tackled by Eric Norwood.,0,4
03:55,1,Rush,7,Jeremiah Johnson rush for 7 yards to the Ham42. Tackled by Brandon Stewart.,0,4
03:06,2,Rush,2,Jeremiah Johnson rush for 2 yards to the Ham40. Tackled by Bryan Hall.,0,4
02:20,3,Punt,6,Brett Maher punts for 32 yards to Ham8. Brandon Banks return for 6 yards to Ham14. Tackled by Damaso Munoz.,0,4
01:49,1,Rush,5,Delone Carter rush for 5 yards to the Ham19. Tackled by Justin Capicciotti.,0,4
01:20,2,Pass,9,Zach Collaros pass to Terrell Sinkfield for 9 yards to the Ham28. Tackled by Jerrell Gavins.,0,4
00:36,1,Rush,18,Zach Collaros rush for 18 yards to the Ham46. Tackled by Jerrell Gavins.,0,4
00:01,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Delone Carter.,0,4
15:00,2,Offside,5,Penalty: Offside on Ottawa (Keith Shologan) 5 yards.,0,4
14:46,2,Pass,24,Zach Collaros pass to Bakari Grant for 24 yards to the Ott35. Tackled by Antoine Pruneau.,0,4
14:20,1,Rush,1,Terrell Sinkfield rush for 1 yard to the Ott34. Tackled by Antoine Pruneau.,0,4
13:37,2,Sack,-11,Sack at Ott45 for a loss of 11 yards by Travis Brown.,0,4
13:03,3,Punt,12,Justin Medlock punts for 37 yards to Ott8. Roy Finch return for 12 yards to Ott20. Tackled by Neil King.,0,4
12:48,1,Pass,25,Henry Burris pass to Marcus Henry for 25 yards to the Ott45. Tackled by Rico Murray.,0,4
12:11,1,Rush,18,Roy Finch rush for 18 yards to the Ham47. Tackled by Brandon Stewart.,0,4
11:33,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Roy Finch defensed by Justin Hickman.,0,4
11:11,2,Pass,7,Henry Burris pass to Roy Finch for 7 yards to the Ham40. Tackled by Justin Hickman.,0,4
10:24,3,Unnecessary Roughness,35,50 yard field goal attempt by Brett Maher is NO GOOD (Single). Penalty: Unnecessary Roughness on Ottawa (Jon Gott) -15 yards.,0,4
10:11,1,Rush,3,Sam Ojuri rush for 3 yards to the Ott52. Tackled by Travis Brown.,1,4
09:30,2,Sack,-5,Sack at Ham53 for a loss of 5 yards by Justin Capicciotti.,1,4
08:50,3,Punt,7,Justin Medlock punts for 40 yards to Ott17. Roy Finch return for 7 yards to Ott24. Tackled by  .,1,4
08:22,1,Pass,15,Henry Burris pass to Marcus Henry for 15 yards to the Ott39. Tackled by Brandon Stewart.,1,4
07:52,1,Rush,1,Jeremiah Johnson rush for 1 yard to the Ott40. Tackled by Simoni Lawrence.,1,4
07:09,0,Illegal Substitution,-10,Penalty: Illegal Substitution on Ottawa -10 yards.,1,4
07:02,2,Incomplete Pass,0,Henry Burris incomplete pass intended for  .,1,4
06:46,3,Punt,7,Brett Maher punts for 48 yards to Ham32. Luke Tasker return for 7 yards to Ham39. Tackled by  .,1,4
06:29,1,Pass,4,Zach Collaros pass to Brandon Banks for 4 yards to the Ham43. Tackled by Jerrell Gavins.,1,4
05:38,2,Interception,9,Zach Collaros pass INTERCEPTED and returned for 9 yards. Tackled by Terrell Sinkfield.,1,4
05:16,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Carlton Mitchell.,1,4
04:54,2,Pass,3,Henry Burris pass to Carlton Mitchell for 3 yards to the Ham45. Tackled by Rico Murray.,1,4
04:22,3,Punt,0,Brett Maher punts for 38 yards to Ham7. No return.,1,4
04:06,1,Rush,8,Terrell Sinkfield rush for 8 yards to the Ham15. Tackled by Brandyn Thompson.,1,4
03:20,2,Rush,3,Sam Ojuri rush for 3 yards to the Ham18. Tackled by Marlon Smith.,1,4
02:59,1,Incomplete Pass,0,Brandon Banks incomplete pass intended for Bakari Grant.,1,4
02:44,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Bakari Grant.,1,4
02:39,3,Illegal Block,49,Justin Medlock punts for 39 yards to Ott53. Penalty: Illegal Block on Ottawa (Marlon Smith) 10 yards.,1,4
02:27,1,Sack,-5,Sack at Ott38 for a loss of 5 yards by Bryan Hall.,1,4
02:10,2,Sack,-6,Sack at Ott32 for a loss of 6 yards by Eric Norwood.,1,4
01:55,3,No Yards,49,Brett Maher punts for 54 yards to Ham24. Penalty: No Yards on Ottawa (James Green) -5 yards.,1,4
01:46,1,Pass,10,Zach Collaros pass to Matt Coates for 10 yards to the Ham39. Tackled by Abdul Kanneh.,1,4
01:30,2,Rush,1,Zach Collaros rush for 1 yard to the Ham40. Tackled by Andrew Marshall.,1,4
01:21,1,Pass,10,Zach Collaros pass to Bakari Grant for 10 yards to the Ham50. Tackled by Brandyn Thompson.,1,4
01:07,1,Pass,15,Zach Collaros pass to Luke Tasker for 15 yards to the Ott45. Tackled by Antoine Pruneau.,1,4
00:50,1,Rush,5,Zach Collaros rush for 5 yards to the Ott40. Tackled by Antoine Pruneau.,1,4
00:34,2,Pass,9,Zach Collaros pass to Luke Tasker for 9 yards to the Ott31. Tackled by Jerrell Gavins.,1,4
00:23,1,Pass,12,Zach Collaros pass to Bakari Grant for 12 yards to the Ott19. Tackled by Abdul Kanneh.,1,4
00:00,1,Missed Field Goal,26,Justin Medlock 26 yard field goal attempt is GOOD.,1,7
15:00,0,Kickoff,11,Justin Medlock kicks off to the Ott20. Andrew Marshall return for 11 yards to Ott31. Tackled by Beau Landry.,1,7
14:56,1,Pass,5,Henry Burris pass to Matt Carter for 5 yards to the Ott36. Tackled by Terrell Sinkfield.,1,7
14:22,0,Roughing Passer,15,Penalty: Roughing Passer on Hamilton (Bryan Hall) 15 yards.,1,7
14:01,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter.,1,7
13:32,2,Pass,10,Henry Burris pass to   for 10 yards to the Ham49. Tackled by Taylor Reed.,1,7
13:07,3,Rush,1,Henry Burris rush for 1 yard to the Ham48. Tackled by Bryan Hall.,1,7
12:40,1,Pass,1,Henry Burris pass to Carlton Mitchell for 1 yard to the Ham47. Tackled by Rico Murray.,1,7
12:10,2,Sack,-2,Sack at Ham49 for no gain by Michael Atkinson Recovered by Ott (Colin Kelly),1,7
11:27,3,Punt,2,Brett Maher punts for 36 yards to Ham13. Terrell Sinkfield return for 2 yards to Ham15. Tackled by Jordan Verdone.,1,7
11:14,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Brandon Banks.,1,7
11:04,2,Time Count,-5,Penalty: Time Count on Hamilton (Zach Collaros) -5 yards.,1,7
10:34,2,Sack,-5,Sack at Ham5 for a loss of 5 yards by Antoine Pruneau.,1,7
09:53,3,Safety,-5,Safety,3,7
