Time,Down,Type,Yards,Details,Hamilton,Ottawa
15:00,0,Kickoff,39,Justin Medlock kicks off to the Ott9. Roy Finch return for 39 yards to Ott48. Tackled by Mike Daly.,0,0
14:51,1,Pass,4,Henry Burris pass to John Delahunt for 4 yards to the Ott52. Tackled by Rico Murray.,0,0
14:26,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Matt Carter defensed by Rico Murray.,0,0
13:47,3,Punt,-6,Brett Maher punts for 43 yards to Ham15. Brandon Banks return for a loss of 6 yards to Ham9. Tackled by Patrick Lavoie.,0,0
13:22,1,Pass,16,Zach Collaros pass to Luke Tasker for 16 yards to the Ham25. Tackled by Antoine Pruneau.,0,0
12:54,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,0,0
12:36,2,Pass,12,Zach Collaros pass to Bakari Grant for 12 yards to the Ham37. Tackled by Brandyn Thompson.,0,0
12:06,1,Sack,-9,Sack at Ham28 for a loss of 9 yards by Jovon Johnson.,0,0
11:23,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,0,0
10:42,3,Punt,11,Justin Medlock punts for 46 yards to Ott36. Jamill Smith return for 11 yards to Ott47. Tackled by Erik Harris.,0,0
10:18,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Ottawa (John Delahunt) -5 yards.,0,0
10:10,1,Pass,10,Henry Burris pass to Matt Carter for 10 yards to the Ott52. Tackled by Delvin Breaux.,0,0
09:45,2,Pass,31,Henry Burris pass to Wallace Miles for 31 yards to the Ham27. Tackled by Delvin Breaux.,0,0
08:55,1,Rush,3,Jeremiah Johnson rush for 3 yards to the Ham24. Tackled by Bryan Hall.,0,0
08:18,2,Pass,11,Henry Burris pass to Wallace Miles for 11 yards to the Ham13. Tackled by Brandon Stewart.,0,0
07:41,1,Sack,-8,Sack at Ham21 for a loss of 8 yards by Taylor Reed.,0,0
07:15,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,0,0
06:11,3,Field Goal Single,39,39 yard field goal attempt by Brett Maher is NO GOOD (Single).,0,1
06:11,1,Rush,8,Brandon Banks rush for 8 yards to the Ham43. Tackled by Jovon Johnson.,0,1
05:57,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Matt Coates defensed by Abdul Kanneh.,0,1
05:32,3,Punt,5,Justin Medlock punts for 48 yards to Ott19. Roy Finch return for 5 yards to Ott24. Tackled by Ed Gainey.,0,1
05:11,1,Pass,20,Danny O'Brien pass to Marcus Henry for 20 yards to the Ott44. Tackled by Craig Butler.,0,1
04:47,1,Rush,10,Jeremiah Johnson rush for 10 yards to the Ott54. Tackled by Simoni Lawrence.,0,1
