Time,Down,Type,Yards,Details,Saskatchewan,Ottawa
15:00,0,Kickoff,27,Justin Palardy kicks off to the Ssk9. Marshay Green return for 27 yards to Ssk36. Tackled by Jasper Simmons.,0,0
14:48,1,Rush,1,Tino Sunseri rush for 1 yard to the Ssk37. Tackled by Justin Phillips.,0,0
14:17,2,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Eron Riley.,0,0
13:49,3,Punt,77,Josh Bartel punts for 41 yards to Ott32. Jamill Smith return for 77 yards to Ssk1. Tackled by Kevin Regimbald.,0,0
13:17,1,Rush,1,Chevon Walker rush for 1 yard for a TOUCHDOWN.,0,6
13:05,0,Made Extra Point,0,Justin Palardy extra point is good.,0,7
13:05,0,Kickoff,16,Justin Palardy kicks off to the Ssk22. Anthony Allen return for 16 yards to Ssk38. Tackled by Justin Phillips.,0,7
12:58,1,Rush,1,Anthony Allen rush for 1 yard to the Ssk39. Tackled by Devin Arrington.,0,7
12:29,2,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Rob Bagg.,0,7
12:05,3,Punt,4,Josh Bartel punts for 42 yards to Ott29. Chika Madu return for 4 yards to Ott33. Tackled by Alex Pierzchalski.,0,7
11:43,1,Rush,6,Chevon Walker rush for 6 yards to the Ott39. Tackled by Tearrius George.,0,7
11:13,2,Pass,11,Henry Burris pass to Marcus Henry for 11 yards to the Ott50. Tackled by Dwight Anderson.,0,7
10:52,1,Rush,5,Chevon Walker rush for 5 yards to the Ott55. Tackled by Richard Sumlin.,0,7
10:14,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,0,7
09:44,3,No Yards,28,Justin Palardy punts for 33 yards to Ssk22. Penalty: No Yards on Ottawa (Travis Brown) -5 yards.,0,7
09:15,1,Pass,8,Tino Sunseri pass to Taj Smith for 8 yards to the Ssk35. Tackled by Jerrell Gavins.,0,7
08:49,2,Rush,2,Jermaine Thomas rush for 2 yards to the Ssk37. Tackled by Marlon Smith.,0,7
08:09,3,Punt,-5,Josh Bartel punts for 38 yards to Ott35. Antoine Pruneau return for a loss of 5 yards to Ott30. Tackled by Chad Kilgore.,0,7
07:35,1,Pass,13,Henry Burris pass to Carlton Mitchell for 13 yards to the Ott43. Tackled by Tyron Brackenridge.,0,7
07:08,0,Illegal Participation,10,Penalty: Illegal Participation on Saskatchewan (Rod Williams) 10 yards.,0,7
06:39,1,Pass,3,Henry Burris pass to Marcus Henry for 3 yards to the Ssk54. Tackled by Dwight Anderson.,0,7
06:11,2,Pass,11,Henry Burris pass to Marcus Henry for 11 yards to the Ssk43. Tackled by Terrell Maze.,0,7
05:18,1,Rush,4,Chevon Walker rush for 4 yards to the Ssk39. Tackled by Ricky Foley.,0,7
04:45,2,Pass,2,Henry Burris pass to Dobson Collins for 2 yards to the Ssk37. Tackled by Terrell Maze.,0,7
03:51,3,Missed Field Goal,44,Justin Palardy 44 yard field goal attempt is GOOD.,0,10
03:51,0,Kickoff,23,Justin Palardy kicks off to the Ssk10. Marshay Green return for 23 yards to Ssk33. Tackled by Travis Brown.,0,10
03:43,1,Rush,6,Jermaine Thomas rush for 6 yards to the Ssk39. Tackled by Andrew Marshall.,0,10
03:01,2,Offside,-5,Penalty: Offside on Saskatchewan (Brett Swain) -5 yards.,0,10
02:58,2,Pass,8,Tino Sunseri pass to Rob Bagg for 8 yards to the Ssk42. Tackled by Larry Parker.,0,10
02:33,3,Punt,0,Josh Bartel punts for 53 yards to Ott15. Jamill Smith return for no gain to Ott15. Tackled by Paul Woldu.,0,10
02:20,1,Incomplete Pass,0,Danny O'Brien incomplete pass intended for Carlton Mitchell.,0,10
01:59,2,Incomplete Pass,0,Danny O'Brien incomplete pass intended for Marcus Henry.,0,10
01:07,3,Punt,75,Justin Palardy punts for 60 yards to Ssk35. Marshay Green return for 75 yards to Ott0 for a TOUCHDOWN.,6,10
00:58,0,Made Extra Point,0,Chris Milo extra point is good.,7,10
00:58,0,Kickoff,19,Chris Milo kicks off to the Ott15. Jamill Smith return for 19 yards to Ott34. Tackled by Mortty Ivy.,7,10
00:51,1,Rush,1,Michael Hayes rush for 1 yard to the Ott35. Tackled by Chad Kilgore.,7,10
00:02,0,Pass Interference,34,Penalty: Pass Interference on Saskatchewan (Dwight Anderson) 34 yards.,7,10
00:01,1,Pass,14,Danny O'Brien pass to Jamill Smith for 14 yards to the Ssk27.,7,10
15:00,1,Incomplete Pass,0,Danny O'Brien incomplete pass intended for Wallace Miles defensed by Rod Williams.,7,10
14:34,2,Incomplete Pass,0,Danny O'Brien incomplete pass intended for Marcus Henry.,7,10
