Time,Down,Type,Yards,Details,Hamilton,Saskatchewan
15:00,0,Kickoff,22,Justin Medlock kicks off to the Ssk18. Tristan Jackson return for 22 yards to Ssk40. Tackled by Emanuel Davis.,0,0
14:51,1,Rush,13,Anthony Allen rush for 13 yards to the Ssk53. Tackled by Eric Norwood.,0,0
14:23,1,Pass,10,Darian Durant pass to Taj Smith for 10 yards to the Ham47. Tackled by Delvin Breaux.,0,0
13:54,2,Rush,3,Anthony Allen rush for 3 yards to the Ham44. Tackled by Frederic Plesius.,0,0
13:23,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,0,0
13:01,2,Pass,12,Darian Durant pass to Brett Swain for 12 yards to the Ham32. Tackled by Emanuel Davis.,0,0
12:36,1,Rush,-1,Anthony Allen rush for a loss of 1 yard to the Ham33. Tackled by Eric Norwood.,0,0
12:03,2,Pass,5,Darian Durant pass to Anthony Allen for 5 yards to the Ham28. Tackled by Simoni Lawrence.,0,0
11:12,3,Missed Field Goal,35,Chris Milo 35 yard field goal attempt is GOOD.,0,3
11:12,1,Pass,4,Zach Collaros pass to Cary Koch for 4 yards to the Ham39. Tackled by Rod Williams.,0,3
10:50,2,Sack,-11,Sack at Ham28 for a loss of 11 yards by Derek Walker.,0,3
10:10,3,Punt,-4,Justin Medlock punts for 39 yards to Ssk43. Marshay Green return for a loss of 4 yards to Ssk39. Tackled by Erik Harris.,0,3
09:53,1,Pass,12,Darian Durant pass to Chaz Schilens for 12 yards to the Ssk51. Tackled by Delvin Breaux.,0,3
09:12,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,0,3
08:57,2,Face Mask,26,Darian Durant pass to Anthony Allen for 11 yards to the Ham48. Tackled by Frederic Plesius. Penalty: Face Mask on Hamilton (Craig Butler) 15 yards.,0,3
08:28,1,Offside,5,Penalty: Offside on Hamilton (Ted Laurent) 5 yards.,0,3
08:01,1,Rush,10,Anthony Allen rush for 10 yards to the Ham18. Tackled by Rico Murray.,0,3
07:38,1,Rush,9,Anthony Allen rush for 9 yards to the Ham9. Tackled by Simoni Lawrence.,0,3
06:54,2,Pass,7,Darian Durant pass to Brett Swain for 7 yards to the Ham2. Tackled by James Rogers.,0,3
06:18,1,Pass,2,Darian Durant pass to Anthony Allen for 2 yards for a TOUCHDOWN.,0,9
06:04,0,Made Extra Point,0,Chris Milo extra point is good.,0,10
06:04,0,Holding,8,Chris Milo kicks off to the Ham3. Brandon Banks return for 18 yards to Ham21. Penalty: Holding on Hamilton (Craig Butler) -10 yards.,0,10
05:57,1,Rush,3,C.J. Gable rush for 3 yards to the Ham14. Tackled by Dwight Anderson.,0,10
05:32,2,Sack,-1,Sack at Ham13 for a loss of 1 yard by Samuel Hurl.,0,10
04:33,3,Safety,-13,Safety,0,12
04:33,0,Kickoff,22,Justin Medlock kicks off to the Ssk27. Tristan Jackson return for 22 yards to Ssk49. Tackled by Emanuel Davis.,0,12
04:25,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan (Brendon LaBatte) -5 yards.,0,12
04:09,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,0,12
03:49,2,Unnecessary Roughness,19,Darian Durant pass to Ryan Smith for 4 yards to the Ssk48. Tackled by Rico Murray. Penalty: Unnecessary Roughness on Hamilton (Craig Butler) 15 yards.,0,12
03:20,1,Fumble,19,"Anthony Allen rush for 19 yards to the Ham28. FUMBLE, recovered by Ham (Brandon Stewart). Tackled by Brett Swain.",0,12
02:40,0,Illegal Block,-10,Penalty: Illegal Block on Hamilton (Cary Koch) -10 yards.,0,12
02:25,1,Roughing Passer,22,Zach Collaros pass to Samuel Giguere for 7 yards to the Ham25. Tackled by Terrell Maze. Penalty: Roughing Passer on Saskatchewan (Tearrius George) 15 yards.,0,12
01:59,0,Sack,-12,"FUMBLE Sack at Ham28 for a loss of 12 yards by Brian Peters., recovered by Ham (C.J. Gable).",0,12
01:00,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Bakari Grant defensed by Rod Williams.,0,12
00:53,3,No Yards,19,Justin Medlock punts for 24 yards to Ham52. Penalty: No Yards on Hamilton (Frederic Plesius) -5 yards.,0,12
00:29,1,Rush,6,Anthony Allen rush for 6 yards to the Ham41. Tackled by Simoni Lawrence.,0,12
00:01,2,Pass,8,Darian Durant pass to Taj Smith for 8 yards to the Ham33. Tackled by Frederic Plesius.,0,12
15:00,1,Pass,32,Darian Durant pass to Chris Getzlaf for 32 yards to the Ham1. Tackled by Simoni Lawrence.,0,12
13:50,1,Rush,1,Anthony Allen rush for 1 yard for a TOUCHDOWN.,0,18
13:39,0,Made Extra Point,0,Chris Milo extra point is good.,0,19
13:39,0,Kickoff,1,Chris Milo kicks off to the Ham32. Brandon Banks return for 1 yard to Ham33.,0,19
13:39,1,Pass,7,Zach Collaros pass to Brandon Banks for 7 yards to the Ham40. Tackled by Rod Williams.,0,19
13:17,2,Fumble,6,"Zach Collaros rush for 6 yards to the Ham46. FUMBLE, recovered by Ssk (Terrell Maze). Tackled by Steve Myddelton.",0,19
13:08,1,Rush,3,Anthony Allen rush for 3 yards to the Ham43. Tackled by Brandon Stewart.,0,19
12:35,2,Rush,6,Darian Durant rush for 6 yards to the Ham37. Tackled by Brian Bulcke.,0,19
11:56,3,Punt,0,Josh Bartel punts for 34 yards to Ham3. No return.,0,19
11:43,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Luke Tasker.,0,19
