Time,Down,Type,Yards,Details,Toronto,Saskatchewan
15:00,0,Kickoff,26,Chris Milo kicks off to the Tor16. Curtis Steele return for 26 yards to Tor42. Tackled by Shomari Williams.,0,0
14:51,1,Rush,5,Curtis Steele rush for 5 yards to the Tor47. Tackled by Trevor Guyton.,0,0
14:23,2,Interception,42,Ricky Ray pass intended for Maurice Mann INTERCEPTED and returned for 42 yards. Tackled by Tyler Holmes.,0,0
13:49,1,Rush,7,Will Ford rush for 7 yards to the Tor16. Tackled by Shea Emry.,0,0
13:34,2,Rush,6,Will Ford rush for 6 yards to the Tor10. Tackled by Shea Emry.,0,0
12:36,1,Rush,10,Darian Durant rush for 10 yards for a TOUCHDOWN.,0,6
12:24,0,Made Extra Point,0,Chris Milo extra point is good.,0,7
12:24,0,Kickoff,22,Chris Milo kicks off to the Tor13. Curtis Steele return for 22 yards to Tor35. Tackled by Tyron Brackenridge.,0,7
12:12,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Maurice Mann defensed by Terrell Maze.,0,7
12:00,2,Fumble,-8,"Sack at Tor27 for a loss of 8 yards by Tearrius George. FUMBLE, recovered by Ssk (Tearrius George). Tackled by Jarriel King.",0,7
11:21,1,Rush,7,Will Ford rush for 7 yards to the Tor20. Tackled by Jamie Robinson.,0,7
10:35,2,Rush,20,Will Ford rush for 20 yards for a TOUCHDOWN.,0,13
10:22,0,Made Extra Point,0,Chris Milo extra point is good.,0,14
10:22,0,Holding,3,Chris Milo kicks off to the Tor25. Curtis Steele return for 13 yards to Tor38. Penalty: Holding on Toronto (Anthony Woodson) -10 yards.,0,14
10:10,1,Pass,1,Ricky Ray pass to Jeremiah Johnson for 1 yard to the Tor29. Tackled by Macho Harris.,0,14
09:46,2,Offside,-5,Penalty: Offside on Saskatchewan (John Chick) -5 yards.,0,14
09:10,2,Pass,0,Ricky Ray pass to Jeremiah Johnson for no gain to the Tor34. Tackled by Brian Peters.,0,14
08:30,3,Punt,7,Swayze Waters punts for 41 yards to Ssk35. Marshay Green return for 7 yards to Ssk42. Tackled by Jake Reinhart.,0,14
08:23,1,Rush,3,Will Ford rush for 3 yards to the Ssk45. Tackled by Tristan Okpalaugo.,0,14
08:05,2,Interception,8,Darian Durant pass INTERCEPTED and returned for 8 yards. Tackled by Dan Clark.,0,14
07:23,1,Rush,3,Jeremiah Johnson rush for 3 yards to the Ssk37. Tackled by Ricky Foley.,0,14
07:10,2,Pass,11,Ricky Ray pass to Spencer Watt for 11 yards to the Ssk26. Tackled by Tristan Jackson.,0,14
06:45,1,Unnecessary Roughness,8,Ricky Ray pass to Jeremiah Johnson for 8 yards to the Ssk18. Tackled by Weldon Brown. Penalty: Unnecessary Roughness on Toronto (Jarriel King) -15 yards. Penalty: Unnecessary Roughness on Saskatchewan (Rod Williams) 15 yards.,0,14
06:33,2,Rush,7,Jeremiah Johnson rush for 7 yards to the Ssk11. Tackled by Weldon Brown.,0,14
06:03,1,Rush,1,Jeremiah Johnson rush for 1 yard to the Ssk10. Tackled by Tearrius George.,0,14
05:22,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Anthony Coombs.,0,14
04:40,3,Missed Field Goal,17,Swayze Waters 17 yard field goal attempt is GOOD.,3,14
04:40,1,Rush,2,Will Ford rush for 2 yards to the Ssk37. Tackled by Brandon Underwood.,3,14
04:15,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Will Ford.,3,14
03:45,3,No Yards,25,Josh Bartel punts for 40 yards to Tor33. Penalty: No Yards on Saskatchewan (Mark LeGree) -15 yards.,3,14
03:27,1,Pass,46,Ricky Ray pass to Anthony Coombs for 46 yards to the Ssk16. Tackled by Macho Harris.,3,14
03:03,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Anthony Coombs.,3,14
02:27,2,Pass,7,Ricky Ray pass to Maurice Mann for 7 yards to the Ssk9. Tackled by Samuel Hurl.,3,14
01:40,3,Missed Field Goal,16,Swayze Waters 16 yard field goal attempt is GOOD.,6,14
01:40,1,Rush,4,Will Ford rush for 4 yards to the Ssk39. Tackled by Logan Harrell.,6,14
01:11,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan (Jerome Messam) -5 yards.,6,14
00:45,2,Sack,-6,Sack at Ssk28 for a loss of 6 yards by Dwight Anderson.,6,14
00:09,3,Punt,0,Josh Bartel punts for 42 yards to Tor40. No return.,6,14
00:01,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Curtis Steele.,6,14
15:00,2,Pass,8,Ricky Ray pass to Curtis Steele for 8 yards to the Tor48. Tackled by Samuel Hurl.,6,14
14:31,3,Punt,4,Swayze Waters punts for 34 yards to Ssk28. Marshay Green return for 4 yards to Ssk32. Tackled by Thomas Miles.,6,14
14:15,1,Rush,5,Will Ford rush for 5 yards to the Ssk37. Tackled by Jamie Robinson.,6,14
13:37,2,Pass,4,Darian Durant pass to Rob Bagg for 4 yards to the Ssk41. Tackled by Branden Smith.,6,14
13:03,3,Illegal Block,54,Josh Bartel punts for 44 yards to Tor25. Penalty: Illegal Block on Toronto (Vincent Agnew) 10 yards.,6,14
12:36,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jeremiah Johnson.,6,14
12:22,2,Pass,14,Ricky Ray pass to Anthony Coombs for 14 yards to the Tor29. Tackled by Samuel Hurl.,6,14
11:52,1,Pass,6,Ricky Ray pass to Jarred Fayson for 6 yards to the Tor35. Tackled by Tyron Brackenridge.,6,14
11:17,2,Pass,2,Ricky Ray pass to Jeremiah Johnson for 2 yards to the Tor37. Tackled by Rod Williams.,6,14
10:42,3,Punt,4,Swayze Waters punts for 47 yards to Ssk26. Marshay Green return for 4 yards to Ssk30. Tackled by Shane Horton.,6,14
10:24,1,Incomplete Pass,0,Darian Durant incomplete pass.,6,14
10:11,2,Pass,8,Darian Durant pass to Will Ford for 8 yards to the Ssk38. Tackled by Shea Emry.,6,14
09:38,3,Punt,2,Josh Bartel punts for 57 yards to Tor15. Branden Smith return for 2 yards to Tor17. Tackled by Alex Pierzchalski.,6,14
09:03,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jeremiah Johnson.,6,14
08:43,0,Holding,-9,Penalty: Holding on Toronto (Tyler Holmes) -9 yards.,6,14
08:17,2,Pass,15,Ricky Ray pass to Darvin Adams for 15 yards to the Tor23. Tackled by Tyron Brackenridge.,6,14
07:44,3,Punt,7,Swayze Waters punts for 47 yards to Ssk40. Marshay Green return for 7 yards to Ssk47. Tackled by Shane Herbert.,6,14
07:27,1,Pass,18,Darian Durant pass to Rob Bagg for 18 yards to the Tor45. Tackled by Branden Smith.,6,14
07:08,1,Pass,7,Darian Durant pass to Will Ford for 7 yards to the Tor38. Tackled by Nicholas Williams.,6,14
06:26,2,Rush,4,Will Ford rush for 4 yards to the Tor34. Tackled by Thaddeus Gibson.,6,14
05:55,1,Offside,5,Penalty: Offside on Toronto (Jamie Robinson) 5 yards.,6,14
05:30,1,Sack,-9,Sack at Tor38 for a loss of 9 yards by Jermaine Gabriel.,6,14
04:42,2,Pass,35,Darian Durant pass to Taj Smith for 35 yards to the Tor3. Tackled by Jalil Carter.,6,14
03:37,1,Rush,3,Will Ford rush for 3 yards for a TOUCHDOWN.,6,20
03:29,0,Made Extra Point,0,Chris Milo extra point is good.,6,21
03:29,0,Kickoff,11,Chris Milo kicks off to the Tor17. Curtis Steele return for 11 yards to Tor28. Tackled by Dylan Ainsworth.,6,21
03:22,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Maurice Mann.,6,21
02:57,0,Pass Interference,-17,Penalty: Pass Interference on Saskatchewan (Brian Peters) -17 yards.,6,21
02:36,1,Pass,5,Ricky Ray pass to Mike Bradwell for 5 yards to the Tor50. Tackled by Weldon Brown.,6,21
02:31,2,Sack,-8,Sack at Tor42 for a loss of 8 yards by John Chick.,6,21
