Time,Down,Type,Yards,Details,Saskatchewan,Winnipeg
15:00,0,Kickoff,26,Chris Milo kicks off to the Wpg14. Aaron Woods return for 26 yards to Wpg40. Tackled by Brian Peters.,0,0
14:54,1,Rush,4,Nic Grigsby rush for 4 yards to the Wpg44. Tackled by Ricky Foley.,0,0
14:18,2,Pass,6,Drew Willy pass to Julian Feoli-Gudino for 6 yards to the Wpg50. Tackled by Samuel Hurl.,0,0
13:37,1,Rush,2,Nic Grigsby rush for 2 yards to the Wpg52. Tackled by Derek Walker.,0,0
12:58,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Winnipeg (Chris Greaves) -5 yards.,0,0
12:41,0,Pass Interference,15,Penalty: Pass Interference on Saskatchewan (Samuel Hurl) 15 yards.,0,0
12:08,1,Sack,-7,Sack at Wpg55 for a loss of 7 yards by John Chick.,0,0
11:41,2,Interception,18,Drew Willy pass intended for Clarence Denmark INTERCEPTED and returned for 18 yards. Tackled by Nic Grigsby.,0,0
11:20,1,Rush,11,Will Ford rush for 11 yards to the Wpg46. Tackled by Teague Sherman.,0,0
10:45,1,Pass,6,Darian Durant pass to Chaz Schilens for 6 yards to the Wpg40. Tackled by Matt Bucknor.,0,0
10:11,2,Pass,8,Darian Durant pass to Chris Getzlaf for 8 yards to the Wpg32. Tackled by Demond Washington.,0,0
09:34,0,Holding,-10,Penalty: Holding on Saskatchewan (Spencer Moore) -10 yards.,0,0
09:16,1,Sack,-5,Sack at Wpg47 for a loss of 5 yards by Ian Wild.,0,0
08:38,2,Pass,12,Darian Durant pass to Will Ford for 12 yards to the Wpg35. Tackled by Demond Washington.,0,0
07:46,3,Missed Field Goal,42,Chris Milo 42 yard field goal attempt is GOOD.,3,0
07:46,0,Illegal Substitution,10,Chris Milo kicks off to the Wpg20. Aaron Woods return for 20 yards to Wpg40. Tackled by Woodny Turenne. Penalty: Illegal Substitution on Winnipeg (Mike Cornell) -10 yards.,3,0
07:40,1,Pass,7,Drew Willy pass to Nic Grigsby for 7 yards to the Wpg37. Tackled by Weldon Brown.,3,0
06:58,2,Rush,0,Nic Grigsby rush for no gain to the Wpg37. Tackled by Trevor Guyton.,3,0
