Time,Down,Type,Yards,Details,Montreal,Saskatchewan
15:00,0,Kickoff,13,Sean Whyte kicks off to the Ssk19. Tristan Jackson return for 13 yards to Ssk32. Tackled by Andrew Lue.,0,0
14:52,1,Pass,3,Darian Durant pass to Ryan Smith for 3 yards to the Ssk35. Tackled by Marc-Olivier Brouillette.,0,0
14:12,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Ryan Smith.,0,0
14:12,3,Punt,14,Josh Bartel punts for 43 yards to Mtl32. Bo Bowling return for 14 yards to Mtl46. Tackled by Dylan Ainsworth.,0,0
13:20,1,Rush,1,Brandon Whitaker rush for 1 yard to the Mtl47. Tackled by Brian Peters.,0,0
12:52,2,Pass,16,Alex Brink pass to Tyrell Sutton for 16 yards to the Ssk47. Tackled by John Chick.,0,0
12:06,1,Pass,7,Alex Brink pass to Eric Deslauriers for 7 yards to the Ssk40. Tackled by Tyron Brackenridge.,0,0
11:42,2,Rush,5,Brandon Whitaker rush for 5 yards to the Ssk35. Tackled by Derek Walker.,0,0
11:00,0,Sack,-11,FUMBLE Sack at Ssk35 for no gain by John Chick. . Tackled by Tearrius George,0,0
10:00,2,Pass,10,Alex Brink pass to Duron Carter for 10 yards to the Ssk36. Tackled by Terrell Maze.,0,0
09:47,3,Missed Field Goal,23,41 yard field goal attempt by Sean Whyte is NO GOOD.  Missed field goal returned by Tristan Jackson to the Ssk18. Tackled by Nicolas Boulay.,0,0
09:26,1,Rush,3,Will Ford rush for 3 yards to the Ssk21. Tackled by Aaron Lavarias.,0,0
08:50,2,Incomplete Pass,0,Darian Durant incomplete pass.,0,0
08:30,3,Illegal Block,49,Josh Bartel punts for 39 yards to Mtl50. Penalty: Illegal Block on Montreal (Jerod Zaleski) 10 yards.,0,0
08:12,1,Rush,8,Alex Brink rush for 8 yards to the Mtl48. Tackled by Tyron Brackenridge.,0,0
07:52,2,Rush,4,Brandon Whitaker rush for 4 yards to the Mtl52. Tackled by Macho Harris.,0,0
07:18,1,Offside,5,Penalty: Offside on Saskatchewan (John Chick) 5 yards.,0,0
06:48,1,Pass,13,Alex Brink pass to Duron Carter for 13 yards to the Ssk40. Tackled by Brian Peters.,0,0
06:22,1,Rush,3,Brandon Whitaker rush for 3 yards to the Ssk37. Tackled by Tyron Brackenridge.,0,0
05:49,2,Pass,15,Alex Brink pass to   for 15 yards to the Ssk22. Tackled by Woodny Turenne.,0,0
05:22,1,Incomplete Pass,0,Alex Brink incomplete pass intended for Brandon London.,0,0
04:49,2,Pass,12,Alex Brink pass to Tyrell Sutton for 12 yards to the Ssk10. Tackled by Tyron Brackenridge.,0,0
04:06,1,Illegal Participation,46,"Brandon Whitaker rush for 2 yards to the Ssk8. FUMBLE, recovered by Ssk (Samuel Hurl) and returned for 34 yards. Tackled by Tyrell Sutton. Penalty: Illegal Participation on Montreal (Duron Carter) 10 yards.",0,0
03:36,1,Pass,11,Darian Durant pass to Korey Williams for 11 yards to the Mtl47. Tackled by Bear Woods.,0,0
03:06,1,Sack,-3,Sack at Mtl50 for a loss of 3 yards by Gabriel Knapton.,0,0
02:20,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,0,0
01:51,3,Punt Single,0,Josh Bartel punts for 56 yards to Mtl0. No return (Single).,0,1
01:51,1,Rush,5,Tyrell Sutton rush for 5 yards to the Mtl40. Tackled by Ricky Foley.,0,1
01:36,2,Pass,4,Alex Brink pass to Brandon Whitaker for 4 yards to the Mtl44. Tackled by Samuel Hurl.,0,1
00:58,3,Rush,7,Tanner Marsh rush for 7 yards to the Mtl51. Tackled by Macho Harris.,0,1
00:01,1,Rush,6,Tyrell Sutton rush for 6 yards to the Ssk53. Tackled by Macho Harris.,0,1
15:00,2,Rush,-2,Brandon Whitaker rush for a loss of 2 yards to the Mtl55. Tackled by Tearrius George.,0,1
14:17,3,Punt Single,74,Sean Whyte punts for 74 yards to Ssk0 (Single).,1,1
14:15,1,Rush,5,Will Ford rush for 5 yards to the Ssk40. Tackled by Kyries Hebert.,1,1
13:42,2,Pass,10,Darian Durant pass to Rob Bagg for 10 yards to the Ssk50. Tackled by Mitchell White.,1,1
13:08,1,Pass,8,Darian Durant pass to Ryan Smith for 8 yards to the Mtl52. Tackled by Mitchell White.,1,1
12:37,2,Rush,3,Will Ford rush for 3 yards to the Mtl49. Tackled by Alan-Michael Cash.,1,1
12:01,1,Pass,14,Darian Durant pass to Brett Swain for 14 yards to the Mtl35. Tackled by Mitchell White.,1,1
