Time,Down,Type,Yards,Details,Winnipeg,Saskatchewan
15:00,0,Kickoff,19,Chris Milo kicks off to the Wpg21. Troy Stoudermire return for 19 yards to Wpg40. Tackled by Ryan Wellman.,0,0
14:52,1,Pass,5,Drew Willy pass to Rory Kohlert for 5 yards to the Wpg45. Tackled by Tristan Jackson.,0,0
14:22,2,Pass,9,Drew Willy pass to Nick Moore for 9 yards to the Wpg54. Tackled by Chad Kilgore.,0,0
13:43,1,Pass,5,Drew Willy pass to Rory Kohlert for 5 yards to the Ssk51. Tackled by Macho Harris.,0,0
13:01,2,Offside,5,Penalty: Offside on Saskatchewan (Tyron Brackenridge) 5 yards.,0,0
12:39,1,Rush,5,Nic Grigsby rush for 5 yards to the Ssk41. Tackled by Terrell Maze.,0,0
12:19,2,Pass,14,Drew Willy pass to Nick Moore for 14 yards to the Ssk27. Tackled by Tyron Brackenridge.,0,0
11:48,1,Rush,-5,Nic Grigsby rush for a loss of 5 yards to the Ssk32. Tackled by Brian Peters.,0,0
11:01,2,Illegal Block,15,Drew Willy pass intended for Aaron Kelly INTERCEPTED and returned for 23 yards. Tackled by Rory Kohlert. Penalty: Illegal Block on Saskatchewan (Tristan Jackson) -8 yards.,0,0
10:30,1,Illegal Crackback,-2,Will Ford rush for 3 yards to the Ssk10. Tackled by Maurice Leggett. Penalty: Illegal Crackback on Saskatchewan (Rob Bagg) -5 yards.,0,0
10:08,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,0,0
09:45,3,No Yards,26,Josh Bartel punts for 41 yards to Ssk46. Penalty: No Yards on Saskatchewan (Mark LeGree) -15 yards.,0,0
09:25,1,Rush,4,Nic Grigsby rush for 4 yards to the Ssk27. Tackled by Brian Peters.,0,0
09:03,0,Pass,21,"FUMBLE Drew Willy pass to Nick Moore for 21 yards to the Ssk6., recovered by Wpg (Aaron Kelly).",0,0
07:53,1,Rush,6,Nic Grigsby rush for 6 yards for a TOUCHDOWN.,6,0
07:30,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,7,0
07:30,0,Kickoff,95,Lirim Hajrullahu kicks off to the Ssk0.,7,0
07:30,1,Pass,16,Darian Durant pass to Rob Bagg for 16 yards to the Ssk41. Tackled by Demond Washington.,7,0
07:00,1,Rush,3,Will Ford rush for 3 yards to the Ssk44. Tackled by Bryant Turner Jr..,7,0
06:26,2,Incomplete Pass,0,Darian Durant incomplete pass.,7,0
06:00,3,Punt,5,Josh Bartel punts for 41 yards to Wpg25. Troy Stoudermire return for 5 yards to Wpg30. Tackled by Paul Woldu.,7,0
05:40,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Aaron Kelly.,7,0
05:15,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Aaron Kelly.,7,0
04:50,3,Holding,5,Penalty: Illegal Procedure on Winnipeg (Dan West) -5 yards. Penalty: Holding on Saskatchewan (Tristan Jackson) 10 yards.,7,0
04:30,3,Punt,0,Lirim Hajrullahu punts for 57 yards to Ssk18. Weston Dressler return for no gain to Ssk18. Tackled by Don Unamba.,7,0
04:08,1,Rush,2,Will Ford rush for 2 yards to the Ssk20. Tackled by Ian Wild.,7,0
03:36,2,Pass,10,Darian Durant pass to Rob Bagg for 10 yards to the Ssk30. Tackled by Bruce Johnson.,7,0
03:04,1,Pass,7,Darian Durant pass to Weston Dressler for 7 yards to the Ssk37. Tackled by Matt Bucknor.,7,0
02:15,2,Rush,6,Will Ford rush for 6 yards to the Ssk43. Tackled by Ian Wild.,7,0
01:48,1,Pass,12,Darian Durant pass to   for 12 yards to the Ssk55. Tackled by Ian Wild.,7,0
01:09,1,Pass,10,Darian Durant pass to Rob Bagg for 10 yards to the Wpg45. Tackled by Chris Randle.,7,0
00:01,1,Rush,-1,Will Ford rush for a loss of 1 yard to the Wpg46. Tackled by Ian Wild.,7,0
15:00,2,Offside,5,Penalty: Offside on Winnipeg (Ian Wild) 5 yards.,7,0
14:34,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler.,7,0
14:18,3,Missed Field Goal,41,41 yard field goal attempt by Chris Milo is NO GOOD.,7,0
13:58,0,Holding,-10,Penalty: Holding on Winnipeg (Jarvis Jones) -10 yards.,7,0
13:44,1,Offside,-5,Penalty: Offside on Winnipeg (Aaron Kelly) -5 yards.,7,0
13:22,1,Pass,7,Drew Willy pass to Nic Grigsby for 7 yards to the Wpg17. Tackled by Carlos Thomas.,7,0
12:51,2,Sack,-5,Sack at Wpg12 for a loss of 5 yards by Ricky Foley.,7,0
12:05,0,Safety,-12,"FUMBLE Safety., recovered by Wpg (Lirim Hajrullahu).",7,2
11:59,0,Kickoff,4,Lirim Hajrullahu kicks off to the Ssk30. Tristan Jackson return for 4 yards to Ssk34. Tackled by Jesse Briggs.,7,2
11:23,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Brett Swain defensed by Ejiro Kuale.,7,2
