Time,Down,Type,Yards,Details,Ottawa,Saskatchewan
15:00,0,Kickoff,0,Chris Milo kicks off to the Ott25. Jamill Smith - no return. Tackled by Tyron Brackenridge.,0,0
14:54,1,Rush,5,D.J. Harper rush for 5 yards to the Ott30. Tackled by Tearrius George.,0,0
14:18,2,Pass,9,Henry Burris pass to Marcus Henry for 9 yards to the Ott39. Tackled by Tyron Brackenridge.,0,0
13:41,1,Rush,3,D.J. Harper rush for 3 yards to the Ott42. Tackled by Trevor Guyton.,0,0
13:05,2,Pass,13,Henry Burris pass to Marcus Henry for 13 yards to the Ott55. Tackled by Weldon Brown.,0,0
12:39,1,Rush,25,D.J. Harper rush for 25 yards to the Ssk30. Tackled by Brian Peters.,0,0
11:59,1,Rush,1,D.J. Harper rush for 1 yard to the Ssk29. Tackled by Macho Harris.,0,0
11:24,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Ottawa (Patrick Lavoie) -5 yards.,0,0
10:57,2,Sack,-9,Sack at Ssk43 for a loss of 9 yards by John Chick.,0,0
10:24,3,Fumble,0,"Brett Maher punts for 34 yards to Ssk9. Tristan Jackson return for no gain to Ssk9. FUMBLE, recovered by Ssk (Tristan Jackson).",0,0
10:14,1,Rush,4,Anthony Allen rush for 4 yards to the Ssk13. Tackled by Travis Brown.,0,0
09:48,2,Rush,2,Anthony Allen rush for 2 yards to the Ssk15. Tackled by Jasper Simmons.,0,0
09:22,3,No Yards,24,Chris Milo punts for 39 yards to Ssk54. Penalty: No Yards on Saskatchewan (Brett Swain) -15 yards.,0,0
09:07,1,Pass,31,Henry Burris pass to Alexander Krausnick for 31 yards to the Ssk8. Tackled by Tyron Brackenridge.,0,0
08:08,1,Rush,8,Henry Burris rush for 8 yards for a TOUCHDOWN.,6,0
07:59,0,Made Extra Point,0,Brett Maher extra point is good.,7,0
07:59,0,Kickoff,24,Brett Maher kicks off to the Ssk0. Tristan Jackson return for 24 yards to Ssk24. Tackled by Jasper Simmons.,7,0
07:53,1,Rush,3,Anthony Allen rush for 3 yards to the Ssk27. Tackled by Brandon Lang.,7,0
07:38,2,Pass,7,Tino Sunseri pass to Weston Dressler for 7 yards to the Ssk34. Tackled by Antoine Pruneau.,7,0
07:11,1,Rush,3,Anthony Allen rush for 3 yards to the Ssk37. Tackled by Travis Brown.,7,0
06:32,2,Pass,13,Tino Sunseri pass to Weston Dressler for 13 yards to the Ssk50. Tackled by Travis Brown.,7,0
05:51,1,Rush,7,Anthony Allen rush for 7 yards to the Ott53. Tackled by Antoine Pruneau.,7,0
05:23,2,Rush,3,Anthony Allen rush for 3 yards to the Ott50. Tackled by Jasper Simmons.,7,0
04:45,1,Rush,15,Tino Sunseri rush for 15 yards to the Ott35. Tackled by Damaso Munoz.,7,0
04:10,1,Rush,2,Tino Sunseri rush for 2 yards to the Ott33. Tackled by Keith Shologan.,7,0
03:44,2,Incomplete Pass,0,Tino Sunseri incomplete pass intended for Taj Smith.,7,0
02:53,3,Missed Field Goal,41,Chris Milo 41 yard field goal attempt is GOOD.,7,3
