Time,Down,Type,Yards,Details,Edmonton,Saskatchewan
15:00,0,Kickoff,11,Chris Milo kicks off to the Edm25. Kendial Lawrence return for 11 yards to Edm36. Tackled by Samuel Hurl.,0,0
14:51,1,Pass,9,Matt Nichols pass to Tyler Thomas for 9 yards to the Edm45. Tackled by Macho Harris.,0,0
14:40,2,Rush,5,Matt Nichols rush for 5 yards to the Edm50. Tackled by Brian Peters.,0,0
14:15,1,Pass,14,Matt Nichols pass to Fred Stamps for 14 yards to the Ssk46. Tackled by Rod Williams.,0,0
13:43,1,Rush,6,Tyler Thomas rush for 6 yards to the Ssk40. Tackled by Tyron Brackenridge.,0,0
13:15,2,Pass,4,Matt Nichols pass to Tyler Thomas for 4 yards to the Ssk36. Tackled by Brian Peters.,0,0
12:46,1,Pass,6,Matt Nichols pass to Fred Stamps for 6 yards to the Ssk30. Tackled by Macho Harris.,0,0
12:10,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Fred Stamps.,0,0
11:28,3,Field Goal Single,16,47 yard field goal attempt by Hugh O'Neill is NO GOOD.  Missed field goal returned by Tristan Jackson to the Ssk0. Tackled by Deon Lacey (Single).,1,0
11:28,1,Pass,12,Kerry Joseph pass to Rob Bagg for 12 yards to the Ssk47. Tackled by Ryan Hinds.,1,0
11:05,1,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Rob Bagg defensed by Cedric McKinley.,1,0
10:37,2,Rush,21,Anthony Allen rush for 21 yards to the Edm42. Tackled by Ryan Hinds.,1,0
10:15,1,Rush,13,Anthony Allen rush for 13 yards to the Edm29. Tackled by Ryan Hinds.,1,0
09:33,1,Pass,13,Kerry Joseph pass to Rob Bagg for 13 yards to the Edm16. Tackled by Otha Foster.,1,0
08:57,1,Incomplete Pass,0,Kerry Joseph incomplete pass.,1,0
08:30,2,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Weston Dressler.,1,0
08:07,3,Missed Field Goal,24,35 yard field goal attempt by Chris Milo is NO GOOD.  Missed field goal returned by Kendial Lawrence to the Edm5.,1,0
07:34,1,Rush,6,Tyler Thomas rush for 6 yards to the Edm11. Tackled by Tyron Brackenridge.,1,0
07:20,2,Pass,0,Matt Nichols pass to Tyler Thomas for no gain to the Edm11. Tackled by Brian Peters.,1,0
06:50,0,Fumble,-1,", recovered by Edm (Tristan Jackson). Hugh O'Neill punts for 39 yards to Edm50. Tristan Jackson return for a loss of 1 yard to Edm51. FUMBLE",1,0
06:27,1,Rush,4,Anthony Allen rush for 4 yards to the Edm47. Tackled by Cedric McKinley.,1,0
06:05,2,Sack,-8,Sack at Ssk55 for a loss of 8 yards by Marcell Young.,1,0
05:36,3,No Yards,22,Josh Bartel punts for 37 yards to Edm18. Penalty: No Yards on Saskatchewan (Diamond Ferri) -15 yards.,1,0
05:17,1,Pass,0,Matt Nichols pass to Fred Stamps for no gain to the Edm33. Tackled by Tristan Jackson.,1,0
05:00,2,Unnecessary Roughness,25,Matt Nichols pass to Paris Jackson for 10 yards to the Edm43. Tackled by Macho Harris. Penalty: Unnecessary Roughness on Saskatchewan (Macho Harris) 15 yards.,1,0
04:21,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Andrew Jones) -5 yards.,1,0
04:15,1,Pass,-4,Matt Nichols pass to Tyler Thomas for a loss of 4 yards to the Edm49. Tackled by Rod Williams.,1,0
03:32,2,Pass,4,Matt Nichols pass to Kendial Lawrence for 4 yards to the Edm53. Tackled by Macho Harris.,1,0
03:05,3,Punt,6,Hugh O'Neill punts for 49 yards to Ssk8. Tristan Jackson return for 6 yards to Ssk14. Tackled by J.C. Sherritt.,1,0
02:39,1,Rush,9,Steven Miller rush for 9 yards to the Ssk23. Tackled by Dexter McCoil.,1,0
01:49,2,Rush,19,Steven Miller rush for 19 yards to the Ssk42. Tackled by Chris Rwabukamba.,1,0
01:12,1,Rush,8,Anthony Allen rush for 8 yards to the Ssk50. Tackled by Dexter McCoil.,1,0
00:44,2,Rush,28,Steven Miller rush for 28 yards to the Edm32. Tackled by Chris Rwabukamba.,1,0
00:01,1,Rush,4,Anthony Allen rush for 4 yards to the Edm28. Tackled by Gregory Alexandre.,1,0
15:00,2,Offside,5,Penalty: Offside on Edmonton (Dexter McCoil) 5 yards.,1,0
14:43,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan (Brendon LaBatte) -5 yards.,1,0
14:36,2,Offside,5,Penalty: Offside on Edmonton (Eddie Steele) 5 yards.,1,0
14:26,2,Rush,17,Anthony Allen rush for 17 yards to the Edm6. Tackled by Patrick Watkins.,1,0
14:02,1,Pass,5,Kerry Joseph pass to Korey Williams for 5 yards to the Edm1. Tackled by Patrick Watkins.,1,0
12:48,2,Rush,1,Kerry Joseph rush for 1 yard for a TOUCHDOWN.,1,6
12:38,0,Made Extra Point,0,Chris Milo extra point is good.,1,7
