Time,Down,Type,Yards,Details,Saskatchewan,Edmonton
15:00,0,Kickoff,20,Chris Milo kicks off to the Edm17. Kendial Lawrence return for 20 yards to Edm37. Tackled by Samuel Hurl.,0,0
14:56,1,Rush,9,John White rush for 9 yards to the Edm46. Tackled by Tyron Brackenridge.,0,0
14:25,2,Rush,25,John White rush for 25 yards to the Ssk39. Tackled by Tyron Brackenridge.,0,0
13:48,1,Pass,11,Matt Nichols pass to Calvin McCarty for 11 yards to the Ssk28. Tackled by  .,0,0
13:12,1,Pass,5,Matt Nichols pass to Adarius Bowman for 5 yards to the Ssk23. Tackled by  .,0,0
12:49,0,Holding,-10,Penalty: Holding on Edmonton (Thaddeus Coleman) -10 yards.,0,0
12:25,2,Pass,3,Matt Nichols pass to Kendial Lawrence for 3 yards to the Ssk30. Tackled by Tyron Brackenridge.,0,0
11:43,3,Missed Field Goal,37,Hugh O'Neill 37 yard field goal attempt is GOOD.,0,3
11:43,1,Rush,0,Steven Miller rush for no gain to the Ssk35. Tackled by Almondo Sewell.,0,3
11:19,2,Pass,5,Kerry Joseph pass to Anthony Allen for 5 yards to the Ssk40. Tackled by Eddie Steele.,0,3
10:40,3,Punt,4,Josh Bartel punts for 37 yards to Edm33. Kendial Lawrence return for 4 yards to Edm37. Tackled by Dylan Ainsworth.,0,3
10:15,1,Pass,-4,Matt Nichols pass to Kendial Lawrence for a loss of 4 yards to the Edm33. Tackled by Tristan Jackson.,0,3
09:43,2,Pass,8,Matt Nichols pass to John White for 8 yards to the Edm41. Tackled by  .,0,3
09:20,3,Punt,-2,Hugh O'Neill punts for 45 yards to Ssk24. Weston Dressler return for a loss of 2 yards to Ssk22. Tackled by Mike Miller.,0,3
08:55,1,Rush,1,Anthony Allen rush for 1 yard to the Ssk23. Tackled by Dexter McCoil.,0,3
08:12,2,Rush,1,Anthony Allen rush for 1 yard to the Ssk24. Tackled by Dexter McCoil.,0,3
07:39,3,Illegal Block,-8,Josh Bartel punts for 40 yards to Edm46. Kendial Lawrence return for 2 yards to Edm48. Penalty: Illegal Block on Edmonton (Patrick Watkins) -10 yards.,0,3
07:14,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for John White.,0,3
07:01,2,Sack,-9,Sack at Edm29 for a loss of 9 yards by Tyron Brackenridge.,0,3
06:31,3,Holding,52,Hugh O'Neill punts for 42 yards to Ssk39. Penalty: Holding on Saskatchewan (Dylan Ainsworth) 10 yards.,0,3
06:09,1,Rush,11,Anthony Allen rush for 11 yards to the Ssk40. Tackled by Rennie Curran.,0,3
05:34,1,Interception,15,Kerry Joseph pass intended for Rob Bagg INTERCEPTED and returned for 15 yards. Tackled by Brendon LaBatte.,0,3
05:02,1,Rush,5,John White rush for 5 yards to the Ssk34. Tackled by Tyron Brackenridge.,0,3
04:23,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Paris Jackson defensed by Terrell Maze.,0,3
03:50,3,Missed Field Goal,42,Hugh O'Neill 42 yard field goal attempt is GOOD.,0,6
03:50,1,Interception,4,Kerry Joseph pass intended for Weston Dressler INTERCEPTED and returned for 4 yards. Tackled by Korey Williams.,0,6
03:24,1,Rush,10,Kendial Lawrence rush for 10 yards to the Edm55. Tackled by Marvin Burdette.,0,6
02:52,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Adarius Bowman.,0,6
02:31,0,Roughing Passer,5,Penalty: Objectionable Conduct on Edmonton (Calvin McCarty) -10 yards. Penalty: Roughing Passer on Saskatchewan (Diamond Ferri) 15 yards.,0,6
02:00,1,Rush,5,John White rush for 5 yards to the Ssk45. Tackled by Brian Peters.,0,6
01:32,2,Rush,3,John White rush for 3 yards to the Ssk42. Tackled by David Lee.,0,6
01:03,3,Rush,7,John White rush for 7 yards to the Ssk35. Tackled by Tyron Brackenridge.,0,6
00:28,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Adarius Bowman.,0,6
00:07,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Adarius Bowman defensed by Terrell Maze.,0,6
