Time,Down,Type,Yards,Details,Toronto,Winnipeg
15:00,0,Kickoff,18,Swayze Waters kicks off to the Wpg16. Aaron Woods return for 18 yards to Wpg34. Tackled by Jermaine Gabriel.,0,0
14:55,1,Rush,1,Nic Grigsby rush for 1 yard to the Wpg35. Tackled by Delano Johnson.,0,0
14:18,2,Pass,18,Drew Willy pass to Clarence Denmark for 18 yards to the Wpg53. Tackled by Matthew Ware.,0,0
13:55,1,Pass,5,Drew Willy pass to Nic Grigsby for 5 yards to the Tor52. Tackled by Shea Emry.,0,0
13:15,2,Offside,5,Penalty: Offside on Toronto (Delano Johnson) 5 yards.,0,0
12:58,1,Pass,17,Drew Willy pass to Nick Moore for 17 yards to the Tor30. Tackled by Matt Black.,0,0
12:24,1,Rush,3,Nic Grigsby rush for 3 yards to the Tor27. Tackled by Logan Harrell.,0,0
11:26,2,Pass,27,Drew Willy pass to Aaron Kelly for 27 yards for a TOUCHDOWN.,0,6
11:17,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,0,7
11:17,0,Kickoff,28,Lirim Hajrullahu kicks off to the Tor13. Branden Smith return for 28 yards to Tor41. Tackled by Don Unamba.,0,7
11:09,1,Pass,10,Ricky Ray pass to Chad Owens for 10 yards to the Tor51. Tackled by Matt Bucknor.,0,7
10:38,1,Rush,6,Jeremiah Johnson rush for 6 yards to the Wpg53. Tackled by Greg Peach.,0,7
10:18,2,Pass,1,Ricky Ray pass to Andre Durie for 1 yard to the Wpg52. Tackled by Demond Washington.,0,7
09:37,3,No Yards,48,Swayze Waters punts for 53 yards to Wpg0. Penalty: No Yards on Toronto (Ivan Brown) -5 yards.,0,7
09:12,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark.,0,7
08:48,2,Pass,7,Drew Willy pass to Clarence Denmark for 7 yards to the Wpg22. Tackled by Matthew Ware.,0,7
08:10,3,Punt,1,Mike Renaud punts for 50 yards to Tor38. Chad Owens return for 1 yard to Tor39. Tackled by Dan West.,0,7
07:44,1,Fumble,16,"Ricky Ray pass to Andre Durie for 16 yards to the Tor55. FUMBLE, recovered by Wpg (Ejiro Kuale). Tackled by Chad Owens.",0,7
07:33,1,Pass,20,Drew Willy pass to Aaron Kelly for 20 yards to the Tor35. Tackled by Jalil Carter.,0,7
06:47,1,Rush,1,Nic Grigsby rush for 1 yard to the Tor34. Tackled by Tristan Okpalaugo.,0,7
06:09,2,Pass,15,Drew Willy pass to Rory Kohlert for 15 yards to the Tor19. Tackled by Branden Smith.,0,7
05:32,1,Rush,10,Nic Grigsby rush for 10 yards to the Tor9. Tackled by Shane Horton.,0,7
04:46,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Aaron Kelly.,0,7
04:07,2,Pass,9,Drew Willy pass to Aaron Kelly for 9 yards for a TOUCHDOWN.,0,13
04:07,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Winnipeg (Dan Knapp) -5 yards.,0,13
03:47,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,0,14
03:47,0,Kickoff,27,Lirim Hajrullahu kicks off to the Tor1. Branden Smith return for 27 yards to Tor28. Tackled by Chris Randle.,0,14
03:40,0,Holding,-10,Penalty: Holding on Toronto (John Chiles) -10 yards.,0,14
03:18,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jeremiah Johnson defensed by Johnny Sears Jr..,0,14
02:56,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles.,0,14
02:33,3,Punt,8,Swayze Waters punts for 38 yards to Wpg54. Aaron Woods return for 8 yards to Tor48. Tackled by Jake Reinhart.,0,14
02:15,1,Pass,47,Drew Willy pass to Cory Watson for 47 yards to the Tor1. Tackled by Matt Black.,0,14
01:15,1,Rush,0,Robert Marve rush for no gain to the Tor1. Tackled by Delano Johnson.,0,14
00:30,2,Rush,0,Nic Grigsby rush for no gain to the Tor1. Tackled by James Yurichuk.,0,14
00:00,3,Missed Field Goal,8,Lirim Hajrullahu 8 yard field goal attempt is GOOD.,0,17
15:00,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,0,17
14:36,2,Pass,14,Ricky Ray pass to Darvin Adams for 14 yards to the Tor49. Tackled by Chris Randle.,0,17
14:03,1,Unnecessary Roughness,-4,Ricky Ray pass to Andre Durie for 11 yards to the Wpg50. Tackled by Maurice Leggett. Penalty: Unnecessary Roughness on Toronto (Darvin Adams) -15 yards.,0,17
13:46,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Darvin Adams.,0,17
13:23,2,Pass,3,Ricky Ray pass to Jason Barnes for 3 yards to the Tor48. Tackled by Teague Sherman.,0,17
13:04,3,Punt,3,Swayze Waters punts for 55 yards to Wpg7. Aaron Woods return for 3 yards to Wpg10. Tackled by Matt Black.,0,17
12:47,1,Offside,-5,Penalty: Offside on Winnipeg (Thaddeus Gibson) -5 yards.,0,17
12:20,1,Rush,25,Nic Grigsby rush for 25 yards to the Wpg40. Tackled by Brandon Underwood.,0,17
11:52,1,Rush,3,Clarence Denmark rush for 3 yards to the Wpg43. Tackled by Jalil Carter.,0,17
11:15,2,Rush,1,Nic Grigsby rush for 1 yard to the Wpg44. Tackled by Cleyon Laing.,0,17
10:27,3,Holding,-9,Mike Renaud punts for 42 yards to Tor24. Chad Owens return for 1 yard to Tor25. Penalty: Holding on Toronto (Eric Black) -10 yards.,0,17
09:59,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Toronto (Zander Robinson) -5 yards.,0,17
09:47,1,Fumble,16,"Ricky Ray pass to Zander Robinson for 16 yards to the Tor26. FUMBLE, recovered by Tor (Zander Robinson).",0,17
09:41,1,Rush,2,Curtis Steele rush for 2 yards to the Tor28. Tackled by Maurice Leggett.,0,17
09:06,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Darvin Adams.,0,17
08:43,3,Punt,6,Swayze Waters punts for 47 yards to Wpg35. Aaron Woods return for 6 yards to Wpg41. Tackled by Matt Black.,0,17
08:23,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Nic Grigsby.,0,17
08:12,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Nick Moore.,0,17
07:52,3,Holding,54,Mike Renaud punts for 44 yards to Tor25. Penalty: Holding on Toronto (Ivan Brown) 10 yards.,0,17
07:25,1,Pass,27,Ricky Ray pass to Chad Owens for 27 yards to the Tor42. Tackled by Bruce Johnson.,0,17
06:40,1,Rush,5,Curtis Steele rush for 5 yards to the Tor47. Tackled by Johnny Sears Jr..,0,17
06:20,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,0,17
05:56,3,Punt,12,Swayze Waters punts for 59 yards to Wpg4. Aaron Woods return for 12 yards to Wpg16. Tackled by Thomas Miles.,0,17
05:37,1,Rush,1,Nic Grigsby rush for 1 yard to the Wpg17. Tackled by Delano Johnson.,0,17
05:00,2,Pass,41,Drew Willy pass to Aaron Kelly for 41 yards to the Tor52. Tackled by Brandon Underwood.,0,17
04:14,0,Unnecessary Roughness,20,Penalty: Holding on Winnipeg (Glenn January) -10 yards. Penalty: Face Mask on Toronto (Shea Emry) 15 yards. Penalty: Unnecessary Roughness on Toronto (Shea Emry) 15 yards.,0,17
03:53,1,Rush,7,Nic Grigsby rush for 7 yards to the Tor25. Tackled by Shane Horton.,0,17
02:54,2,Pass,25,Drew Willy pass to Cory Watson for 25 yards for a TOUCHDOWN.,0,23
02:54,0,Made Extra Point,0,Lirim Hajrullahu extra point is good.,0,24
02:54,0,Kickoff,77,Lirim Hajrullahu kicks off to the Tor7. Branden Smith return for 77 yards to Wpg26. Tackled by Demond Washington.,0,24
02:43,1,Pass,9,Ricky Ray pass to Chad Owens for 9 yards to the Wpg17. Tackled by Bruce Johnson.,0,24
02:39,2,Rush,3,Mitchell Gale rush for 3 yards to the Wpg14. Tackled by Matt Bucknor.,0,24
02:06,1,Pass,14,Ricky Ray pass to Jason Barnes for 14 yards for a TOUCHDOWN.,6,24
02:06,0,Made Extra Point,0,Swayze Waters extra point is good.,7,24
02:06,0,Kickoff,23,Swayze Waters kicks off to the Wpg6. Aaron Woods return for 23 yards to Wpg29. Tackled by Brandon Underwood.,7,24
02:01,1,Rush,3,Nic Grigsby rush for 3 yards to the Wpg32. Tackled by Thaddeus Gibson.,7,24
01:56,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Aaron Kelly.,7,24
01:35,3,Illegal Block,53,Mike Renaud punts for 43 yards to Tor35. Penalty: Illegal Block on Toronto (Ivan Brown) 10 yards.,7,24
01:25,1,Pass,15,Ricky Ray pass to Andre Durie for 15 yards to the Tor40. Tackled by Ian Wild.,7,24
01:10,1,Pass,5,Ricky Ray pass to Chad Owens for 5 yards to the Tor45. Tackled by Ejiro Kuale.,7,24
01:00,2,Sack,-7,Sack at Tor38 for a loss of 7 yards by Jason Vega.,7,24
00:46,3,Punt,25,Swayze Waters punts for 55 yards to Wpg17. Aaron Woods return for 25 yards to Wpg42. Tackled by James Yurichuk.,7,24
00:15,1,Pass,15,Drew Willy pass to Nick Moore for 15 yards to the Tor53. Tackled by Jalil Carter.,7,24
