Time,Down,Type,Yards,Details,Saskatchewan,Toronto
15:00,0,Kickoff,8,Chris Milo kicks off to the Tor20. Branden Smith return for 8 yards to Tor28. Tackled by Tristan Jackson.,0,0
14:54,1,Pass,7,Ricky Ray pass to Jason Barnes for 7 yards to the Tor35. Tackled by Rod Williams.,0,0
14:24,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Andre Durie.,0,0
14:01,3,Punt,7,Swayze Waters punts for 44 yards to Ssk31. Marshay Green return for 7 yards to Ssk38. Tackled by James Yurichuk.,0,0
13:39,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith defensed by Vincent Agnew.,0,0
13:22,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Anthony Allen.,0,0
12:59,3,No Yards,38,Josh Bartel punts for 43 yards to Tor29. Penalty: No Yards on Saskatchewan (Paul Woldu) -5 yards.,0,0
12:33,1,Pass,17,Ricky Ray pass to Anthony Coombs for 17 yards to the Tor51. Tackled by Macho Harris.,0,0
12:18,1,Rush,5,Andre Durie rush for 5 yards to the Ssk54. Tackled by Samuel Hurl.,0,0
11:52,2,Rush,9,Ricky Ray rush for 9 yards to the Ssk45.,0,0
11:15,1,Pass,36,Ricky Ray pass to John Chiles for 36 yards to the Ssk9. Tackled by Tyron Brackenridge.,0,0
10:22,1,Pass,8,Ricky Ray pass to Jason Barnes for 8 yards to the Ssk1. Tackled by Tristan Jackson.,0,0
09:44,2,Rush,1,Curtis Steele rush for 1 yard for a TOUCHDOWN.,0,6
09:31,0,Made Extra Point,0,Swayze Waters extra point is good.,0,7
09:31,0,Kickoff,28,Swayze Waters kicks off to the Ssk3. Marshay Green return for 28 yards to Ssk31. Tackled by Curtis Steele.,0,7
09:23,1,Rush,19,Anthony Allen rush for 19 yards to the Ssk50. Tackled by Jermaine Gabriel.,0,7
08:54,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Ryan Smith defensed by Tristan Okpalaugo.,0,7
08:33,2,Offside,5,Penalty: Offside on Toronto (Tristan Okpalaugo) 5 yards.,0,7
08:12,2,Pass,15,Darian Durant pass to   for 15 yards to the Tor40. Tackled by Brandon Underwood.,0,7
07:39,1,Rush,5,Anthony Allen rush for 5 yards to the Tor35. Tackled by Antwaun Molden.,0,7
06:49,2,Offside,5,Penalty: Offside on Toronto (Logan Harrell) 5 yards.,0,7
06:31,1,Interception,0,Darian Durant pass intended for Brett Swain INTERCEPTED. No return. Tackled by Brett Swain.,0,7
06:20,1,Pass,5,Ricky Ray pass to Chad Owens for 5 yards to the Tor6. Tackled by Weldon Brown.,0,7
06:04,2,Pass,9,Ricky Ray pass to Andre Durie for 9 yards to the Tor15. Tackled by Trevor Guyton.,0,7
05:34,1,Rush,3,Ricky Ray rush for 3 yards to the Tor18.,0,7
05:04,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,0,7
04:43,3,Punt,4,Swayze Waters punts for 41 yards to Ssk51. Marshay Green return for 4 yards to Ssk55. Tackled by Brendan Gillanders.,0,7
04:26,1,Rush,3,Anthony Allen rush for 3 yards to the Tor52. Tackled by Jalil Carter.,0,7
04:01,2,Rush,8,Darian Durant rush for 8 yards to the Tor44.,0,7
03:28,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan (Dominic Picard) -5 yards.,0,7
03:09,1,Pass,7,Darian Durant pass to Anthony Allen for 7 yards to the Tor42. Tackled by Shea Emry.,0,7
02:43,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,0,7
02:18,3,Punt,0,Josh Bartel punts for 32 yards to Tor10. No return.,0,7
02:10,1,Pass,34,Ricky Ray pass to Andre Durie for 34 yards to the Tor44. Tackled by Derek Walker.,0,7
01:19,1,Rush,5,Curtis Steele rush for 5 yards to the Tor49. Tackled by John Chick.,0,7
00:58,2,Pass,49,Ricky Ray pass to Chad Owens for 49 yards to the Ssk12. Tackled by Terrell Maze.,0,7
00:01,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles.,0,7
15:00,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,0,7
14:34,3,Missed Field Goal,19,Swayze Waters 19 yard field goal attempt is GOOD.,0,10
14:34,1,Rush,13,Anthony Allen rush for 13 yards to the Ssk48. Tackled by Jermaine Gabriel.,0,10
13:55,1,Fumble,1,"Anthony Allen rush for 1 yard to the Ssk49. FUMBLE, recovered by Tor (Tristan Okpalaugo). Tackled by Brendon LaBatte.",0,10
13:35,1,Rush,4,Anthony Coombs rush for 4 yards to the Ssk45. Tackled by Rod Williams.,0,10
13:15,2,Pass,10,Ricky Ray pass to John Chiles for 10 yards to the Ssk35. Tackled by Terrell Maze.,0,10
12:40,1,Pass,21,Ricky Ray pass to Chad Owens for 21 yards to the Ssk14. Tackled by Tyron Brackenridge.,0,10
11:34,1,Pass,14,Ricky Ray pass to Chad Owens for 14 yards for a TOUCHDOWN.,0,16
11:20,0,Made Extra Point,0,Swayze Waters extra point is good.,0,17
11:20,0,Kickoff,22,Swayze Waters kicks off to the Ssk5. Marshay Green return for 22 yards to Ssk27. Tackled by Curtis Steele.,0,17
11:13,1,Pass,10,Darian Durant pass to Scott McHenry for 10 yards to the Ssk37. Tackled by Brandon Underwood.,0,17
10:36,2,Rush,4,Neal Hughes rush for 4 yards to the Ssk41. Tackled by Logan Harrell.,0,17
10:05,1,Sack,-9,Sack at Ssk32 for a loss of 9 yards by Thaddeus Gibson.,0,17
09:30,2,Pass,12,Darian Durant pass to Ryan Smith for 12 yards to the Ssk44. Tackled by Brandon Underwood.,0,17
09:01,3,Punt,9,Josh Bartel punts for 44 yards to Tor22. Chad Owens return for 9 yards to Tor31. Tackled by David Lee.,0,17
08:34,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Mike Bradwell.,0,17
08:21,2,Sack,-3,Sack at Tor28 for a loss of 3 yards by John Chick.,0,17
07:44,3,Punt,8,Swayze Waters punts for 52 yards to Ssk30. Marshay Green return for 8 yards to Ssk38. Tackled by Darvin Adams.,0,17
07:27,1,Rush,7,Neal Hughes rush for 7 yards to the Ssk45. Tackled by Aston Whiteside.,0,17
06:54,2,Pass,10,Darian Durant pass to Taj Smith for 10 yards to the Ssk55. Tackled by Vincent Agnew.,0,17
06:31,1,Pass,27,Darian Durant pass to Brett Swain for 27 yards to the Tor28. Tackled by Brandon Underwood.,0,17
06:12,1,Incomplete Pass,0,Darian Durant incomplete pass intended for   defensed by Jermaine Gabriel.,0,17
05:51,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Brett Swain.,0,17
05:01,3,Field Goal Single,8,40 yard field goal attempt by Chris Milo is NO GOOD.  Missed field goal returned by Chad Owens to the Tor0. Tackled by Levi Steinhauer (Single).,1,17
05:01,1,Rush,8,Curtis Steele rush for 8 yards to the Tor43. Tackled by Weldon Brown.,1,17
04:27,2,Rush,7,Curtis Steele rush for 7 yards to the Tor50. Tackled by Brian Peters.,1,17
03:50,1,Rush,-2,Curtis Steele rush for a loss of 2 yards to the Tor48. Tackled by John Chick.,1,17
02:58,2,Offside,-5,Penalty: Offside on Toronto (Anthony Coombs) -5 yards.,1,17
02:52,2,Pass,15,Ricky Ray pass to Chad Owens for 15 yards to the Ssk52. Tackled by Tyron Brackenridge.,1,17
02:35,3,Punt,4,Swayze Waters punts for 38 yards to Ssk14. Marshay Green return for 4 yards to Ssk18. Tackled by James Yurichuk.,1,17
02:17,1,Rush,6,Neal Hughes rush for 6 yards to the Ssk24. Tackled by Shea Emry.,1,17
02:04,0,Roughing Passer,5,Penalty: Holding on Saskatchewan (Xavier Fulton) -10 yards. Penalty: Roughing Passer on Toronto (Shea Emry) 15 yards.,1,17
01:48,1,Pass,8,Darian Durant pass to Scott McHenry for 8 yards to the Ssk37. Tackled by Vincent Agnew.,1,17
01:41,2,Incomplete Pass,0,Darian Durant incomplete pass intended for  .,1,17
01:18,3,Illegal Block,-3,Josh Bartel punts for 50 yards to Tor23. Chad Owens return for 7 yards to Tor30. Penalty: Illegal Block on Toronto (Brendan Gillanders) -10 yards.,1,17
01:08,1,Rush,7,Anthony Coombs rush for 7 yards to the Tor27. Tackled by Dwight Anderson.,1,17
00:55,2,Pass,19,Ricky Ray pass to Spencer Watt for 19 yards to the Tor46. Tackled by Rod Williams.,1,17
00:37,1,Pass,4,Ricky Ray pass to Spencer Watt for 4 yards to the Tor50. Tackled by Terrell Maze.,1,17
00:17,2,Pass,7,Ricky Ray pass to Andre Durie for 7 yards to the Ssk53. Tackled by Samuel Hurl.,1,17
00:04,1,Fumble,30,"Ricky Ray pass to Spencer Watt for 30 yards to the Ssk23. FUMBLE, recovered by Ssk (Weldon Brown). Tackled by Jason Barnes.",1,17
15:00,0,Kickoff,24,Swayze Waters kicks off to the Ssk24. Marshay Green return for 24 yards to Ssk48. Tackled by Vincent Agnew.,1,17
14:55,1,Rush,5,Anthony Allen rush for 5 yards to the Ssk41. Tackled by Aston Whiteside.,1,17
14:15,2,Pass,3,Darian Durant pass to Anthony Allen for 3 yards to the Ssk44. Tackled by Vincent Agnew.,1,17
13:46,3,Punt,5,Josh Bartel punts for 56 yards to Tor10. Chad Owens return for 5 yards to Tor15. Tackled by Shomari Williams.,1,17
13:30,1,Pass,6,Ricky Ray pass to Alexandre Dupuis for 6 yards to the Tor21. Tackled by Terrell Maze.,1,17
13:00,2,Pass,10,Ricky Ray pass to Jason Barnes for 10 yards to the Tor31. Tackled by Tristan Jackson.,1,17
12:29,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Darvin Adams defensed by Dwight Anderson.,1,17
12:06,2,Roughing Passer,20,Ricky Ray pass to Andre Durie for 5 yards to the Tor36. Tackled by Samuel Hurl. Penalty: Roughing Passer on Saskatchewan (Ricky Foley) 15 yards.,1,17
11:39,1,Rush,28,Anthony Coombs rush for 28 yards to the Ssk31. Tackled by Tyron Brackenridge.,1,17
11:24,1,Pass,12,Ricky Ray pass to Chad Owens for 12 yards to the Ssk19. Tackled by Tyron Brackenridge.,1,17
10:51,1,Pass,5,Ricky Ray pass to Chad Owens for 5 yards to the Ssk14. Tackled by Tristan Jackson.,1,17
