Time,Down,Type,Yards,Details,Toronto,Ottawa
15:00,0,Kickoff,19,Brett Maher kicks off to the Tor16. Terrell Sinkfield return for 19 yards to Tor35. Tackled by Justin Capicciotti.,0,0
14:45,1,Pass,7,Ricky Ray pass to Anthony Coombs for 7 yards to the Tor42. Tackled by T.J. Hill.,0,0
14:11,2,Pass,8,Ricky Ray pass to Anthony Coombs for 8 yards to the Tor50. Tackled by T.J. Hill.,0,0
13:35,1,Pass,4,Ricky Ray pass to Darvin Adams for 4 yards to the Tor54. Tackled by T.J. Hill.,0,0
13:15,2,Pass,5,Ricky Ray pass to Anthony Coombs for 5 yards to the Ott51. Tackled by Brandyn Thompson.,0,0
12:30,3,Rush,2,Mitchell Gale rush for 2 yards to the Ott49. Tackled by Jonathan Williams.,0,0
11:46,1,Rush,9,Curtis Steele rush for 9 yards to the Ott40. Tackled by Seth Williams.,0,0
11:15,2,Rush,1,Mitchell Gale rush for 1 yard to the Ott39. Tackled by Jonathan Williams.,0,0
10:59,0,Too Many Men on Field,10,Penalty: Too Many Men on Field on Ottawa 10 yards.,0,0
10:37,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles defensed by Jerrell Gavins.,0,0
10:14,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Darvin Adams.,0,0
09:47,3,Missed Field Goal,36,Swayze Waters 36 yard field goal attempt is GOOD.,3,0
09:47,0,Kickoff,21,Swayze Waters kicks off to the Ott12. Chevon Walker return for 21 yards to Ott33. Tackled by Anthony Woodson.,3,0
09:36,1,Rush,2,Chevon Walker rush for 2 yards to the Ott35. Tackled by Tristan Okpalaugo.,3,0
09:08,2,Offside,-5,Penalty: Offside on Ottawa (Carlton Mitchell) -5 yards.,3,0
08:46,2,Pass,9,Henry Burris pass to Kierrie Johnson for 9 yards to the Ott39. Tackled by Jalil Carter.,3,0
08:24,3,Illegal Block,64,Brett Maher punts for 57 yards to Tor14. Penalty: Illegal Block on Toronto (Anthony Woodson) 7 yards.,3,0
08:06,1,Rush,3,Ricky Ray rush for 3 yards to the Tor10. Tackled by Jasper Simmons.,3,0
07:49,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Anthony Coombs.,3,0
07:42,3,Punt,13,Swayze Waters punts for 54 yards to Ott46. Jovon Johnson return for 13 yards to Tor51. Tackled by Shane Horton.,3,0
07:05,1,Rush,5,Chevon Walker rush for 5 yards to the Tor46. Tackled by Shea Emry.,3,0
06:40,2,Pass,10,Henry Burris pass to Chevon Walker for 10 yards to the Tor36. Tackled by Nicholas Williams.,3,0
05:41,0,Roughing Passer,15,Penalty: Roughing Passer on Toronto (Logan Harrell) 15 yards.,3,0
05:20,1,Rush,2,Chevon Walker rush for 2 yards to the Tor19.,3,0
05:04,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Kierrie Johnson.,3,0
04:20,3,Missed Field Goal,26,Brett Maher 26 yard field goal attempt is GOOD.,3,3
04:20,0,Kickoff,23,Brett Maher kicks off to the Tor8. Terrell Sinkfield return for 23 yards to Tor31. Tackled by Carlton Mitchell.,3,3
04:12,1,Rush,5,Curtis Steele rush for 5 yards to the Tor36. Tackled by Justin Capicciotti.,3,3
03:43,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles.,3,3
03:20,3,Punt,8,Swayze Waters punts for 34 yards to Ott40. Jovon Johnson return for 8 yards to Ott48. Tackled by Curtis Steele.,3,3
03:06,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Kierrie Johnson.,3,3
02:42,2,Rush,0,Henry Burris rush for no gain to the Ott48. Tackled by Tristan Okpalaugo.,3,3
02:06,3,Punt,5,Brett Maher punts for 52 yards to Tor10. Branden Smith return for 5 yards to Tor15. Tackled by  .,3,3
01:56,1,Pass,20,Ricky Ray pass to Steve Slaton for 20 yards to the Tor35. Tackled by Seth Williams.,3,3
01:33,1,Rush,6,Terrell Sinkfield rush for 6 yards to the Tor41. Tackled by Travis Brown.,3,3
00:50,2,Pass,14,Ricky Ray pass to Steve Slaton for 14 yards to the Tor55. Tackled by Jasper Simmons.,3,3
00:14,0,Holding,-10,Penalty: Holding on Toronto (Alexandre Dupuis) -10 yards.,3,3
00:01,1,Pass,14,Ricky Ray pass to Terrell Sinkfield for 14 yards to the Ott51. Tackled by Jerrell Gavins.,3,3
15:00,2,Rush,1,Ricky Ray rush for 1 yard to the Ott50. Tackled by John Delahunt.,3,3
14:20,3,Punt Single,0,Swayze Waters punts for 65 yards to Ott0. No return (Single).,4,3
14:10,1,Offside,-5,Penalty: Offside on Ottawa (Dobson Collins) -5 yards.,4,3
13:53,0,Illegal Block,-10,Penalty: Illegal Block on Ottawa (Jon Gott) -10 yards.,4,3
13:28,0,Unnecessary Roughness,15,Penalty: Unnecessary Roughness on Toronto (Dwight Anderson) 15 yards.,4,3
13:06,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry.,4,3
12:52,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Dobson Collins.,4,3
12:30,3,Rush,15,Brett Maher rush for 15 yards to the Ott50.,4,3
12:18,1,Pass,19,Henry Burris pass to Kierrie Johnson for 19 yards to the Tor41. Tackled by Jermaine Gabriel.,4,3
12:10,1,Rush,-4,Chevon Walker rush for a loss of 4 yards to the Tor45. Tackled by Shane Horton.,4,3
11:01,2,Offside,5,Penalty: Offside on Toronto (Tristan Okpalaugo) 5 yards.,4,3
10:31,2,Pass,18,Henry Burris pass to Marcus Henry for 18 yards to the Tor22. Tackled by Jermaine Gabriel.,4,3
09:59,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Marcus Henry defensed by Jalil Carter.,4,3
09:28,2,Pass,0,Henry Burris pass to Chevon Walker for no gain to the Tor22. Tackled by Jamie Robinson.,4,3
08:36,3,Missed Field Goal,30,Brett Maher 30 yard field goal attempt is GOOD.,4,6
08:36,1,Pass,45,Ricky Ray pass to Darvin Adams for 45 yards to the Ott30. Tackled by Jerrell Gavins.,4,6
08:01,1,Sack,-3,Sack at Ott33 for a loss of 3 yards by Justin Capicciotti.,4,6
07:08,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Terrell Sinkfield defensed by T.J. Hill.,4,6
06:41,3,Missed Field Goal,40,Swayze Waters 40 yard field goal attempt is GOOD.,7,6
06:41,0,Kickoff,20,Swayze Waters kicks off to the Ott5. Chevon Walker return for 20 yards to Ott25. Tackled by Shane Horton.,7,6
06:33,0,Illegal Contact,10,Penalty: Illegal Contact on Toronto (Tristan Okpalaugo) 10 yards.,7,6
06:05,1,Sack,-1,Sack at Ott34 for a loss of 1 yard by Tristan Okpalaugo.,7,6
05:23,2,Sack,-7,Sack at Ott27 for a loss of 7 yards by Jamie Robinson.,7,6
04:40,3,Illegal Block,-8,Brett Maher punts for 55 yards to Tor28. Curtis Steele return for 2 yards to Tor30. Penalty: Illegal Block on Toronto -10 yards.,7,6
04:22,1,Pass,10,Ricky Ray pass to Curtis Steele for 10 yards to the Tor30. Tackled by Eric Fraser.,7,6
03:55,1,Rush,6,Anthony Coombs rush for 6 yards to the Tor36. Tackled by Jonathan Williams.,7,6
03:10,2,Rush,9,Ricky Ray rush for 9 yards to the Tor45.,7,6
03:00,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Darvin Adams.,7,6
02:48,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Anthony Coombs.,7,6
02:43,3,Punt,2,Swayze Waters punts for 46 yards to Ott19. Jovon Johnson return for 2 yards to Ott21.,7,6
02:36,1,Rush,12,Henry Burris rush for 12 yards to the Ott33. Tackled by Shane Horton.,7,6
02:27,1,Pass,16,Henry Burris pass to Marcus Henry for 16 yards to the Ott49. Tackled by Jalil Carter.,7,6
02:16,1,Rush,9,Chevon Walker rush for 9 yards to the Tor52. Tackled by Shea Emry.,7,6
01:48,2,Rush,1,Chevon Walker rush for 1 yard to the Tor51. Tackled by Cleyon Laing.,7,6
01:31,3,Rush,2,Henry Burris rush for 2 yards to the Tor49. Tackled by Brandon Underwood.,7,6
01:19,0,Pass Interference,34,Penalty: Pass Interference on Toronto (Dwight Anderson) 34 yards.,7,6
00:57,1,Pass,3,Henry Burris pass to Kierrie Johnson for 3 yards to the Tor12. Tackled by Shane Horton.,7,6
00:39,2,Sack,-3,Sack at Tor15 for a loss of 3 yards by Cleyon Laing.,7,6
00:04,3,Missed Field Goal,22,Brett Maher 22 yard field goal attempt is GOOD.,7,9
15:00,0,Kickoff OOB,30,Swayze Waters kicks off to the Ott34. Penalty: Kickoff OOB on Toronto (Swayze Waters) -11 yards.,7,9
14:59,0,Holding,-10,Penalty: Holding on Ottawa (Scott MacDonell) -10 yards.,7,9
14:32,1,Sack,-5,Sack at Ott30 for a loss of 5 yards by Tristan Okpalaugo.,7,9
13:47,2,Rush,8,Henry Burris rush for 8 yards to the Ott38. Tackled by Brandon Underwood.,7,9
13:22,3,Punt,8,Brett Maher punts for 50 yards to Tor22. Branden Smith return for 8 yards to Tor30. Tackled by Andrew Marshall.,7,9
13:03,1,Pass,8,Ricky Ray pass to Spencer Watt for 8 yards to the Tor38. Tackled by Seth Williams.,7,9
12:27,2,Fumble,11,"Curtis Steele rush for 11 yards to the Tor49. FUMBLE, recovered by Ott (Jovon Johnson). Tackled by SirVincent Rogers.",7,9
11:45,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Chevon Walker.,7,9
11:37,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Kierrie Johnson.,7,9
11:12,3,No Yards,23,Brett Maher punts for 38 yards to Tor11. Penalty: No Yards on Ottawa -15 yards.,7,9
10:56,1,Pass,9,Ricky Ray pass to Anthony Coombs for 9 yards to the Tor35. Tackled by T.J. Hill.,7,9
10:11,2,Rush,1,Steve Slaton rush for 1 yard to the Tor36. Tackled by Travis Brown.,7,9
09:42,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Darvin Adams.,7,9
09:18,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Anthony Coombs.,7,9
08:55,3,Punt,2,Swayze Waters punts for 41 yards to Ott33. Jovon Johnson return for 2 yards to Ott35. Tackled by Jake Reinhart.,7,9
08:45,1,Rush,0,Chevon Walker rush for no gain to the Ott35. Tackled by Shane Horton.,7,9
08:12,2,Sack,-9,Sack at Ott26 for a loss of 9 yards by Tristan Okpalaugo.,7,9
07:29,3,Punt,9,Brett Maher punts for 55 yards to Tor29. Branden Smith return for 9 yards to Tor38. Tackled by Antoine Pruneau.,7,9
07:21,1,Pass,8,Ricky Ray pass to John Chiles for 8 yards to the Tor46. Tackled by Antoine Pruneau.,7,9
