Time,Down,Type,Yards,Details,Toronto,Edmonton
15:00,0,Kickoff,13,Grant Shaw kicks off to the Tor11. Terrell Sinkfield return for 13 yards to Tor24. Tackled by Deon Lacey.,0,0
14:55,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Spencer Watt.,0,0
14:35,2,Pass,13,Ricky Ray pass to Chad Owens for 13 yards to the Tor37. Tackled by Rennie Curran.,0,0
13:49,1,Sack,-6,Sack at Tor31 for a loss of 6 yards by Eddie Steele.,0,0
13:18,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens defensed by Eddie Steele.,0,0
12:56,3,Punt,8,Swayze Waters punts for 49 yards to Edm30. A.J. Guyton return for 8 yards to Edm38. Tackled by Gregory Jones.,0,0
12:39,0,Unnecessary Roughness,10,FUMBLE Sack at Edm38 for no gain by Shane Horton.  Penalty: Unnecessary Roughness on Toronto (Cleyon Laing) 15 yards,0,0
12:11,1,Pass,12,Mike Reilly pass to Adarius Bowman for 12 yards to the Tor50. Tackled by Dwight Anderson.,0,0
11:52,1,Pass,-2,Matt Nichols pass to Calvin McCarty for a loss of 2 yards to the Tor52. Tackled by Dwight Anderson.,0,0
11:16,2,Interception,0,Matt Nichols pass INTERCEPTED. No return. Tackled by Selvish Capers.,0,0
10:54,1,Rush,3,Curtis Steele rush for 3 yards to the Edm52. Tackled by Rennie Curran.,0,0
10:30,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Spencer Watt.,0,0
10:09,3,Punt,3,Swayze Waters punts for 45 yards to Edm7. A.J. Guyton return for 3 yards to Edm10. Tackled by Gregory Jones.,0,0
09:52,1,Pass,4,Matt Nichols pass to Adarius Bowman for 4 yards to the Edm14. Tackled by Dwight Anderson.,0,0
09:24,2,Pass,12,Matt Nichols pass to Adarius Bowman for 12 yards to the Edm26. Tackled by Jalil Carter.,0,0
08:59,1,Rush,7,Kendial Lawrence rush for 7 yards to the Edm33. Tackled by Jermaine Gabriel.,0,0
08:11,2,Pass,7,Matt Nichols pass to Adarius Bowman for 7 yards to the Edm40. Tackled by Jalil Carter.,0,0
07:53,1,Rush,2,Tyler Thomas rush for 2 yards to the Edm42. Tackled by Tristan Okpalaugo.,0,0
07:27,0,Illegal Contact,0,Penalty: Holding on Edmonton (Andrew Jones) -10 yards. Penalty: Illegal Contact on Toronto (Branden Smith) 10 yards.,0,0
06:58,2,Fumble,15,"Matt Nichols pass to Devon Bailey for 7 yards to the Edm49. FUMBLE, recovered by Tor (Brandon Underwood) and returned for 8 yards. Tackled by Devon Bailey.",0,0
06:34,1,Rush,6,Curtis Steele rush for 6 yards to the Edm35. Tackled by Eddie Steele.,0,0
06:00,2,Pass,4,Ricky Ray pass to Curtis Steele for 4 yards to the Edm31. Tackled by Eddie Steele.,0,0
05:23,1,Rush,5,Curtis Steele rush for 5 yards to the Edm26. Tackled by Rennie Curran.,0,0
04:53,2,Pass,7,Ricky Ray pass to Jason Barnes for 7 yards to the Edm19. Tackled by Aaron Grymes.,0,0
04:11,1,Rush,2,Curtis Steele rush for 2 yards to the Edm17. Tackled by Otha Foster.,0,0
03:14,2,Pass,17,Ricky Ray pass to Jason Barnes for 17 yards for a TOUCHDOWN.,6,0
02:59,0,Made Extra Point,0,Swayze Waters extra point is good.,7,0
02:59,0,Kickoff,23,Swayze Waters kicks off to the Edm7. Kendial Lawrence return for 23 yards to Edm30. Tackled by Ivan Brown.,7,0
02:52,1,Pass,14,Matt Nichols pass to Calvin McCarty for 14 yards to the Edm44. Tackled by Jalil Carter.,7,0
02:19,1,Offside,5,Penalty: Offside on Toronto (Cleyon Laing) 5 yards.,7,0
01:30,1,Rush,61,Kendial Lawrence rush for 61 yards for a TOUCHDOWN.,7,6
01:21,0,Made Extra Point,0,Grant Shaw extra point is good.,7,7
01:19,0,Kickoff,12,Grant Shaw kicks off to the Tor13. Terrell Sinkfield return for 12 yards to Tor25. Tackled by Nate Coehoorn.,7,7
01:15,1,Rush,1,Curtis Steele rush for 1 yard to the Tor26. Tackled by Patrick Watkins.,7,7
00:30,0,Holding,-10,Penalty: Holding on Toronto ( ) -10 yards.,7,7
00:01,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,7,7
15:00,3,Punt,8,Swayze Waters punts for 41 yards to Edm53. Eric Samuels return for 8 yards to Tor49. Tackled by Jeremiah Johnson.,7,7
14:44,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Devon Bailey.,7,7
14:31,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Adarius Bowman.,7,7
14:10,3,Punt,0,Grant Shaw punts for 31 yards to Tor18. No return.,7,7
13:53,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,7,7
13:42,2,Rush,15,Ricky Ray rush for 15 yards to the Tor33. Tackled by Rennie Curran.,7,7
13:00,1,Rush,4,Curtis Steele rush for 4 yards to the Tor37. Tackled by Dexter McCoil.,7,7
12:20,2,Interception,2,Ricky Ray pass intended for Jason Barnes INTERCEPTED and returned for 2 yards. Tackled by Jason Barnes.,7,7
11:48,1,Pass,48,Matt Nichols pass to A.J. Guyton for 48 yards for a TOUCHDOWN.,7,13
11:30,0,Made Extra Point,0,Grant Shaw extra point is good.,7,14
11:30,0,Kickoff,23,Grant Shaw kicks off to the Tor5. Terrell Sinkfield return for 23 yards to Tor28. Tackled by J.C. Sherritt.,7,14
11:23,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens defensed by Marcell Young.,7,14
10:53,2,Sack,-7,Sack at Tor21 for a loss of 7 yards by Almondo Sewell.,7,14
10:24,3,Punt,11,Swayze Waters punts for 56 yards to Edm33. A.J. Guyton return for 11 yards to Edm44. Tackled by Gregory Jones.,7,14
10:06,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Adarius Bowman.,7,14
09:48,0,Pass Interference,14,Penalty: Pass Interference on Toronto (Jalil Carter) 14 yards.,7,14
09:15,1,Rush,9,Tyler Thomas rush for 9 yards to the Tor43. Tackled by Jermaine Gabriel.,7,14
09:05,2,Rush,6,Matt Nichols rush for 6 yards to the Tor37. Tackled by Shea Emry.,7,14
08:38,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Nate Coehoorn.,7,14
08:28,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Kendial Lawrence.,7,14
08:11,3,Time Count,-5,Penalty: Time Count on Edmonton (Matt Nichols) -5 yards.,7,14
07:44,3,Missed Field Goal,49,Grant Shaw 49 yard field goal attempt is GOOD.,7,17
07:44,1,Rush,5,Curtis Steele rush for 5 yards to the Tor40. Tackled by Marcell Young.,7,17
07:06,0,Face Mask,15,Penalty: Face Mask on Edmonton (Alonzo Lawrence) 15 yards.,7,17
06:12,0,Lateral,18,Ricky Ray pass intended for Chad Owens INTERCEPTED and returned for 18 yards Lateral for a TOUCHDOWN,7,23
06:06,0,Made Extra Point,0,Grant Shaw extra point is good.,7,24
06:06,0,Kickoff,11,Grant Shaw kicks off to the Tor17. Terrell Sinkfield return for 11 yards to Tor28. Tackled by Mike Miller.,7,24
05:59,1,Sack,-2,Sack at Tor26 for a loss of 2 yards by Gregory Alexandre.,7,24
05:18,2,Rush,-1,Curtis Steele rush for a loss of 1 yard to the Tor25. Tackled by Cameron Sheffield.,7,24
04:48,3,Punt,-8,Swayze Waters punts for 53 yards to Edm32. A.J. Guyton return for a loss of 8 yards to Edm24. Tackled by Shane Horton.,7,24
04:29,1,Rush,6,Kendial Lawrence rush for 6 yards to the Edm30. Tackled by Jermaine Gabriel.,7,24
03:52,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Nate Coehoorn defensed by Tristan Okpalaugo.,7,24
03:31,3,Holding,59,Grant Shaw punts for 49 yards to Tor31. Penalty: Holding on Toronto (Brendan Gillanders) 10 yards.,7,24
03:08,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Darvin Adams.,7,24
02:47,2,Sack,-13,Sack at Tor8 for a loss of 13 yards by Odell Willis.,7,24
02:27,3,Punt,11,Swayze Waters punts for 57 yards to Edm45. A.J. Guyton return for 11 yards to Tor54. Tackled by Jeremiah Johnson.,7,24
02:16,1,Rush,0,Matt Nichols rush for no gain to the Tor54. Tackled by Shane Horton.,7,24
02:12,2,Pass,20,Matt Nichols pass to Adarius Bowman for 20 yards to the Tor34. Tackled by Jalil Carter.,7,24
01:59,2,Rush,6,Pat White rush for 6 yards to the Tor28. Tackled by Branden Smith.,7,24
01:38,2,Rush,8,A.J. Guyton rush for 8 yards to the Tor20. Tackled by Jalil Carter.,7,24
01:32,1,Incomplete Pass,0,Pat White incomplete pass intended for Devon Bailey.,7,24
01:27,2,Pass,15,Matt Nichols pass to Kendial Lawrence for 15 yards to the Tor5. Tackled by Dwight Anderson.,7,24
01:03,1,Rush,5,Pat White rush for 5 yards for a TOUCHDOWN.,7,30
01:03,0,Objectionable Conduct,10,Grant Shaw extra point is good. Penalty: Objectionable Conduct on Toronto (Dwight Anderson) 10 yards.,7,31
01:02,0,Kickoff,35,Grant Shaw kicks off to the Tor1. Terrell Sinkfield return for 35 yards to Tor36. Tackled by Otha Foster.,7,31
00:55,1,Pass,14,Ricky Ray pass to Mike Bradwell for 14 yards to the Tor50.,7,31
00:48,1,Pass,8,Ricky Ray pass to Chad Owens for 8 yards to the Edm52. Tackled by Marcell Young.,7,31
00:43,0,Rush,6,"FUMBLE Curtis Steele rush for 6 yards to the Edm46., recovered by Tor (Jason Barnes).",7,31
00:35,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Darvin Adams.,7,31
