Time,Down,Type,Yards,Details,Toronto,BC
15:00,0,Kickoff,23,Swayze Waters kicks off to the BC6. Tim Brown return for 23 yards to BC29. Tackled by Vincent Agnew.,0,0
14:53,0,Pass Interference,40,Penalty: Pass Interference on Toronto (Branden Smith) 40 yards.,0,0
14:32,1,Rush,5,Andrew Harris rush for 5 yards to the Tor36. Tackled by Shea Emry.,0,0
13:58,2,Rush,13,Kevin Glenn rush for 13 yards to the Tor23. Tackled by Aston Whiteside.,0,0
13:20,0,Too Many Men on Field,-10,Penalty: Too Many Men on Field on BC -10 yards.,0,0
13:20,0,Illegal Contact,10,Penalty: Illegal Contact on Toronto (Gregory Jones) 10 yards.,0,0
13:09,1,Interception,0,Kevin Glenn pass intended for Bryan Burnham INTERCEPTED. No return. Tackled by Bryan Burnham.,0,0
12:46,1,Pass,9,Ricky Ray pass to Chad Owens for 9 yards to the Tor15. Tackled by Cord Parks.,0,0
12:33,2,Rush,21,Curtis Steele rush for 21 yards to the Tor36. Tackled by J.R. LaRose.,0,0
12:08,1,Pass,9,Ricky Ray pass to Chad Owens for 9 yards to the Tor45. Tackled by Dante Marsh.,0,0
11:49,2,Rush,2,Ricky Ray rush for 2 yards to the Tor47. Tackled by Solomon Elimimian.,0,0
11:19,1,Rush,5,Chad Owens rush for 5 yards to the Tor52. Tackled by Adam Bighill.,0,0
10:43,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,0,0
10:04,3,Punt Single,0,Swayze Waters punts for 65 yards to BC0. No return (Single).,1,0
10:04,1,Pass,-1,Kevin Glenn pass to Emmanuel Arceneaux for a loss of 1 yard to the BC34. Tackled by Jermaine Gabriel.,1,0
09:24,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Emmanuel Arceneaux.,1,0
09:08,3,Punt,21,Ricky Schmitt punts for 53 yards to Tor23. Chad Owens return for 21 yards to Tor44. Tackled by Akwasi Antwi.,1,0
08:49,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes defensed by Ronnie Yell.,1,0
08:32,2,Pass,12,Ricky Ray pass to Curtis Steele for 12 yards to the BC54. Tackled by Adam Bighill.,1,0
07:48,1,Pass,3,Ricky Ray pass to Andre Durie for 3 yards to the BC51. Tackled by Cord Parks.,1,0
07:11,2,Pass,5,Ricky Ray pass to Spencer Watt for 5 yards to the BC46. Tackled by Ronnie Yell.,1,0
06:01,3,Missed Field Goal,53,Swayze Waters 53 yard field goal attempt is GOOD.,4,0
06:01,1,Rush,2,Andrew Harris rush for 2 yards to the BC37. Tackled by Jamie Robinson.,4,0
05:30,2,Pass,6,Kevin Glenn pass to Bryan Burnham for 6 yards to the BC43. Tackled by Shea Emry.,4,0
04:50,3,Punt,9,Ricky Schmitt punts for 51 yards to Tor16. Chad Owens return for 9 yards to Tor25. Tackled by Keynan Parker.,4,0
04:33,1,Illegal Participation,36,Ricky Ray pass to Andre Durie for 26 yards to the Tor51. Tackled by J.R. LaRose. Penalty: Illegal Participation on BC (Ryan Phillips) 10 yards.,4,0
04:07,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,4,0
03:46,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for LaVon Brazill.,4,0
03:17,3,Punt,7,Swayze Waters punts for 38 yards to BC11. Tim Brown return for 7 yards to BC18. Tackled by Brendan Gillanders.,4,0
02:56,1,Rush,14,Stefan Logan rush for 14 yards to the BC32.,4,0
02:36,1,Rush,4,Stefan Logan rush for 4 yards to the BC36. Tackled by Cleyon Laing.,4,0
01:58,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore.,4,0
01:16,3,Face Mask,19,Ricky Schmitt punts for 49 yards to Tor25. Branden Smith return for 4 yards to Tor29. Tackled by Torri Williams. Penalty: Face Mask on BC (Torri Williams) 15 yards.,4,0
00:58,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for LaVon Brazill.,4,0
00:35,0,Roughing Passer,15,Penalty: Roughing Passer on BC (Torri Williams) 15 yards.,4,0
00:11,1,Rush,6,Steve Slaton rush for 6 yards to the BC45. Tackled by Eric Taylor.,4,0
15:00,2,Pass,15,Ricky Ray pass to Steve Slaton for 15 yards to the BC30. Tackled by Ronnie Yell.,4,0
14:13,1,Pass,30,Ricky Ray pass to LaVon Brazill for 30 yards for a TOUCHDOWN.,10,0
14:00,0,Made Extra Point,0,Swayze Waters extra point is good.,11,0
14:00,0,Kickoff,39,Swayze Waters kicks off to the BC3. Tim Brown return for 39 yards to BC42. Tackled by Orhian Johnson.,11,0
13:51,1,Rush,8,Shawn Gore rush for 8 yards to the BC50. Tackled by Tristan Okpalaugo.,11,0
13:10,2,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Jermarcus Hardrick) -5 yards.,11,0
13:01,2,Pass,35,Kevin Glenn pass to Bryan Burnham for 35 yards to the Tor30. Tackled by Jamie Robinson.,11,0
12:19,1,Sack,-4,Sack at Tor34 for a loss of 4 yards by Gregory Jones.,11,0
11:41,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore defensed by Alex Suber.,11,0
10:57,3,Field Goal Single,12,48 yard field goal attempt by Paul McCallum is NO GOOD.  Missed field goal returned by Branden Smith to the Tor0 (Single).,11,1
10:57,1,Pass,20,Ricky Ray pass to Andre Durie for 20 yards to the Tor55. Tackled by Torri Williams.,11,1
10:41,1,Pass,17,Ricky Ray pass to LaVon Brazill for 17 yards to the BC38. Tackled by Josh Johnson.,11,1
