Time,Down,Type,Yards,Details,Ottawa,Toronto
15:00,0,Kickoff,41,Swayze Waters kicks off to the Ott5. Jamill Smith return for 10 yards to Ott15. . Tackled by Shane Herbert,0,0
14:50,1,Rush,1,Jeremiah Johnson rush for 1 yard to the Ott47. Tackled by Nick Rosamonda.,0,0
14:16,2,Offside,-5,Penalty: Offside on Ottawa (Khalil Paden) -5 yards.,0,0
13:52,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Eddie Poole.,0,0
13:30,3,Punt,0,Brett Maher punts for 36 yards to Tor32. No return.,0,0
13:19,1,Pass,19,Trevor Harris pass to Chad Owens for 19 yards to the Tor51. Tackled by Abdul Kanneh.,0,0
12:40,1,Incomplete Pass,0,Trevor Harris incomplete pass intended for Steve Slaton.,0,0
12:20,2,Pass,11,Trevor Harris pass to John Chiles for 11 yards to the Ott48. Tackled by Marlon Smith.,0,0
11:52,1,Rush,16,Chad Owens rush for 16 yards to the Ott32. Tackled by Jasper Simmons.,0,0
11:15,1,Pass,20,Trevor Harris pass to Jason Barnes for 20 yards to the Ott12. Tackled by Jasper Simmons.,0,0
10:06,1,Pass,12,Trevor Harris pass to John Chiles for 12 yards for a TOUCHDOWN.,0,6
09:56,0,Made Extra Point,0,Swayze Waters extra point is good.,0,7
09:56,0,Kickoff,21,Swayze Waters kicks off to the Ott10. Roy Finch return for 21 yards to Ott31. Tackled by Cory Greenwood.,0,7
09:50,1,Offside,-5,Penalty: Offside on Ottawa (Marcus Henry) -5 yards.,0,7
09:29,1,Interception,25,Henry Burris pass intended for Wallace Miles INTERCEPTED and returned for 25 yards. Tackled by Henry Burris.,0,7
08:51,1,Pass,3,Trevor Harris pass to Chad Owens for 3 yards for a TOUCHDOWN.,0,13
08:30,0,Made Extra Point,0,Swayze Waters extra point is good.,0,14
08:30,0,Kickoff,21,Swayze Waters kicks off to the Ott9. Roy Finch return for 21 yards to Ott30. Tackled by James Yurichuk.,0,14
08:23,0,Holding,-10,Penalty: Holding on Ottawa (Jon Gott) -10 yards.,0,14
08:00,1,Incomplete Pass,0,Danny O'Brien incomplete pass intended for Matt Carter defensed by Matthew Ware.,0,14
07:40,2,Pass,5,Danny O'Brien pass to Scott MacDonell for 5 yards to the Ott25. Tackled by Shea Emry.,0,14
07:07,3,Punt,4,Brett Maher punts for 41 yards to Tor44. Chad Owens return for 4 yards to Tor48. Tackled by  .,0,14
