Time,Down,Type,Yards,Details,Ottawa,Winnipeg
15:00,0,Kickoff,23,Brett Maher kicks off to the Wpg11. Aaron Woods return for 23 yards to Wpg34. Tackled by James Green.,0,0
14:55,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Rory Kohlert.,0,0
14:31,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark.,0,0
14:08,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Winnipeg (Ejiro Kuale) -5 yards.,0,0
13:52,3,Punt,7,Mike Renaud punts for 40 yards to Ott41. Jamill Smith return for 7 yards to Ott48. Tackled by Don Unamba.,0,0
13:37,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Kierrie Johnson defensed by Chris Randle.,0,0
13:16,2,Pass,29,Henry Burris pass to Chevon Walker for 29 yards to the Wpg33. Tackled by Matt Bucknor.,0,0
12:51,1,Fumble,26,"Henry Burris pass to Kierrie Johnson for 26 yards to the Wpg7. FUMBLE, recovered by Ott (Kierrie Johnson).",0,0
12:23,1,Rush,4,Chevon Walker rush for 4 yards to the Wpg3. Tackled by Zach Anderson.,0,0
11:20,2,Rush,3,Chevon Walker rush for 3 yards for a TOUCHDOWN.,6,0
11:17,1,Offside,5,Penalty: Offside on Winnipeg (Chris Randle) 5 yards.,6,0
10:48,0,Made Extra Point,0,Brett Maher extra point is good.,7,0
10:48,0,Kickoff,16,Brett Maher kicks off to the Wpg3. Aaron Woods return for 16 yards to Wpg19. Tackled by James Green.,7,0
10:42,1,Rush,2,Nic Grigsby rush for 2 yards to the Wpg21. Tackled by Jeremiah Green.,7,0
10:07,2,Sack,-9,Sack at Wpg12 for a loss of 9 yards by Jonathan Williams.,7,0
09:35,3,Punt,5,Mike Renaud punts for 36 yards to Wpg48. Jamill Smith return for 5 yards to Wpg43. Tackled by Mike Cornell.,7,0
09:15,1,Rush,17,Chevon Walker rush for 17 yards to the Wpg26. Tackled by Matt Bucknor.,7,0
08:17,1,Pass,26,Henry Burris pass to Dobson Collins for 26 yards for a TOUCHDOWN.,13,0
08:01,0,Made Extra Point,0,Brett Maher extra point is good.,14,0
08:01,0,Kickoff,26,Brett Maher kicks off to the Wpg7. Aaron Woods return for 26 yards to Wpg33. Tackled by Andrew Marshall.,14,0
07:54,1,Pass,15,Drew Willy pass to Clarence Denmark for 15 yards to the Wpg48. Tackled by Seth Williams.,14,0
07:20,1,Pass,51,Drew Willy pass to Nick Moore for 51 yards to the Ott11. Tackled by Jerrell Gavins.,14,0
06:32,1,Rush,8,Nic Grigsby rush for 8 yards to the Ott3.,14,0
06:07,2,Rush,2,Nic Grigsby rush for 2 yards to the Ott1. Tackled by Justin Phillips.,14,0
