Time,Down,Type,Yards,Details,Winnipeg,BC
15:00,0,Kickoff,26,Paul McCallum kicks off to the Wpg14. Aaron Woods return for 26 yards to Wpg40. Tackled by Seydou Junior Haidara.,0,0
14:50,1,Rush,3,Nic Grigsby rush for 3 yards to the Wpg43. Tackled by Solomon Elimimian.,0,0
14:15,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark defensed by J.R. LaRose.,0,0
13:53,3,Punt,5,Lirim Hajrullahu punts for 50 yards to BC17.   return for 5 yards to BC22. Tackled by Ian Wild.,0,0
13:41,1,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Dean Valli) -5 yards.,0,0
13:26,1,Rush,11,Andrew Harris rush for 11 yards to the BC28. Tackled by Matt Bucknor.,0,0
12:52,2,Pass,10,Kevin Glenn pass to Ernest Jackson for 10 yards to the BC38. Tackled by Demond Washington.,0,0
12:05,1,Rush,-2,Stefan Logan rush for a loss of 2 yards to the BC36. Tackled by Zach Anderson.,0,0
11:35,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Emmanuel Arceneaux.,0,0
11:12,3,Punt,11,Paul McCallum punts for 42 yards to Wpg32. Aaron Woods return for 11 yards to Wpg43. Tackled by Rolly Lumbala.,0,0
10:54,1,Pass,21,Drew Willy pass to Nick Moore for 21 yards to the BC46. Tackled by Adam Bighill.,0,0
10:35,1,Rush,17,Nic Grigsby rush for 17 yards to the BC29. Tackled by Solomon Elimimian.,0,0
10:10,1,Pass,13,Drew Willy pass to Nick Moore for 13 yards to the BC16. Tackled by Cord Parks.,0,0
09:41,1,Rush,-4,Nic Grigsby rush for a loss of 4 yards to the BC20. Tackled by Jabar Westerman.,0,0
09:16,2,Pass,8,Drew Willy pass to Nic Grigsby for 8 yards to the BC12. Tackled by Solomon Elimimian.,0,0
08:35,2,Missed Field Goal,19,Lirim Hajrullahu 19 yard field goal attempt is GOOD.,3,0
08:35,0,Holding,22,Lirim Hajrullahu kicks off to the BC3.   return for 32 yards to BC35. Penalty: Holding on BC (Akwasi Antwi) -10 yards.,3,0
08:26,1,Rush,9,Andrew Harris rush for 9 yards to the BC34. Tackled by Desia Dunn.,3,0
07:57,2,Rush,-1,Andrew Harris rush for a loss of 1 yard to the BC33. Tackled by Zach Anderson.,3,0
07:12,3,Punt,5,Paul McCallum punts for 43 yards to Wpg34. Aaron Woods return for 5 yards to Wpg39. Tackled by Keynan Parker.,3,0
06:53,1,Rush,3,Nic Grigsby rush for 3 yards to the Wpg42. Tackled by Josh Johnson.,3,0
06:28,2,Offside,5,Penalty: Offside on BC (Jamall Johnson) 5 yards.,3,0
06:13,2,Rush,4,Michel-Pierre Pontbriand rush for 4 yards to the Wpg51. Tackled by David Menard.,3,0
05:34,1,Rush,9,Clarence Denmark rush for 9 yards to the BC50. Tackled by Adam Bighill.,3,0
04:53,2,Rush,1,Drew Willy rush for 1 yard to the BC49. Tackled by Eric Taylor.,3,0
04:20,1,Pass,21,Drew Willy pass to Nick Moore for 21 yards to the BC28. Tackled by Dante Marsh.,3,0
03:43,1,Rush,7,Nic Grigsby rush for 7 yards to the BC21. Tackled by J.R. LaRose.,3,0
03:04,2,Rush,1,Nic Grigsby rush for 1 yard to the BC20. Tackled by Solomon Elimimian.,3,0
02:16,3,Missed Field Goal,27,Lirim Hajrullahu 27 yard field goal attempt is GOOD.,6,0
02:16,0,Kickoff,21,Lirim Hajrullahu kicks off to the BC7.   return for 21 yards to BC28. Tackled by Ian Wild.,6,0
02:09,1,Sack,-6,Sack at BC22 for a loss of 6 yards by Kashawn Fraser.,6,0
01:51,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for   defensed by Maurice Leggett.,6,0
01:31,3,Holding,49,Paul McCallum punts for 39 yards to Wpg49. Penalty: Holding on Winnipeg (Michel-Pierre Pontbriand) 10 yards.,6,0
01:05,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark.,6,0
00:43,2,Pass,12,Drew Willy pass to Clarence Denmark for 12 yards to the Wpg51. Tackled by Ryan Phillips.,6,0
00:12,1,Rush,-1,Nic Grigsby rush for a loss of 1 yard to the Wpg50. Tackled by Josh Johnson.,6,0
15:00,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Nic Grigsby.,6,0
14:49,3,Punt,12,Lirim Hajrullahu punts for 40 yards to BC20.   return for 12 yards to BC32. Tackled by Ian Wild.,6,0
14:15,1,Rush,9,Stefan Logan rush for 9 yards to the BC41. Tackled by Bruce Johnson.,6,0
13:39,2,Rush,5,Stefan Logan rush for 5 yards to the BC46. Tackled by Zach Anderson.,6,0
13:01,1,Unnecessary Roughness,40,Kevin Glenn pass intended for Shawn Gore INTERCEPTED and returned for 25 yards. Tackled by Courtney Taylor. Penalty: Unnecessary Roughness on BC (Jermarcus Hardrick) 15 yards.,6,0
12:33,1,Pass,6,Drew Willy pass to Nic Grigsby for 6 yards to the BC39. Tackled by Solomon Elimimian.,6,0
12:00,0,Pass Interference,12,Penalty: Pass Interference on BC (Dante Marsh) 12 yards.,6,0
11:30,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Romby Bryant defensed by Cord Parks.,6,0
11:17,2,Rush,1,Drew Willy rush for 1 yard to the BC26. Tackled by Adam Bighill.,6,0
10:12,3,Missed Field Goal,33,Lirim Hajrullahu 33 yard field goal attempt is GOOD.,9,0
10:12,0,Kickoff,20,Lirim Hajrullahu kicks off to the BC7.   return for 20 yards to BC27. Tackled by Ian Wild.,9,0
10:05,1,Pass,11,Kevin Glenn pass to Emmanuel Arceneaux for 11 yards to the BC38. Tackled by Teague Sherman.,9,0
09:34,1,Rush,11,Emmanuel Arceneaux rush for 11 yards to the BC49. Tackled by Demond Washington.,9,0
08:56,1,Rush,0,Andrew Harris rush for no gain to the BC49. Tackled by Demond Washington.,9,0
08:48,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Emmanuel Arceneaux.,9,0
08:23,3,Punt,8,Paul McCallum punts for 36 yards to Wpg25. Aaron Woods return for 8 yards to Wpg33. Tackled by Pascal Lochard.,9,0
08:06,1,Rush,-8,Nic Grigsby rush for a loss of 8 yards to the Wpg25. Tackled by Alex Bazzie.,9,0
07:28,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Nic Grigsby defensed by Eric Taylor.,9,0
07:09,3,Face Mask,32,Lirim Hajrullahu punts for 36 yards to BC49.   return for 17 yards to Wpg44. Penalty: Face Mask on Winnipeg (Don Unamba) 15 yards.,9,0
06:40,1,Pass,11,Kevin Glenn pass to Shawn Gore for 11 yards to the Wpg18. Tackled by Demond Washington.,9,0
06:02,1,Rush,5,Emmanuel Arceneaux rush for 5 yards to the Wpg13. Tackled by Bruce Johnson.,9,0
05:25,2,Pass,7,Kevin Glenn pass to Courtney Taylor for 7 yards to the Wpg6. Tackled by Demond Washington.,9,0
04:42,1,Rush,3,Andrew Harris rush for 3 yards to the Wpg3. Tackled by Bryant Turner Jr..,9,0
04:00,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Emmanuel Arceneaux.,9,0
03:23,3,Missed Field Goal,11,Paul McCallum 11 yard field goal attempt is GOOD.,9,3
03:23,0,Kickoff,9,Paul McCallum kicks off to the Wpg17. Aaron Woods return for 9 yards to Wpg26. Tackled by Keynan Parker.,9,3
