Time,Down,Type,Yards,Details,Winnipeg,Hamilton
15:00,0,Kickoff,16,Justin Medlock kicks off to the Wpg4. Aaron Woods return for 16 yards to Wpg20. Tackled by Rico Murray.,0,0
14:56,1,Pass,13,Drew Willy pass to   for 13 yards to the Wpg33. Tackled by Rico Murray.,0,0
14:27,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Romby Bryant.,0,0
13:52,2,Pass,40,Drew Willy pass to   for 40 yards to the Ham37. Tackled by Neil King.,0,0
13:26,1,Pass,11,Drew Willy pass to Paris Cotton for 11 yards to the Ham26. Tackled by Rico Murray.,0,0
12:50,1,Rush,3,Paris Cotton rush for 3 yards to the Ham23. Tackled by Simoni Lawrence.,0,0
12:27,2,Pass,7,Drew Willy pass to Clarence Denmark for 7 yards to the Ham16. Tackled by Emanuel Davis.,0,0
11:58,1,Pass,6,Drew Willy pass to Michel-Pierre Pontbriand for 6 yards to the Ham10. Tackled by Simoni Lawrence.,0,0
11:36,2,Rush,-2,Nic Grigsby rush for a loss of 2 yards to the Ham12. Tackled by Rico Murray.,0,0
10:09,3,Missed Field Goal,19,Lirim Hajrullahu 19 yard field goal attempt is GOOD.,3,0
10:09,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Quincy McDuffie.,3,0
09:58,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for C.J. Gable.,3,0
09:40,3,Punt,0,Justin Medlock punts for 47 yards to Wpg28. Aaron Woods return for no gain to Wpg28. Tackled by Beau Landry.,3,0
09:23,1,Pass,7,Drew Willy pass to Romby Bryant for 7 yards to the Wpg35. Tackled by Emanuel Davis.,3,0
09:10,2,Rush,5,Nic Grigsby rush for 5 yards to the Wpg40. Tackled by Simoni Lawrence.,3,0
08:40,1,Pass,11,Drew Willy pass to   for 11 yards to the Wpg51. Tackled by Simoni Lawrence.,3,0
08:30,1,Rush,3,Nic Grigsby rush for 3 yards to the Wpg54. Tackled by Simoni Lawrence.,3,0
08:01,2,Offside,-5,Penalty: Offside on Winnipeg (Julian Feoli-Gudino) -5 yards.,3,0
07:35,2,Pass,6,Drew Willy pass to Paris Cotton for 6 yards to the Wpg55. Tackled by Delvin Breaux.,3,0
