Time,Down,Type,Yards,Details,Montreal,Winnipeg
15:00,0,Kickoff,17,Sean Whyte kicks off to the Wpg14. Troy Stoudermire return for 17 yards to Wpg31. Tackled by Nicolas Boulay.,0,0
14:55,1,Rush,6,Nic Grigsby rush for 6 yards to the Wpg37. Tackled by Billy Parker.,0,0
14:22,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Aaron Kelly defensed by Billy Parker.,0,0
13:58,3,Punt,5,Lirim Hajrullahu punts for 44 yards to Mtl29. Larry Taylor return for 5 yards to Mtl34. Tackled by Chris Randle.,0,0
13:37,1,Pass,1,Alex Brink pass to Brandon Whitaker for 1 yard to the Mtl35. Tackled by Teague Sherman.,0,0
12:59,2,Pass,4,Alex Brink pass to Eric Deslauriers for 4 yards to the Mtl39. Tackled by Ian Wild.,0,0
12:29,3,Punt,0,Sean Whyte punts for 47 yards to Wpg24. Troy Stoudermire return for no gain to Wpg24. Tackled by Andrew Lue.,0,0
12:09,1,Pass,4,Drew Willy pass to Cory Watson for 4 yards to the Wpg28. Tackled by Alan-Michael Cash.,0,0
11:44,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Cory Watson.,0,0
11:22,3,Punt,3,Lirim Hajrullahu punts for 42 yards to Mtl40. Larry Taylor return for 3 yards to Mtl43. Tackled by Dan West.,0,0
10:58,1,Rush,-6,Brandon Whitaker rush for a loss of 6 yards to the Mtl37. Tackled by Teague Sherman.,0,0
10:26,2,Incomplete Pass,0,Alex Brink incomplete pass intended for Duron Carter defensed by Chris Randle.,0,0
10:00,3,Punt,2,Sean Whyte punts for 41 yards to Wpg32. Troy Stoudermire return for 2 yards to Wpg34. Tackled by Brandon London.,0,0
09:39,1,Pass,31,Drew Willy pass to Clarence Denmark for 31 yards to the Mtl45. Tackled by Mitchell White.,0,0
09:03,1,Rush,2,Nic Grigsby rush for 2 yards to the Mtl43. Tackled by Bear Woods.,0,0
08:27,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark.,0,0
07:42,3,Punt Single,0,Lirim Hajrullahu punts for 46 yards to Mtl0. No return (Single).,0,1
07:42,1,Rush,5,Brandon Whitaker rush for 5 yards to the Mtl40. Tackled by Abraham Kromah.,0,1
07:15,2,Pass,4,Alex Brink pass to Brandon Whitaker for 4 yards to the Mtl44. Tackled by Demond Washington.,0,1
06:25,3,Rush,1,Tanner Marsh rush for 1 yard to the Mtl45. Tackled by Greg Peach.,0,1
05:33,1,Pass,-3,Alex Brink pass to Eric Deslauriers for a loss of 3 yards to the Mtl42. Tackled by Abraham Kromah.,0,1
04:53,2,Pass,8,Alex Brink pass to Duron Carter for 8 yards to the Mtl50. Tackled by Demond Washington.,0,1
04:23,3,Punt,-1,Sean Whyte punts for 53 yards to Wpg7. Troy Stoudermire return for a loss of 1 yard to Wpg6. Tackled by Daryl Townsend.,0,1
04:11,1,Sack,-4,Sack at Wpg2 for a loss of 4 yards by Aaron Lavarias.,0,1
03:28,2,Pass,5,Drew Willy pass to Nic Grigsby for 5 yards to the Wpg7. Tackled by Mike Edem.,0,1
02:59,3,Punt,10,Lirim Hajrullahu punts for 53 yards to Mtl50. Larry Taylor return for 10 yards to Wpg50. Tackled by Chris Randle.,0,1
02:30,1,Rush,1,Brandon Whitaker rush for 1 yard to the Wpg49. Tackled by Abraham Kromah.,0,1
01:50,2,Incomplete Pass,0,Alex Brink incomplete pass intended for Kenny Stafford defensed by Matt Bucknor.,0,1
01:26,3,Illegal Punt,5,Sean Whyte punts for 15 yards to Wpg34. Penalty: Illegal Punt on Montreal (Sean Whyte) -10 yards.,0,1
01:12,1,Pass,5,Drew Willy pass to Michel-Pierre Pontbriand for 5 yards to the Wpg49. Tackled by Geoff Tisdale.,0,1
00:41,0,Holding,-10,Penalty: Holding on Winnipeg (Steve Morley) -10 yards.,0,1
00:01,2,Pass,27,Drew Willy pass to Nick Moore for 27 yards to the Mtl44. Tackled by Geoff Tisdale.,0,1
15:00,1,Rush,2,Nic Grigsby rush for 2 yards to the Mtl42. Tackled by Jerald Brown.,0,1
14:33,2,Interception,16,Drew Willy pass intended for Nic Grigsby INTERCEPTED and returned for 16 yards. Tackled by Cory Watson.,0,1
14:09,1,Rush,2,Brandon Whitaker rush for 2 yards to the Mtl43. Tackled by Zach Anderson.,0,1
13:43,2,Rush,7,Jonathan Crompton rush for 7 yards to the Mtl50. Tackled by Desia Dunn.,0,1
13:05,3,Rush,2,Tanner Marsh rush for 2 yards to the Mtl52. Tackled by Ian Wild.,0,1
12:36,1,Pass,7,Jonathan Crompton pass to Brandon Whitaker for 7 yards to the Wpg51. Tackled by Demond Washington.,0,1
11:54,2,Rush,0,Brandon Whitaker rush for no gain to the Wpg51. Tackled by Teague Sherman.,0,1
11:21,3,Illegal Block,1,Sean Whyte punts for 45 yards to Wpg6. Troy Stoudermire return for 8 yards to Wpg14. Penalty: Illegal Block on Winnipeg (Abraham Kromah) -7 yards.,0,1
11:01,1,Offside,5,Penalty: Offside on Montreal (Winston Venable) 5 yards.,0,1
10:30,0,Rush,0,"FUMBLE Nic Grigsby rush for no gain to the Wpg12., recovered by Wpg (Nic Grigsby).",0,1
10:02,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Cory Watson defensed by Chip Cox.,0,1
09:47,3,Punt,1,Lirim Hajrullahu punts for 37 yards to Wpg49. Larry Taylor return for 1 yard to Wpg48.,0,1
09:25,1,Rush,2,Brandon Whitaker rush for 2 yards to the Wpg46. Tackled by Maurice Leggett.,0,1
08:55,2,Pass,17,Jonathan Crompton pass to Duron Carter for 17 yards to the Wpg29. Tackled by Chris Randle.,0,1
08:16,1,Pass,6,Jonathan Crompton pass to Duron Carter for 6 yards to the Wpg23. Tackled by Demond Washington.,0,1
07:52,2,Rush,4,Brandon Whitaker rush for 4 yards to the Wpg19. Tackled by Kashawn Fraser.,0,1
07:19,1,Sack,-11,Sack at Wpg30 for a loss of 11 yards by Bryant Turner Jr..,0,1
06:35,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,0,1
05:53,3,Missed Field Goal,37,Sean Whyte 37 yard field goal attempt is GOOD.,3,1
05:53,0,Kickoff,22,Sean Whyte kicks off to the Wpg14. Troy Stoudermire return for 22 yards to Wpg36. Tackled by Mike Edem.,3,1
05:47,1,Rush,3,Paris Cotton rush for 3 yards to the Wpg39. Tackled by Michael Klassen.,3,1
05:07,2,Rush,1,Paris Cotton rush for 1 yard to the Wpg40. Tackled by Alan-Michael Cash.,3,1
04:41,3,Incomplete Pass,0,Lirim Hajrullahu incomplete pass intended for Teague Sherman.,3,1
04:29,1,Rush,28,Duron Carter rush for 28 yards to the Wpg12.,3,1
04:01,1,Sack,-16,Sack at Wpg28 for a loss of 8 yards by Jake Thomas,3,1
03:36,2,Rush,4,Jonathan Crompton rush for 4 yards to the Wpg16. Tackled by Ian Wild.,3,1
03:00,3,Missed Field Goal,16,16 yard field goal attempt by Sean Whyte is NO GOOD.,3,1
02:49,1,Pass,9,Drew Willy pass to Nick Moore for 9 yards to the Wpg34. Tackled by Kyries Hebert.,3,1
