Time,Down,Type,Yards,Details,Winnipeg,Edmonton
15:00,0,Kickoff,14,Hugh O'Neill kicks off to the Wpg25. Sam McGuffie return for 14 yards to Wpg39. Tackled by Mike Dubuisson.,0,0
14:56,1,Offside,5,Penalty: Offside on Edmonton (Odell Willis) 5 yards.,0,0
14:30,1,Rush,2,Paris Cotton rush for 2 yards to the Wpg46. Tackled by Almondo Sewell.,0,0
13:58,2,Sack,-6,Sack at Wpg40 for a loss of 6 yards by Almondo Sewell.,0,0
13:28,3,Punt,5,Lirim Hajrullahu punts for 47 yards to Edm23. Kendial Lawrence return for 5 yards to Edm28. Tackled by Don Unamba.,0,0
13:07,1,Pass,6,Mike Reilly pass to Adarius Bowman for 6 yards to the Edm34. Tackled by Chris Randle.,0,0
12:32,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for A.J. Guyton defensed by Ian Wild.,0,0
12:16,3,Punt,-4,Hugh O'Neill punts for 46 yards to Wpg30. Aaron Woods return for a loss of 4 yards to Wpg26. Tackled by Deon Lacey.,0,0
11:51,1,Pass,5,Drew Willy pass to Nick Moore for 5 yards to the Wpg31. Tackled by Alonzo Lawrence.,0,0
11:30,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark.,0,0
11:04,3,Time Count,-5,Penalty: Time Count on Winnipeg (Lirim Hajrullahu) -5 yards.,0,0
10:40,3,Punt,11,Lirim Hajrullahu punts for 42 yards to Edm42. Kendial Lawrence return for 11 yards to Edm53. Tackled by Kyle Jones.,0,0
10:30,1,Pass,7,Mike Reilly pass to Nate Coehoorn for 7 yards to the Wpg50. Tackled by Matt Bucknor.,0,0
10:05,2,Offside,5,Penalty: Offside on Winnipeg (Greg Peach) 5 yards.,0,0
09:40,1,Rush,9,John White rush for 9 yards to the Wpg36. Tackled by Desia Dunn.,0,0
09:05,2,Rush,4,John White rush for 4 yards to the Wpg32. Tackled by Jake Thomas.,0,0
08:30,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Tony Washington) -5 yards.,0,0
08:14,1,Rush,6,Kendial Lawrence rush for 6 yards to the Wpg31. Tackled by Ian Wild.,0,0
07:51,2,Pass,20,Mike Reilly pass to Adarius Bowman for 20 yards to the Wpg11. Tackled by Demond Washington.,0,0
07:12,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,0
06:47,2,Rush,10,Mike Reilly rush for 10 yards to the Wpg1. Tackled by Johnny Sears Jr..,0,0
05:57,1,Rush,1,Pat White rush for 1 yard for a TOUCHDOWN.,0,6
05:43,0,Made Extra Point,0,Hugh O'Neill extra point is good.,0,7
05:43,0,Kickoff,17,Hugh O'Neill kicks off to the Wpg21. Sam McGuffie return for 17 yards to Wpg38. Tackled by Steve Myddelton.,0,7
05:38,1,Fumble,-5,"Paris Cotton rush for a loss of 7 yards to the Wpg31. FUMBLE, recovered by Edm (Alonzo Lawrence) and returned for 2 yards. Tackled by Drew Willy.",0,7
05:13,1,Rush,3,John White rush for 3 yards to the Wpg26. Tackled by Demond Washington.,0,7
04:40,2,Pass,8,Mike Reilly pass to Devon Bailey for 8 yards to the Wpg18. Tackled by Chris Randle.,0,7
04:02,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,7
03:32,2,Offside,-5,Penalty: Offside on Edmonton (Adarius Bowman) -5 yards.,0,7
03:20,2,Pass,9,Mike Reilly pass to Kendial Lawrence for 9 yards to the Wpg14. Tackled by Ian Wild.,0,7
02:26,3,Missed Field Goal,21,Hugh O'Neill 21 yard field goal attempt is GOOD.,0,10
02:26,1,Pass,5,Drew Willy pass to Rory Kohlert for 5 yards to the Wpg40. Tackled by Aaron Grymes.,0,10
01:50,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Paris Cotton.,0,10
01:36,3,No Yards,39,Lirim Hajrullahu punts for 44 yards to Edm26. Penalty: No Yards on Winnipeg (Teague Sherman) -5 yards.,0,10
01:19,1,Pass,8,Mike Reilly pass to Adarius Bowman for 8 yards to the Edm39. Tackled by Maurice Leggett.,0,10
00:55,2,Rush,3,Mike Reilly rush for 3 yards to the Edm42. Tackled by Teague Sherman.,0,10
00:40,1,Pass,6,Mike Reilly pass to Adarius Bowman for 6 yards to the Edm48. Tackled by Demond Washington.,0,10
00:01,0,Illegal Contact,10,Penalty: Illegal Contact on Winnipeg (Desia Dunn) 10 yards.,0,10
00:01,1,Rush,6,Pat White rush for 6 yards to the Wpg46. Tackled by Johnny Sears Jr..,0,10
15:00,2,Rush,6,Mike Reilly rush for 6 yards to the Wpg40. Tackled by Teague Sherman.,0,10
14:39,1,Rush,6,John White rush for 6 yards to the Wpg34. Tackled by Demond Washington.,0,10
13:52,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,10
13:07,3,Field Goal Single,54,54 yard field goal attempt by Hugh O'Neill is NO GOOD (Single).,0,11
13:07,1,Sack,-10,Sack at Wpg25 for a loss of 10 yards by Odell Willis.,0,11
12:35,2,Pass,13,Drew Willy pass to Nick Moore for 13 yards to the Wpg38. Tackled by Cauchy Muamba.,0,11
11:55,3,Punt,12,Lirim Hajrullahu punts for 51 yards to Edm21. Kendial Lawrence return for 12 yards to Edm33. Tackled by Sam McGuffie.,0,11
11:47,0,Rush,2,"FUMBLE John White rush for 2 yards to the Edm35., recovered by Edm (Matthew O'Donnell).",0,11
11:20,2,Pass,11,Mike Reilly pass to Kendial Lawrence for 11 yards to the Edm46. Tackled by Desia Dunn.,0,11
10:45,1,Pass,13,Mike Reilly pass to Adarius Bowman for 13 yards to the Wpg51. Tackled by Chris Randle.,0,11
10:22,1,Unnecessary Roughness,21,Mike Reilly pass to John White for 6 yards to the Wpg45. Tackled by Ian Wild. Penalty: Unnecessary Roughness on Winnipeg (Johnny Sears Jr.) 15 yards.,0,11
10:10,1,Rush,4,John White rush for 4 yards to the Wpg26. Tackled by Ian Wild.,0,11
09:30,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Devon Bailey.,0,11
08:48,3,Missed Field Goal,33,Hugh O'Neill 33 yard field goal attempt is GOOD.,0,14
08:48,1,Rush,9,Paris Cotton rush for 9 yards to the Wpg44. Tackled by Rennie Curran.,0,14
08:23,2,Offside,5,Penalty: Offside on Edmonton (Eddie Steele) 5 yards.,0,14
08:10,1,Rush,4,Sam McGuffie rush for 4 yards to the Wpg53. Tackled by Dexter McCoil.,0,14
07:36,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Clarence Denmark defensed by Aaron Grymes.,0,14
07:13,3,Fumble,7,"Lirim Hajrullahu punts for 42 yards to Edm15. Kendial Lawrence return for 7 yards to Edm22. FUMBLE, recovered by Wpg (Carl Volny).",0,14
06:57,1,Pass,0,Drew Willy pass to Nick Moore for no gain to the Edm22. Tackled by Alonzo Lawrence.,0,14
05:48,2,Fumble,66,"Sack at Edm33 for a loss of 11 yards by Odell Willis. FUMBLE, recovered by Edm (Dexter McCoil) and returned for 77 yards for a TOUCHDOWN.",0,20
05:31,0,Made Extra Point,0,Hugh O'Neill extra point is good.,0,21
05:31,0,Kickoff,8,Hugh O'Neill kicks off to the Wpg0. Aaron Woods return for 8 yards to Wpg8. Tackled by Nate Coehoorn.,0,21
05:29,1,Rush,2,Paris Cotton rush for 2 yards to the Wpg10. Tackled by Odell Willis.,0,21
04:54,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Rory Kohlert.,0,21
04:28,3,Punt,9,Lirim Hajrullahu punts for 51 yards to Edm49. Kendial Lawrence return for 9 yards to Wpg52. Tackled by Ian Wild.,0,21
04:14,1,Rush,2,John White rush for 2 yards to the Wpg50. Tackled by Ian Wild.,0,21
