Time,Down,Type,Yards,Details,BC,Winnipeg
15:00,0,Unnecessary Roughness,28,Ricky Schmitt kicks off to the Wpg11. Troy Stoudermire return for 13 yards to Wpg24. Tackled by Steven Clarke. Penalty: Unnecessary Roughness on BC (Jason Arakgi) 15 yards.,0,0
14:54,1,Rush,3,Paris Cotton rush for 3 yards to the Wpg42. Tackled by Josh Johnson.,0,0
14:20,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Romby Bryant defensed by Ryan Phillips.,0,0
13:52,3,Illegal Block,5,Lirim Hajrullahu punts for 48 yards to BC20. Keola Antolin return for 15 yards to BC35. Penalty: Illegal Block on BC (Keynan Parker) -10 yards.,0,0
13:41,1,Rush,0,Keola Antolin rush for no gain to the BC25. Tackled by Bruce Johnson.,0,0
13:11,2,Pass,-5,Kevin Glenn pass to Lavasier Tuinei for a loss of 5 yards to the BC20. Tackled by Desia Dunn.,0,0
12:40,3,Punt,35,Ricky Schmitt punts for 49 yards to Wpg41. Troy Stoudermire return for 35 yards to BC34. Tackled by Adam Bighill.,0,0
12:14,1,Rush,3,Paris Cotton rush for 3 yards to the BC31. Tackled by Khreem Smith.,0,0
11:50,2,Sack,-7,Sack at BC38 for a loss of 7 yards by Adam Bighill.,0,0
11:06,3,Missed Field Goal,45,Lirim Hajrullahu 45 yard field goal attempt is GOOD.,0,3
11:06,1,Rush,4,Keola Antolin rush for 4 yards to the BC39. Tackled by Ian Wild.,0,3
10:38,2,Rush,-4,Keola Antolin rush for a loss of 4 yards to the BC35. Tackled by Ian Wild.,0,3
10:19,3,Punt,9,Ricky Schmitt punts for 41 yards to Wpg34. Troy Stoudermire return for 9 yards to Wpg43. Tackled by Rolly Lumbala.,0,3
10:05,1,Pass,37,Drew Willy pass to Clarence Denmark for 37 yards to the BC30. Tackled by Josh Johnson.,0,3
09:40,1,Offside,-5,Penalty: Offside on Winnipeg (Romby Bryant) -5 yards.,0,3
09:20,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Justin Wilson.,0,3
08:58,2,Pass,12,Drew Willy pass to Justin Wilson for 12 yards to the BC23. Tackled by T.J. Lee.,0,3
08:00,3,Field Goal Single,8,42 yard field goal attempt by Lirim Hajrullahu is NO GOOD.  Missed field goal returned by Marco Iannuzzi to the BC0 (Single).,0,4
08:00,1,Pass,48,Kevin Glenn pass to Ernest Jackson for 48 yards to the Wpg27. Tackled by Ian Wild.,0,4
07:22,0,Illegal Contact,0,Penalty: Holding on BC (Andre Ramsey) -10 yards. Penalty: Illegal Contact on Winnipeg (Don Unamba) 10 yards.,0,4
06:56,1,Rush,17,Keola Antolin rush for 17 yards to the Wpg10. Tackled by Bruce Johnson.,0,4
